symbol,date,previous_close,open,type,trigger_price,target_price,investment,return,profit,stop_loss_price,high,low,result
ASIANPAINT,2018-01-01,1160,1163.15,gainer,1159.45,1165.24725,19773.550000000003,19572.67545,-137.97455000000264,1151.33385,1165,1150.6,failure
HINDUNILVR,2018-01-01,1362.25,1367,gainer,1356.6,1363.3829999999998,19138.0,18859.453199999996,-132.94680000000153,1347.1037999999999,1360.45,1345.75,failure
RELIANCE,2018-01-01,920.15,922.5,gainer,920.55,925.1527499999999,19372.5,19196.22915,-135.32085000000006,914.10615,921.25,913.35,failure
AXISBANK,2018-01-01,562.05,563.8,gainer,561.25,564.05625,19733.0,19741.96875,98.21875,557.32125,564.1,560.7,success
INFY,2018-01-01,1041.25,1037.4,loser,1041.75,1036.54125,19710.600000000002,19694.28375,98.96625000000131,1049.04225,1044,1036.45,success
BHARTIARTL,2018-01-01,529.45,531.6,gainer,532.45,535.11225,19669.2,19799.15325,98.50324999999793,528.72285,535.6,529,success
TATASTEEL,2018-01-01,731,732.9,gainer,732,735.66,19788.3,19625.652,-138.34800000000178,726.876,732.45,726,failure
BPCL,2018-01-01,517.5,519.55,gainer,520.5,523.1025,19742.899999999998,19640.547,-138.45300000000134,516.8565,523,516.85,failure
POWERGRID,2018-01-01,200.3,199.85,loser,200.6,199.59699999999998,19985.0,20010.0,50.0,202.00419999999997,201.75,199.75,square_offs
KOTAKBANK,2018-01-01,1009.5,1011.8,gainer,1011.05,1016.1052499999998,19224.2,19075.480349999998,-134.46965000000273,1003.9726499999999,1012.2,1003.4,failure
BAJAJ-AUTO,2018-01-01,3331.75,3340.95,gainer,3302.15,3318.6607499999996,16704.75,16593.30375,82.55374999999913,3279.03495,3319.55,3295,success
IBULHSGFIN,2018-01-01,1193,1196.6,gainer,1202.6,1208.6129999999998,19145.6,19337.807999999997,96.20799999999872,1194.1817999999998,1209.95,1202.6,success
LUPIN,2018-01-01,887.05,889.35,gainer,883.35,887.7667499999999,19565.7,19530.868499999997,97.16849999999613,877.16655,887.9,882,success
WIPRO,2018-01-01,312,310.6,loser,311.35,309.79325,19878.4,20065.8848,-139.48479999999836,313.52945,313.55,310,failure
HINDALCO,2018-01-01,274.2,273.05,loser,272.2,270.839,19932.65,19771.247,99.35299999999916,274.1054,272.2,270.7,success
ICICIBANK,2018-01-01,314.25,313.6,loser,313.35,311.78325,19756.800000000003,19642.34475,98.7052500000027,315.54345,313.45,311.7,success
NTPC,2018-01-01,176.35,177,gainer,176.4,177.28199999999998,19824.0,19855.584,98.78399999999965,175.1652,177.3,176.2,success
INDUSINDBK,2018-01-01,1647.4,1652,gainer,1649.7,1657.9485,19824.0,19657.8252,-138.57480000000214,1638.1521,1655,1638.15,failure
