symbol,date,previous_close,open,type,trigger_price,target_price,investment,return,profit,stop_loss_price,high,low,result
BHARTIARTL,2018-01-01,529.45,531.6,gainer,531,534.186,199881.6,200853.93600000002,1197.936000000016,525.6899999999999,534.8,529,success
WIPRO,2018-01-01,312,310.6,loser,311.45,309.5813,199715.80000000002,199060.7759,1201.574099999998,314.5645,311.45,309.5,success
HINDALCO,2018-01-01,274.2,273.05,loser,274.45,272.8033,199872.6,199692.01559999998,1205.38440000001,277.1945,274.45,272.8,success
GAIL,2018-01-02,375.79,377.63,gainer,376.8,379.06080000000003,199766.27,197333.92799999999,-1993.2720000000263,373.032,378.87,372.93,failure
ITC,2018-01-02,261.8,262.85,gainer,262.85,264.42710000000005,199766.00000000003,197980.0,-1786.000000000029,260.2215,264.2,260.5,square_offs
INFY,2018-01-02,1032.15,1037.25,gainer,1037.25,1043.4735,199152.0,197160.48,-1991.5199999999895,1026.8775,1041.9,1026.35,failure
KOTAKBANK,2018-01-02,996.8,1001.15,gainer,999.05,1005.0442999999999,199228.85,200003.81569999998,1192.8656999999948,989.0595,1005.5,992.5,success
IBULHSGFIN,2018-01-02,1217.5,1211.5,loser,1216.5,1209.201,199897.5,199518.165,1204.3349999999919,1228.665,1216.5,1208.6,success
ULTRACEMCO,2018-01-02,4265,4285.1,gainer,4269.95,4295.5697,197114.6,197596.20620000002,1178.5062000000325,4227.2505,4300,4269.95,success
INDUSINDBK,2018-01-02,1620.7,1628.4,gainer,1626.1,1635.8565999999998,198664.80000000002,199574.50519999999,1190.3052000000025,1609.839,1637.25,1626.1,success
SBIN,2018-01-03,303,304.4,gainer,304.4,306.22639999999996,199990.8,201190.74479999996,1199.9447999999684,301.356,306.25,304.4,success
HINDPETRO,2018-01-03,406.5,408.2,gainer,408.1,410.5486,199609.8,200758.2654,1197.3653999999806,404.019,412.15,406.1,success
BHARTIARTL,2018-01-03,516.7,519,gainer,517.1,520.2026000000001,199815.0,200278.00100000002,1194.5010000000184,511.92900000000003,520.25,516.25,success
UPL,2018-01-03,774,777.2,gainer,777,781.662,199740.40000000002,200887.13400000002,1198.13400000002,769.23,782.85,776,success
TECHM,2018-01-03,513.6,516,gainer,516,519.096,199692.0,200890.152,1198.1520000000019,510.84,520,516,success
HINDALCO,2018-01-03,272.25,273.4,gainer,273.4,275.0404,199855.4,201054.5324,1199.1324000000022,270.666,275.25,273.4,success
GRASIM,2018-01-04,1129.2,1134.55,gainer,1130,1136.78,199680.8,200073.28,1193.2799999999988,1118.7,1139.2,1128.4,success
ZEEL,2018-01-04,578.4,580.75,gainer,577.5,580.965,199778.0,199520.0,860.0,571.725,580.95,574.75,square_offs
BHARTIARTL,2018-01-04,516.75,518.85,gainer,518.25,521.3595,199757.25,200723.4075,1197.1575000000012,513.0675,521.4,514.5,success
BAJFINANCE,2018-01-04,1714.55,1722,gainer,1718.05,1728.3582999999999,199752.0,200489.56279999999,1195.7627999999968,1700.8695,1728.4,1715.5,success
NTPC,2018-01-04,177,177.8,gainer,177.65,178.7159,199847.2,199116.6,-562.0,175.8735,177.8,176.8,square_offs
SBIN,2018-01-05,309.2,310.65,gainer,310.55,312.4133,199747.94999999998,197686.8135,-1996.836500000005,307.4445,311.2,306.7,failure
COALINDIA,2018-01-05,277.7,278.95,gainer,278.85,280.5231,199728.19999999998,200854.5396,1197.9395999999833,276.0615,280.6,278.85,success
CIPLA,2018-01-05,615.5,618,gainer,616,619.696,199614.0,198515.80000000002,-452.19999999998254,609.84,619.3,614.05,square_offs
HCLTECH,2018-01-05,893.15,888.95,loser,890.7,885.3558,199124.80000000002,198319.6992,1197.1008000000147,899.6070000000001,890.7,884.2,success
IBULHSGFIN,2018-01-05,1184,1189.6,gainer,1188.15,1195.2789,199852.8,200806.8552,1197.6551999999792,1176.2685000000001,1196.45,1186.15,success
TECHM,2018-01-05,521.65,519.3,loser,521.65,518.5201,199930.49999999997,199630.23849999998,1205.0115000000224,526.8665,521.65,517.2,success
TATAMOTORS,2018-01-08,430.35,432.5,gainer,432.4,434.9944,199815.0,200967.4128,1198.6128000000026,428.07599999999996,435.25,431.65,success
LT,2018-01-08,1312.3,1318.7,gainer,1318.7,1326.6122,199123.7,200318.4422,1194.7421999999788,1305.513,1330,1318.7,success
BAJAJFINSV,2018-01-08,5125,5146.15,gainer,5146.15,5177.0269,195553.69999999998,196727.0222,1173.3222000000242,5094.688499999999,5183.85,5146.15,success
INFY,2018-01-09,1035.55,1040.6,gainer,1035.1,1041.3106,199795.19999999998,199931.63520000002,1192.4352000000363,1024.7489999999998,1041.5,1035.1,success
BPCL,2018-01-09,496.95,499.25,gainer,497.2,500.1832,199700.0,196891.2,-1988.7999999999884,492.228,499.25,492.1,failure
HCLTECH,2018-01-09,896.15,900.6,gainer,898.2,903.5892,199933.2,197406.396,-1994.0040000000154,889.2180000000001,902.85,888.8,failure
YESBANK,2018-01-09,333.15,334.75,gainer,334.25,336.2555,199845.75,197551.7775,-1995.4725000000035,330.90749999999997,336,329.6,failure
ICICIBANK,2018-01-09,313.4,314.9,gainer,314.2,316.0852,199961.5,197521.83,-1995.1700000000128,311.058,315.65,311.05,failure
ASIANPAINT,2018-01-10,1192,1187.1,loser,1189.1,1181.9653999999998,199432.8,198570.18719999996,1198.6128000000317,1200.991,1189.1,1181.7,success
ADANIPORTS,2018-01-10,420.2,421.95,gainer,420.6,423.1236,199582.35,200137.4628,1193.662799999991,416.394,423.55,418.75,success
SUNPHARMA,2018-01-10,587.3,590.15,gainer,589.55,593.0872999999999,199470.69999999998,200463.50739999997,1195.607399999979,583.6545,593.4,589.35,success
COALINDIA,2018-01-11,308.55,307.25,loser,307.75,305.9035,199712.5,198837.275,1200.2250000000058,310.8275,307.75,305.05,success
GRASIM,2018-01-11,1236.95,1242,gainer,1227.55,1234.9153,199962.0,198821.36329999997,1185.8132999999798,1215.2745,1242,1227.55,success
ZEEL,2018-01-11,579.55,581.9,gainer,581.1,584.5866,199591.69999999998,198922.85,-394.45000000001164,575.289,583.25,577.4,square_offs
WIPRO,2018-01-11,326.4,324.8,loser,324.8,322.8512,199752.0,198553.488,1198.511999999988,328.048,324.8,322.3,success
ULTRACEMCO,2018-01-11,4400.5,4420,gainer,4400.6,4427.0036,198900.0,199215.162,1188.161999999982,4356.594,4427.65,4381.6,success
SUNPHARMA,2018-01-12,587.45,590,gainer,589,592.534,199420.0,197091.18,-1990.820000000007,583.11,591.3,583.1,failure
M&M,2018-01-12,765,768.2,gainer,767.15,771.7529,199732.0,199368.0,-91.0,759.4784999999999,769.5,761.75,square_offs
BAJAJ-AUTO,2018-01-12,3193,3208.85,gainer,3190,3209.14,198948.69999999998,198966.68,1186.679999999993,3158.1,3209.7,3190,success
HCLTECH,2018-01-12,914,918.5,gainer,916.65,922.1499,199314.5,200106.5283,1193.478300000017,907.4834999999999,923,912.25,success
IBULHSGFIN,2018-01-12,1228.05,1233.7,gainer,1232.45,1239.8447,199859.4,200854.8414,1197.9414000000106,1220.1255,1240,1232.45,success
ITC,2018-01-15,267.15,268.45,gainer,268.15,269.7589,199995.25,200970.3805,1198.6305000000284,265.46849999999995,269.8,267.8,success
TATASTEEL,2018-01-15,768.1,771.75,gainer,771,775.626,199883.25,200887.134,1198.133999999991,763.29,775.95,771,success
TITAN,2018-01-15,901.95,906,gainer,904.5,909.927,199320.0,200183.94,1193.9400000000023,895.455,911.15,904.5,success
SUNPHARMA,2018-01-16,574.55,577.05,gainer,576.45,579.9087000000001,199659.3,200648.4102,1196.7102000000014,570.6855,580.7,574.95,success
ZEEL,2018-01-16,607.5,610,gainer,607.5,611.145,199470.0,199844.415,1191.9150000000081,601.425,611.65,607.5,success
POWERGRID,2018-01-16,199.1,198.25,loser,198.5,197.309,199836.0,198887.472,1200.5279999999912,200.485,199,197.3,success
HCLTECH,2018-01-16,909.9,914.2,gainer,910.5,915.963,199295.6,199679.93399999998,1190.9339999999793,901.395,916.5,910.5,success
SBIN,2018-01-17,297.2,295.95,loser,296.15,294.37309999999997,199766.25,198701.84249999997,1199.4075000000012,299.1115,296.15,294,success
AXISBANK,2018-01-17,561.2,563.5,gainer,561.9,565.2714,199479.0,200106.07559999998,1193.475599999976,556.281,565.5,561.9,success
HDFC,2018-01-17,1854,1844.9,loser,1850.5,1839.397,199249.2,200934.0,-1080.0,1869.005,1869,1842,square_offs
POWERGRID,2018-01-17,196.5,195.65,loser,195.65,194.4761,199954.30000000002,198754.5742,1199.7258000000147,197.6065,195.65,194.1,success
TCS,2018-01-17,1430,1435.75,gainer,1431.08,1439.6664799999999,199569.25,200113.64071999997,1193.5207199999713,1416.7692,1441.95,1431.08,success
INFRATEL,2018-01-17,368.05,366.3,loser,367.55,365.3447,199999.80000000002,199478.2062,1204.0938000000315,371.2255,367.55,365,success
RELIANCE,2018-01-18,924.85,928.8,gainer,919.5,925.017,199692.0,198878.655,1186.1549999999988,910.305,928.8,919.5,success
SUNPHARMA,2018-01-18,583.45,586,gainer,584,587.504,199826.0,200338.864,1194.8640000000014,578.16,589,584,success
KOTAKBANK,2018-01-18,1030,1034.35,gainer,1034.35,1040.5561,199629.55,200827.3273,1197.777300000016,1024.0065,1040.95,1034.35,success
BAJAJ-AUTO,2018-01-18,3195,3208.7,gainer,3208.7,3227.9521999999997,198939.4,200133.03639999998,1193.6363999999885,3176.613,3233.95,3201.9,success
SBIN,2018-01-19,304.95,303.45,loser,304,302.176,199973.55,202339.36000000002,-2003.3600000000151,307.04,307.25,302.55,failure
INFY,2018-01-19,1150.5,1144.8,loser,1145.55,1138.6767,199195.19999999998,198129.7458,1195.9541999999783,1157.0055,1145.55,1138,success
BPCL,2018-01-19,470.1,472,gainer,468.3,471.1098,199656.0,199279.4454,1188.5454000000027,463.617,472,468.3,success
HCLTECH,2018-01-19,957.3,962.05,gainer,959.7,965.4582,199144.34999999998,196671.32100000003,-1986.578999999998,950.1030000000001,963.35,948.6,failure
TECHM,2018-01-19,551.5,553.75,gainer,553.75,557.0725,199903.75,201103.1725,1199.422499999986,548.2125,558,553.75,success
AXISBANK,2018-01-22,591.55,594.05,gainer,589.15,592.6849,199600.8,199142.12639999998,1187.726399999985,583.2585,594.05,589.15,success
HDFCBANK,2018-01-22,1949.35,1958.65,gainer,1958.65,1970.4019,199782.30000000002,200980.9938,1198.693799999979,1939.0635,1974.35,1955.9,success
BPCL,2018-01-22,477.05,479.35,gainer,475.6,478.45360000000005,199888.95,199515.15120000002,1189.9512000000104,470.844,479.9,475.6,success
M&M,2018-01-22,765.65,762.35,loser,769,764.386,199735.7,200269.13199999998,1208.8680000000168,776.69,769,762.35,success
TCS,2018-01-22,1487.43,1480,loser,1482.28,1473.38632,199800.0,198907.1532,1200.6467999999877,1497.1028,1482.28,1470.53,success
COALINDIA,2018-01-23,284.95,286.25,gainer,285.95,287.6657,199802.5,200790.65860000002,1197.5586000000185,283.09049999999996,287.8,285.95,success
HDFC,2018-01-23,1866.3,1874,gainer,1872.8,1884.0367999999999,198644.0,199707.90079999997,1191.1007999999856,1854.072,1885.65,1870.2,success
TCS,2018-01-23,1545,1552.5,gainer,1550.08,1559.38048,198720.0,199600.70144,1190.4614400000137,1534.5792,1570.6,1550,success
BAJAJ-AUTO,2018-01-23,3265,3280.1,gainer,3280.1,3299.7806,196806.0,197986.836,1180.8360000000102,3247.299,3301,3280.1,success
IBULHSGFIN,2018-01-23,1362,1368.8,gainer,1363.3,1371.4798,199844.8,197051.38199999998,-1990.4180000000051,1349.667,1370,1349.35,failure
HDFCBANK,2018-01-24,1950,1958.6,gainer,1952.6,1964.3156,199777.19999999998,200360.1912,1194.9912000000186,1933.0739999999998,1964.5,1952.6,success
TECHM,2018-01-24,587,584.15,loser,588.25,584.7205,199779.3,199974.411,1207.0890000000072,594.1325,588.25,584.15,success
GAIL,2018-01-25,364.21,365.71,gainer,365.71,367.90425999999997,199677.65999999997,200875.72595999998,1198.0659600000072,362.05289999999997,368.23,365.71,success
INDUSINDBK,2018-01-25,1721,1713.95,loser,1720,1709.68,198818.2,198322.88,1197.1199999999953,1737.2,1720,1709.55,success
UPL,2018-01-30,789,785.15,loser,785.15,780.4390999999999,199428.1,198231.53139999998,1196.5686000000278,793.0015,790.3,778.65,success
BAJAJFINSV,2018-01-30,4902.5,4924,gainer,4905,4934.43,196960.0,197377.2,1177.2000000000116,4855.95,4939,4880,success
GAIL,2018-01-31,357.63,359.36,gainer,357.48,359.62488,199804.16,199951.43328,1192.5532799999928,353.90520000000004,359.74,357.48,success
COALINDIA,2018-01-31,304.85,303.5,loser,303.5,301.679,199703.0,198504.78199999998,1198.2180000000226,306.535,303.5,301.5,success
TCS,2018-01-31,1577.5,1569.98,loser,1571.98,1562.54812,199387.46,198443.61124,1197.8487599999935,1587.6998,1574.38,1562.53,success
