symbol,date,previous_close,open,type,trigger_price,target_price,investment,return,profit,stop_loss_price,high,low,result
SBIN,2018-07-18,259,260.2,gainer,260.55,261.85274999999996,19775.2,19663.187400000003,-138.61259999999675,258.72615,261,258.7,failure
RELIANCE,2018-07-18,1093.55,1097.95,gainer,1093.9,1099.3695,19763.100000000002,19552.3686,-137.83139999999912,1086.2427,1099,1086,failure
AXISBANK,2018-07-18,537.8,540.2,gainer,534.95,537.62475,19987.4,19892.115749999997,98.96574999999575,531.2053500000001,537.8,533,success
GRASIM,2018-07-18,940,942.5,gainer,948,952.7399999999999,19792.5,19768.644,-139.35599999999977,941.364,949.85,941.1,failure
HDFCBANK,2018-07-18,2179.35,2188,gainer,2193.65,2204.61825,19692.0,19841.56425,98.71424999999726,2178.29445,2204.7,2192.75,success
ITC,2018-07-18,269.8,270.7,gainer,269.5,270.84749999999997,19761.1,19771.867499999997,98.36749999999665,267.6135,270.9,269.25,success
MARUTI,2018-07-18,9439.7,9485.5,gainer,9525,9572.624999999998,18971.0,18916.65,-133.34999999999854,9458.325,9533.6,9456,failure
HDFC,2018-07-18,1997.7,2002,gainer,2006.65,2016.6832499999998,18018.0,18150.14925,90.29924999999639,1992.60345,2017.6,2000.05,success
M&M,2018-07-18,924.5,926.5,gainer,923.9,928.5194999999999,19456.5,19266.0867,-135.81329999999798,917.4327,924.25,916.3,failure
KOTAKBANK,2018-07-18,1400.25,1403.95,gainer,1404.15,1411.17075,19655.3,19520.493300000002,-137.60670000000027,1394.32095,1407,1394,failure
TITAN,2018-07-18,844.5,848,gainer,847.6,851.838,19504.0,19358.3364,-136.46359999999913,841.6668,849.5,840.5,failure
TCS,2018-07-18,2000,2004.65,gainer,2006.8,2016.8339999999998,18041.850000000002,17998.649999999998,-62.55000000000291,1992.7523999999999,2009,1993.25,square_offs
CIPLA,2018-07-18,636.35,639,gainer,638.15,641.34075,19809.0,19881.56325,98.91325000000143,633.68295,642,636.2,success
LT,2018-07-18,1290,1295.9,gainer,1294.45,1300.9222499999998,19438.5,19513.833749999998,97.08374999999796,1285.38885,1302.65,1288.7,success
EICHERMOT,2018-07-18,27149.8,27250.95,gainer,27387.9,27524.8395,0.0,0.0,0.0,27196.1847,27569.95,27380,success
HCLTECH,2018-07-18,983.8,985.9,gainer,993.1,998.0654999999999,19718.0,19799.0,-63.0,986.1483000000001,996.7,987.65,square_offs
HINDALCO,2018-07-18,219.5,218.8,loser,217.25,216.16375,19910.8,19670.90125,98.84875000000102,218.77074999999996,217.25,216,success
YESBANK,2018-07-18,380.05,381.5,gainer,378.85,380.74424999999997,19838.0,19798.700999999997,98.50099999999657,376.19805,380.95,378,success
BAJFINANCE,2018-07-18,2475,2481.9,gainer,2478.9,2491.2945,19855.2,19930.356,99.15599999999904,2461.5477,2493,2478.9,success
INFRATEL,2018-07-18,302.6,303.3,gainer,300.55,302.05275,19714.5,19633.42875,97.67874999999913,298.44615,303,300.45,success
NTPC,2018-07-18,155.3,155.9,gainer,154.6,155.373,19955.2,19650.2784,-138.52160000000003,153.5178,155.35,153.5,failure
