symbol,date,previous_close,open,type,trigger_price,target_price,investment,return,profit,stop_loss_price,high,low,result
ASIANPAINT,2018-01-01,1160,1163.15,gainer,1158.95,1163.5858,198898.65000000002,198973.1718,792.7217999999993,1150.83735,1165,1155.5,success
HINDUNILVR,2018-01-01,1362.25,1367,gainer,1358.5,1363.934,199582.0,196952.61299999998,-1388.387000000017,1348.9904999999999,1361.35,1348.15,failure
RELIANCE,2018-01-01,920.15,922.5,gainer,920.55,924.2321999999999,199260.0,197446.9284,-1391.871599999984,914.10615,921.75,913.35,failure
AXISBANK,2018-01-01,562.05,563.8,gainer,563,565.252,199585.19999999998,200099.20799999998,797.2079999999842,559.059,565.95,560.7,success
SUNPHARMA,2018-01-01,569.2,572.05,gainer,574,576.296,199645.44999999998,201127.304,801.3040000000037,569.982,576.9,571.3,success
INFY,2018-01-01,1041.25,1037.4,loser,1039.5,1035.342,199180.80000000002,198785.66400000002,798.3359999999811,1046.7765,1044.5,1035.25,success
BHARTIARTL,2018-01-01,529.45,531.6,gainer,530.3,532.4212,199881.6,200190.3712,797.5712000000058,526.5879,532.45,530.3,success
TATASTEEL,2018-01-01,731,732.9,gainer,734,736.936,199348.8,198250.46399999998,-1397.5360000000219,728.862,735.4,728.15,failure
BPCL,2018-01-01,517.5,519.55,gainer,520,522.08,199507.19999999998,200478.72000000003,798.7200000000303,516.36,522.15,519.3,success
POWERGRID,2018-01-01,200.3,199.85,loser,200.7,199.8972,199850.0,199897.2,802.7999999999884,202.10489999999996,200.85,199.85,success
KOTAKBANK,2018-01-01,1009.5,1011.8,gainer,1008.35,1012.3834,199324.59999999998,197254.43535,-1390.5146499999973,1001.29155,1012.2,1001.15,failure
BAJAJ-AUTO,2018-01-01,3331.75,3340.95,gainer,3320.3,3333.5812,197116.05,194526.4161,-1371.2839000000095,3297.0579000000002,3327.7,3296.5,failure
IBULHSGFIN,2018-01-01,1193,1196.6,gainer,1197.95,1202.7418,199832.19999999998,200857.8806,800.2306000000099,1189.56435,1203,1197.85,success
LUPIN,2018-01-01,887.05,889.35,gainer,885.25,888.791,199214.4,199089.184,793.1840000000084,879.05325,888.8,882,success
WIPRO,2018-01-01,312,310.6,loser,310.9,309.65639999999996,199715.80000000002,201308.06089999995,-1399.3608999999706,313.07629999999995,313.15,310,failure
HINDALCO,2018-01-01,274.2,273.05,loser,273.75,272.655,199872.6,199583.46,801.5400000000081,275.66625,273.75,272.6,success
ICICIBANK,2018-01-01,314.25,313.6,loser,313.9,312.64439999999996,199763.2,199154.48279999997,799.8172000000195,316.09729999999996,313.9,312.55,success
NTPC,2018-01-01,176.35,177,gainer,176.5,177.206,199833.0,200065.574,797.0739999999932,175.2645,177.3,176.2,success
INDUSINDBK,2018-01-01,1647.4,1652,gainer,1647.8,1654.3912,199892.0,200181.3352,797.535200000013,1636.2654,1655,1647.8,success
GAIL,2018-01-02,375.79,377.63,gainer,377.37,378.87948,199766.27,198231.32889,-1397.4011100000062,374.72841,378.2,374.44,failure
RELIANCE,2018-01-02,909.5,913,gainer,914.05,917.7062,199947.0,198775.71134999997,-1401.2386500000139,907.6516499999999,914.95,907.05,failure
COALINDIA,2018-01-02,266.95,268,gainer,268.45,269.5238,199928.0,201064.7548,801.0548000000126,266.57085,269.95,268.45,success
IOC,2018-01-02,195.25,195.78,gainer,195.65,196.4326,199891.38,198360.33945,-1398.3105499999947,194.28045,196.35,194.28,failure
GRASIM,2018-01-02,1146.95,1149.9,gainer,1150,1154.6,198932.7,197557.35,-1392.6499999999942,1141.95,1153.9,1141.6,failure
SUNPHARMA,2018-01-02,574.5,576.6,gainer,577.35,579.6594,199503.6,198364.7583,-1398.341700000019,573.30855,579.15,573.2,failure
ITC,2018-01-02,261.8,262.85,gainer,263,264.052,199766.00000000003,198480.84,-1399.1600000000035,261.159,263.35,261.1,failure
MARUTI,2018-01-02,9644,9694.65,gainer,9694.5,9733.278,193893.0,192532.77,-1357.2300000000105,9626.6385,9705,9625.05,failure
INFY,2018-01-02,1032.15,1037.25,gainer,1033.6,1037.7343999999998,199152.0,199245.00479999997,793.8047999999835,1026.3647999999998,1038.45,1033.6,success
TATASTEEL,2018-01-02,721.8,724,gainer,726.2,729.1048000000001,199824.0,199028.1816,-1403.0184000000008,721.1166000000001,727.8,720.9,failure
BPCL,2018-01-02,509.3,511,gainer,509.85,511.8894,199801.0,197955.89055,-1395.4594499999948,506.28105,511,505.5,failure
POWERGRID,2018-01-02,200.45,201.25,gainer,201,201.804,199841.25,198195.849,-1397.1510000000126,199.593,201.8,199.5,failure
KOTAKBANK,2018-01-02,996.8,1001.15,gainer,1000,1004.0,199228.85,197607.0,-1393.0,993.0,1000.75,992.9,failure
CIPLA,2018-01-02,616.3,615,loser,618.85,616.3746,199875.0,200321.745,804.5050000000047,623.1819499999999,619,616.25,success
BAJAJ-AUTO,2018-01-02,3290,3298.45,gainer,3285.8,3298.9432,197907.0,197936.592,788.5920000000042,3262.7994000000003,3308.4,3285.8,success
IBULHSGFIN,2018-01-02,1217.5,1211.5,loser,1212,1207.152,199897.5,199180.08000000002,799.9199999999837,1220.484,1212,1207.05,success
UPL,2018-01-02,756,757.55,gainer,759,762.0360000000001,199993.19999999998,198973.36800000002,-1402.6319999999832,753.687,760.15,753,failure
ULTRACEMCO,2018-01-02,4265,4285.1,gainer,4290,4307.16,197114.6,195958.62000000002,-1381.3799999999756,4259.97,4296.2,4251.1,failure
BAJFINANCE,2018-01-02,1729.55,1736,gainer,1730.7,1737.6228,199640.0,197637.2865,-1393.2135000000126,1718.5851,1734.4,1710.9,failure
ICICIBANK,2018-01-02,309.3,310.95,gainer,310.55,311.79220000000004,199940.85,198285.86445,-1397.7855500000005,308.37615,311,308.2,failure
INFRATEL,2018-01-02,369.95,371,gainer,372.3,373.7892,199969.0,201472.3788,802.6787999999942,369.6939,373.8,372.3,success
NTPC,2018-01-02,176.5,176.95,gainer,177.15,177.8586,199953.5,200980.218,800.7179999999935,175.90995,178.1,177.1,success
INDUSINDBK,2018-01-02,1620.7,1628.4,gainer,1631.95,1638.4778000000001,198664.80000000002,199894.29160000003,796.3916000000318,1620.52635,1638.95,1627.9,success
ASIANPAINT,2018-01-03,1144,1147.85,gainer,1141.4,1145.9656,199725.9,198621.0,17.39999999999418,1133.4102,1144.95,1135.35,square_offs
GAIL,2018-01-03,371.5,372.93,gainer,371.05,372.5342,199890.48,199678.3312,795.5311999999685,368.45265,372.63,369.85,success
HINDUNILVR,2018-01-03,1340,1344.05,gainer,1337.55,1342.9002,198919.4,198749.22960000002,791.8296000000264,1328.18715,1344,1337,success
SBIN,2018-01-03,303,304.4,gainer,305.55,306.7722,199990.8,199341.12555000003,-1405.2244499999797,303.41115,306.45,303.35,failure
HINDPETRO,2018-01-03,406.5,408.2,gainer,407.1,408.7284,199609.8,199868.1876,796.2875999999815,404.25030000000004,409.1,406.8,success
AXISBANK,2018-01-03,558.4,561.3,gainer,560.85,563.0934,199822.8,198264.9618,-1397.6382000000158,556.92405,563,556.2,failure
COALINDIA,2018-01-03,270.2,271,gainer,269.9,270.9796,199998.0,199982.9448,796.744800000015,268.0107,271,269.9,success
IOC,2018-01-03,193.3,193.95,gainer,193.5,194.274,199962.44999999998,200296.494,797.994000000006,192.1455,194.38,193.5,success
GRASIM,2018-01-03,1142.9,1138.75,loser,1142.95,1138.3782,199281.25,199216.18500000003,800.0649999999732,1150.95065,1149.35,1137.05,success
ZEEL,2018-01-03,578.1,579.9,gainer,578.9,581.2156,199485.6,199938.1664,796.5663999999815,574.8476999999999,581.55,578.7,success
HDFCBANK,2018-01-03,1869.8,1875.2,gainer,1870.8,1878.2831999999999,198771.2,196916.6664,-1388.133600000001,1857.7043999999999,1873.8,1857.45,failure
TATAMOTORS,2018-01-03,438.15,440.4,gainer,438,439.752,199941.59999999998,197460.036,-1391.9640000000072,434.93399999999997,439.3,434.55,failure
ITC,2018-01-03,260.7,261.3,gainer,261.35,262.39540000000005,199894.5,200732.48100000003,799.7309999999998,259.52055,262.6,260.6,success
MARUTI,2018-01-03,9559,9596.8,gainer,9537.25,9575.399,191936.0,191507.97999999998,762.9799999999814,9470.48925,9587.9,9531.2,success
BHARTIARTL,2018-01-03,516.7,519,gainer,517.25,519.319,199815.0,199937.81499999997,796.5649999999732,513.62925,519.4,517.25,success
TATASTEEL,2018-01-03,730.5,732.7,gainer,733.55,736.4842,199294.40000000002,200323.7024,798.1024000000325,728.4151499999999,737.45,733,success
BPCL,2018-01-03,499.6,500.75,gainer,496.35,498.33540000000005,199799.25,198835.82460000002,792.1745999999985,492.87555000000003,498.5,496,success
M&M,2018-01-03,753,755.6,gainer,753.6,756.6144,199478.4,199746.2016,795.8016000000061,748.3248,756.9,753,success
POWERGRID,2018-01-03,201,201.5,gainer,201.65,202.4566,199888.0,199540.80000000002,-496.0,200.23845,202.4,200.6,square_offs
KOTAKBANK,2018-01-03,1001.75,1004.9,gainer,1003,1007.0120000000001,199975.1,198801.0,-796.0,995.979,1006.9,998.15,square_offs
CIPLA,2018-01-03,610,611.25,gainer,608.75,611.185,199878.75,199857.495,796.2449999999953,604.48875,611.5,608.75,success
LT,2018-01-03,1251.9,1255.85,gainer,1254.45,1259.4678000000001,199680.15,200255.3802,797.8301999999967,1245.66885,1260,1251.5,success
UPL,2018-01-03,774,777.2,gainer,780.8,783.9232,199740.40000000002,201468.26239999998,802.6624000000011,775.3344,784.7,776,success
LUPIN,2018-01-03,875,877.1,gainer,873.8,877.2951999999999,199978.80000000002,200023.3056,796.9055999999982,867.6834,877.45,873.55,success
TECHM,2018-01-03,513.6,516,gainer,519.5,521.578,199692.0,201850.686,804.185999999987,515.8635,522.65,516.9,success
ULTRACEMCO,2018-01-03,4260,4269.55,gainer,4262.15,4279.1986,196399.30000000002,196843.13559999998,784.2355999999854,4232.31495,4281,4245.4,success
HINDALCO,2018-01-03,272.25,273.4,gainer,275.6,276.7024,199855.4,202269.45440000002,805.8544000000111,273.67080000000004,277.55,274.55,success
ASIANPAINT,2018-01-04,1142,1145.95,gainer,1152.45,1157.0598,199395.30000000002,201328.4052,802.1051999999909,1144.38285,1158.6,1152.2,success
HINDUNILVR,2018-01-04,1347,1350.1,gainer,1344,1349.376,199814.8,199707.648,795.6479999999865,1334.592,1349.85,1341.45,success
DRREDDY,2018-01-04,2340.55,2346,gainer,2356.6,2366.0263999999997,199410.0,201112.24399999998,801.243999999977,2340.1038,2368,2354,success
RELIANCE,2018-01-04,915.5,918.5,gainer,917.1,920.7684,199314.5,199806.7428,796.0427999999956,910.6803,920.9,916,success
COALINDIA,2018-01-04,272.6,273.25,gainer,272.4,273.4896,199745.75,199920.8976,796.4976000000024,270.4932,273.65,272.2,success
GRASIM,2018-01-04,1129.2,1134.55,gainer,1129.55,1134.0682,199680.8,199596.00319999998,795.203199999989,1121.6431499999999,1134.35,1128.4,success
ZEEL,2018-01-04,578.4,580.75,gainer,577.5,579.81,199778.0,199454.63999999998,794.6399999999849,573.4575,580.95,577.5,success
HDFC,2018-01-04,1700.8,1704.95,gainer,1701.35,1708.1553999999999,199479.15,199215.9,157.95000000001164,1689.4405499999998,1706.5,1691.45,square_offs
INFY,2018-01-04,1022.5,1020.25,loser,1017.95,1013.8782,199969.0,198720.1272,798.0728000000236,1025.07565,1021,1013.75,success
BHARTIARTL,2018-01-04,516.75,518.85,gainer,516.1,518.1644,199757.25,199493.294,794.7939999999944,512.4873,518.6,514.5,success
TATASTEEL,2018-01-04,734.55,737,gainer,732.7,735.6308,199727.0,199355.9468,794.2467999999935,727.5711,736.1,732,success
KOTAKBANK,2018-01-04,998.5,1002.45,gainer,999.75,1003.749,199487.55000000002,199258.69999999998,308.44999999998254,992.75175,1002.9,996.1,square_offs
TCS,2018-01-04,1319.5,1323.18,gainer,1323.53,1328.82412,199800.18000000002,200652.44212,799.4121199999936,1314.26529,1329.9,1320,success
CIPLA,2018-01-04,605,608.05,gainer,607.3,609.7292,199440.4,199991.1776,796.7776000000013,603.0489,610,606.1,success
TECHM,2018-01-04,517.55,519.3,gainer,516,518.064,199930.49999999997,199454.63999999998,794.6399999999849,512.388,519.4,514,success
BAJFINANCE,2018-01-04,1714.55,1722,gainer,1719.65,1726.5286,199752.0,200277.3176,797.9175999999861,1707.61245,1727.5,1715.5,success
NTPC,2018-01-04,177,177.8,gainer,177.25,177.959,199847.2,199116.6,-112.39999999999418,176.00925,177.7,176.8,square_offs
ASIANPAINT,2018-01-05,1175.3,1178.55,gainer,1168.65,1173.3246000000001,199174.94999999998,198291.85740000004,790.0074000000313,1160.46945,1173.65,1168.65,success
GAIL,2018-01-05,373.68,374.77,gainer,373.68,375.17472000000004,199752.41,197777.23992,-1394.2000800000096,371.06424,374.21,371.05,failure
SBIN,2018-01-05,309.2,310.65,gainer,310.5,311.742,199747.94999999998,198253.9395,-1397.5604999999923,308.3265,311,308.3,failure
ADANIPORTS,2018-01-05,410.05,411.5,gainer,410.6,412.24240000000003,199989.0,200349.8064,798.2063999999955,407.7258,412.7,410.45,success
DRREDDY,2018-01-05,2414.8,2420.5,gainer,2415.6,2425.2624,198481.0,196692.6456,-1386.5543999999936,2398.6908,2420,2397.35,failure
AXISBANK,2018-01-05,559.2,561.2,gainer,560.2,562.4408000000001,199787.2,200228.92480000004,797.7248000000254,556.2786000000001,564,556.75,success
COALINDIA,2018-01-05,277.7,278.95,gainer,279.65,280.7686,199728.19999999998,199764.0,-465.3999999999942,277.69244999999995,280.6,278,square_offs
ZEEL,2018-01-05,578.5,580.2,gainer,578.65,580.9646,199588.80000000002,199851.8224,796.2223999999987,574.5994499999999,581,578.5,success
TATAMOTORS,2018-01-05,430,431.4,gainer,432.3,434.0292,199738.19999999998,200955.5196,800.6196000000054,429.2739,434.7,429.85,success
VEDL,2018-01-05,341.35,340.5,loser,341.15,339.7854,199873.5,201656.83534999998,-1401.785349999991,343.53804999999994,343.6,340.75,failure
BHARTIARTL,2018-01-05,523.9,525,gainer,523.9,525.9956,199500.0,199878.32799999998,796.3279999999795,520.2327,527,523.9,success
POWERGRID,2018-01-05,200.5,201.05,gainer,200.9,201.7036,199843.7,199794.0,99.39999999999418,199.49370000000002,201.7,200.6,square_offs
CIPLA,2018-01-05,615.5,618,gainer,618.2,620.6728,199614.0,198515.80000000002,-1162.7999999999884,613.8726,618.55,614.05,square_offs
HCLTECH,2018-01-05,893.15,888.95,loser,887.45,883.9002,199124.80000000002,200180.3216,-1391.5215999999782,893.66215,893.7,885.6,failure
IBULHSGFIN,2018-01-05,1184,1189.6,gainer,1190.1,1194.8603999999998,199852.8,200736.54719999997,799.7471999999834,1181.7693,1194.9,1186.15,success
TECHM,2018-01-05,521.65,519.3,loser,520.85,518.7666,199930.49999999997,201930.94075,-1403.6907500000088,524.49595,524.8,520.05,failure
WIPRO,2018-01-05,310.6,311.7,gainer,311.6,312.8464,199799.69999999998,200534.5424,798.9423999999999,309.41880000000003,312.95,311.15,success
BAJFINANCE,2018-01-05,1753.3,1762.4,gainer,1769.85,1776.9294,199151.2,200793.0222,799.9722000000183,1757.46105,1777.3,1765,success
INDUSINDBK,2018-01-05,1650.35,1644,loser,1651.3,1644.6948,198924.0,201205.95109999995,-1398.6510999999591,1662.8590999999997,1663.55,1649.6,failure
