symbol,date,previous_close,open,type,trigger_price,target_price,investment,return,profit,stop_loss_price,high,low,result
ASIANPAINT,2018-01-01,1160,1163.15,gainer,1158.95,1163.5858,198898.65000000002,198973.1718,792.7217999999993,1154.3142,1165,1155.5,success
HINDUNILVR,2018-01-01,1362.25,1367,gainer,1358.5,1363.934,199582.0,197547.636,-793.3640000000014,1353.066,1361.35,1352.5,failure
RELIANCE,2018-01-01,920.15,922.5,gainer,920.55,924.2321999999999,199260.0,198043.4448,-795.3551999999909,916.8678,921.75,916.1,failure
AXISBANK,2018-01-01,562.05,563.8,gainer,563,565.252,199585.19999999998,198504.79200000002,-797.2079999999842,560.748,564,560.7,failure
SUNPHARMA,2018-01-01,569.2,572.05,gainer,574,576.296,199645.44999999998,199524.696,-801.3040000000037,571.704,574.45,571.7,failure
INFY,2018-01-01,1041.25,1037.4,loser,1039.5,1035.342,199180.80000000002,200382.33599999998,-798.3359999999811,1043.658,1044.5,1038.6,failure
BHARTIARTL,2018-01-01,529.45,531.6,gainer,530.3,532.4212,199881.6,200190.3712,797.5712000000058,528.1787999999999,532.45,530.3,success
TATASTEEL,2018-01-01,731,732.9,gainer,734,736.936,199348.8,198849.408,-798.5920000000042,731.064,735.4,729.3,failure
BPCL,2018-01-01,517.5,519.55,gainer,520,522.08,199507.19999999998,200478.72000000003,798.7200000000303,517.92,522.15,519.3,success
POWERGRID,2018-01-01,200.3,199.85,loser,200.7,199.8972,199850.0,199897.2,802.7999999999884,201.50279999999998,200.85,199.85,success
KOTAKBANK,2018-01-01,1009.5,1011.8,gainer,1008.35,1012.3834,199324.59999999998,197850.3702,-794.5798000000068,1004.3166,1012.2,1004.15,failure
BAJAJ-AUTO,2018-01-01,3331.75,3340.95,gainer,3320.3,3333.5812,197116.05,195114.1092,-783.5908000000054,3307.0188000000003,3327.7,3306.3,failure
IBULHSGFIN,2018-01-01,1193,1196.6,gainer,1197.95,1202.7418,199832.19999999998,200857.8806,800.2306000000099,1193.1582,1203,1197.85,success
LUPIN,2018-01-01,887.05,889.35,gainer,885.25,888.791,199214.4,199089.184,793.1840000000084,881.709,888.8,882,success
WIPRO,2018-01-01,312,310.6,loser,310.9,309.65639999999996,199715.80000000002,200708.33479999998,-799.6347999999998,312.1436,312.45,310,failure
HINDALCO,2018-01-01,274.2,273.05,loser,273.75,272.655,199872.6,199583.46,801.5400000000081,274.845,273.75,272.6,success
ICICIBANK,2018-01-01,314.25,313.6,loser,313.9,312.64439999999996,199763.2,199154.48279999997,799.8172000000195,315.1556,313.9,312.55,success
NTPC,2018-01-01,176.35,177,gainer,176.5,177.206,199833.0,200065.574,797.0739999999932,175.794,177.3,176.2,success
INDUSINDBK,2018-01-01,1647.4,1652,gainer,1647.8,1654.3912,199892.0,200181.3352,797.535200000013,1641.2087999999999,1655,1647.8,success
GAIL,2018-01-02,375.79,377.63,gainer,377.37,378.87948,199766.27,198830.21508,-798.514920000016,375.86052,378.2,375.34,failure
RELIANCE,2018-01-02,909.5,913,gainer,914.05,917.7062,199947.0,199376.24219999998,-800.7078000000038,910.3937999999999,914.95,908.15,failure
COALINDIA,2018-01-02,266.95,268,gainer,268.45,269.5238,199928.0,201064.7548,801.0548000000126,267.3762,269.95,268.45,success
IOC,2018-01-02,195.25,195.78,gainer,195.65,196.4326,199891.38,198959.6154,-799.0345999999845,194.8674,196.35,194.75,failure
GRASIM,2018-01-02,1146.95,1149.9,gainer,1150,1154.6,198932.7,198154.2,-795.7999999999884,1145.4,1153.9,1145,failure
SUNPHARMA,2018-01-02,574.5,576.6,gainer,577.35,579.6594,199503.6,198964.04760000002,-799.0523999999859,575.0406,579.15,573.2,failure
ITC,2018-01-02,261.8,262.85,gainer,263,264.052,199766.00000000003,199080.47999999998,-799.5200000000186,261.948,263.35,261.85,failure
MARUTI,2018-01-02,9644,9694.65,gainer,9694.5,9733.278,193893.0,193114.44,-775.5599999999977,9655.722,9705,9650.5,failure
INFY,2018-01-02,1032.15,1037.25,gainer,1033.6,1037.7343999999998,199152.0,199245.00479999997,793.8047999999835,1029.4656,1038.45,1033.6,success
TATASTEEL,2018-01-02,721.8,724,gainer,726.2,729.1048000000001,199824.0,199629.47520000002,-801.7247999999963,723.2952,727.8,723.15,failure
BPCL,2018-01-02,509.3,511,gainer,509.85,511.8894,199801.0,198553.94460000002,-797.4053999999887,507.8106,511,506.7,failure
POWERGRID,2018-01-02,200.45,201.25,gainer,201,201.804,199841.25,198794.628,-798.372000000003,200.196,201.8,200.15,failure
KOTAKBANK,2018-01-02,996.8,1001.15,gainer,1000,1004.0,199228.85,198204.0,-796.0,996.0,1000.75,995.55,failure
CIPLA,2018-01-02,616.3,615,loser,618.85,616.3746,199875.0,200321.745,804.5050000000047,621.3254000000001,619,616.25,success
BAJAJ-AUTO,2018-01-02,3290,3298.45,gainer,3285.8,3298.9432,197907.0,197936.592,788.5920000000042,3272.6568,3308.4,3285.8,success
IBULHSGFIN,2018-01-02,1217.5,1211.5,loser,1212,1207.152,199897.5,199180.08000000002,799.9199999999837,1216.848,1212,1207.05,success
UPL,2018-01-02,756,757.55,gainer,759,762.0360000000001,199993.19999999998,199574.49599999998,-801.5040000000154,755.9639999999999,760.15,755.6,failure
ULTRACEMCO,2018-01-02,4265,4285.1,gainer,4290,4307.16,197114.6,196550.64,-789.359999999986,4272.84,4296.2,4265.75,failure
BAJFINANCE,2018-01-02,1729.55,1736,gainer,1730.7,1737.6228,199640.0,198234.378,-796.122000000003,1723.7772,1734.4,1723.75,failure
ICICIBANK,2018-01-02,309.3,310.95,gainer,310.55,311.79220000000004,199940.85,198884.9154,-798.7345999999961,309.3078,311,309,failure
INFRATEL,2018-01-02,369.95,371,gainer,372.3,373.7892,199969.0,201472.3788,802.6787999999942,370.81080000000003,373.8,372.3,success
NTPC,2018-01-02,176.5,176.95,gainer,177.15,177.8586,199953.5,200980.218,800.7179999999935,176.44140000000002,178.1,177.1,success
