price,target_price,stop_loss,trans_type,quantity,order_id
380.65,1.9,2.28,buy,525,180808000036008
578.25,2.89,3.47,sell,345,180808000036103
394.65,1.97,2.37,sell,506,180808000036851
289.25,1.45,1.74,sell,691,180808000036959
374.0,1.87,2.24,sell,534,180808000037425
1428.25,7.14,8.57,sell,140,180808000037789
2695.0,13.47,16.17,sell,74,180808000038458
648.1,3.24,3.89,sell,308,180808000038988
533.15,2.67,3.2,sell,375,180808000039074
2137.5,10.69,12.83,sell,93,180808000039550
382.45,1.91,2.29,sell,522,180808000039769
1371.2,6.86,8.23,sell,145,180808000040200price,target_price,stop_loss,trans_type,quantity,order_id
