"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BAJAJ-AUTO","EQ","20-Jun-2017","       2827.75","       2810.00","       2827.95","       2806.50","       2815.00","       2815.30","       2815.98","     274896","           774101318.70","      24954","     202731","         73.75"
"BAJAJ-AUTO","EQ","21-Jun-2017","       2815.30","       2812.00","       2828.10","       2790.50","       2815.60","       2817.50","       2810.89","     143712","           403959056.10","      18024","      88810","         61.80"
"BAJAJ-AUTO","EQ","22-Jun-2017","       2817.50","       2817.50","       2851.00","       2807.35","       2850.00","       2845.70","       2840.63","     223966","           636204561.30","      19533","     149403","         66.71"
"BAJAJ-AUTO","EQ","23-Jun-2017","       2845.70","       2850.00","       2850.45","       2817.00","       2827.00","       2824.30","       2828.19","     154968","           438278949.85","      14635","      91006","         58.73"
"BAJAJ-AUTO","EQ","27-Jun-2017","       2824.30","       2828.45","       2829.15","       2761.00","       2785.00","       2779.30","       2779.88","     322785","           897304837.35","      18502","     245107","         75.94"
"BAJAJ-AUTO","EQ","28-Jun-2017","       2779.30","       2789.00","       2801.00","       2770.20","       2784.50","       2777.05","       2778.36","     284660","           790886912.20","      11631","     238157","         83.66"
"BAJAJ-AUTO","EQ","29-Jun-2017","       2777.05","       2787.80","       2812.00","       2779.25","       2809.00","       2801.30","       2798.13","     224331","           627706568.15","       9799","     149071","         66.45"
"BAJAJ-AUTO","EQ","30-Jun-2017","       2801.30","       2796.00","       2799.70","       2764.45","       2790.00","       2791.20","       2783.37","     266443","           741610532.25","      21250","     199910","         75.03"
"BAJAJ-AUTO","EQ","03-Jul-2017","       2791.20","       2769.00","       2793.50","       2750.55","       2793.50","       2789.35","       2776.51","     335713","           932111876.30","      19168","     220984","         65.83"
"BAJAJ-AUTO","EQ","04-Jul-2017","       2789.35","       2790.00","       2790.00","       2755.00","       2779.60","       2769.65","       2766.04","     331944","           918169734.45","      11738","     258553","         77.89"
"BAJAJ-AUTO","EQ","05-Jul-2017","       2769.65","       2761.30","       2784.45","       2751.00","       2773.00","       2771.25","       2766.78","     251283","           695245261.95","       9597","     195859","         77.94"
"BAJAJ-AUTO","EQ","06-Jul-2017","       2771.25","       2734.00","       2741.00","       2722.90","       2726.00","       2728.60","       2730.27","     488894","          1334810349.50","      33100","     365318","         74.72"
"BAJAJ-AUTO","EQ","07-Jul-2017","       2728.60","       2716.00","       2733.00","       2694.50","       2710.00","       2708.25","       2704.16","     290037","           784306294.30","      20497","     184382","         63.57"
"BAJAJ-AUTO","EQ","10-Jul-2017","       2708.25","       2844.00","       2844.00","       2700.00","       2731.00","       2730.65","       2729.47","      20831","            56857642.95","       1050","      13659","         65.57"
"BAJAJ-AUTO","EQ","11-Jul-2017","       2730.65","       2735.70","       2803.00","       2735.70","       2798.05","       2792.75","       2772.95","     393672","          1091630821.30","      21387","     272394","         69.19"
"BAJAJ-AUTO","EQ","12-Jul-2017","       2792.75","       2801.00","       2818.00","       2774.30","       2788.00","       2785.85","       2786.60","     288437","           803759941.80","      19847","     196769","         68.22"
"BAJAJ-AUTO","EQ","13-Jul-2017","       2785.85","       2795.00","       2806.75","       2780.45","       2788.85","       2789.75","       2789.87","     303857","           847720580.60","      15454","     249264","         82.03"
"BAJAJ-AUTO","EQ","14-Jul-2017","       2789.75","       2800.00","       2816.90","       2767.55","       2811.20","       2809.80","       2799.93","     150816","           422273738.70","       8965","      86286","         57.21"
"BAJAJ-AUTO","EQ","17-Jul-2017","       2809.80","       2819.85","       2828.55","       2800.00","       2826.20","       2821.25","       2816.30","     134022","           377445775.65","      11368","      85821","         64.04"
"BAJAJ-AUTO","EQ","18-Jul-2017","       2821.25","       2827.80","       2847.90","       2818.00","       2831.00","       2831.75","       2829.11","     195878","           554159484.30","      10415","     108136","         55.21"
"BAJAJ-AUTO","EQ","19-Jul-2017","       2831.75","       2834.00","       2835.00","       2802.40","       2834.95","       2823.70","       2816.76","     247730","           697796521.30","      17777","     182776","         73.78"
"BAJAJ-AUTO","EQ","20-Jul-2017","       2823.70","       2823.40","       2855.85","       2800.10","       2816.00","       2818.60","       2825.28","     675692","          1909017702.10","      35494","     186812","         27.65"
"BAJAJ-AUTO","EQ","21-Jul-2017","       2818.60","       2818.60","       2840.70","       2806.35","       2815.00","       2815.80","       2820.40","     319397","           900827235.90","      28279","     170166","         53.28"
"BAJAJ-AUTO","EQ","24-Jul-2017","       2815.80","       2815.00","       2834.95","       2802.20","       2819.05","       2826.75","       2821.23","     204810","           577816344.95","      15243","     130957","         63.94"
"BAJAJ-AUTO","EQ","25-Jul-2017","       2826.75","       2840.00","       2862.40","       2819.25","       2840.00","       2847.70","       2844.78","     220402","           626995708.95","      18849","     131003","         59.44"
"BAJAJ-AUTO","EQ","26-Jul-2017","       2847.70","       2846.00","       2852.80","       2829.20","       2845.00","       2841.35","       2838.16","     252553","           716785033.30","      17301","     172941","         68.48"
"BAJAJ-AUTO","EQ","27-Jul-2017","       2841.35","       2849.50","       2869.10","       2825.05","       2852.40","       2840.30","       2845.94","     306789","           873103355.75","      15096","     200297","         65.29"
"BAJAJ-AUTO","EQ","28-Jul-2017","       2840.30","       2810.00","       2867.00","       2804.45","       2831.00","       2828.15","       2821.99","     136729","           385848391.85","       9727","      87121","         63.72"
"BAJAJ-AUTO","EQ","31-Jul-2017","       2828.15","       2845.00","       2845.00","       2785.00","       2812.00","       2808.55","       2805.57","     173664","           487226829.75","      15597","     110039","         63.36"
"BAJAJ-AUTO","EQ","01-Aug-2017","       2808.55","       2812.00","       2830.50","       2798.05","       2826.00","       2823.40","       2818.51","     190726","           537562371.25","      10345","     113961","         59.75"
"BAJAJ-AUTO","EQ","02-Aug-2017","       2823.40","       2789.95","       2817.70","       2786.00","       2799.75","       2802.90","       2799.72","     298840","           836668955.00","      22397","     143804","         48.12"
"BAJAJ-AUTO","EQ","03-Aug-2017","       2802.90","       2805.00","       2838.70","       2800.05","       2834.00","       2834.25","       2823.68","     325945","           920363696.75","      20500","     216720","         66.49"
"BAJAJ-AUTO","EQ","04-Aug-2017","       2834.25","       2824.00","       2900.00","       2811.15","       2873.65","       2874.65","       2864.71","     257208","           736827058.05","      14629","     121172","         47.11"
"BAJAJ-AUTO","EQ","07-Aug-2017","       2874.65","       2875.00","       2903.55","       2868.35","       2890.00","       2889.25","       2887.34","     169287","           488789893.85","      10359","      95953","         56.68"
