"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BPCL","EQ","20-Jun-2017","        667.15","        668.05","        671.85","        662.20","        664.80","        664.75","        666.88","    2195045","          1463821512.50","      52611","    1256115","         57.23"
"BPCL","EQ","21-Jun-2017","        664.75","        667.00","        667.00","        651.15","        654.00","        654.40","        655.32","    2679260","          1755764514.55","      88491","    1658448","         61.90"
"BPCL","EQ","22-Jun-2017","        654.40","        652.20","        654.60","        637.00","        642.75","        641.80","        644.16","    3402724","          2191902901.45","      82846","    1820314","         53.50"
"BPCL","EQ","23-Jun-2017","        641.80","        645.00","        646.05","        628.60","        630.40","        630.75","        633.56","    1757857","          1113711318.95","      60442","     694401","         39.50"
"BPCL","EQ","27-Jun-2017","        630.75","        629.00","        629.00","        599.00","        611.90","        612.05","        605.78","    9429084","          5711970216.90","     102181","    6112111","         64.82"
"BPCL","EQ","28-Jun-2017","        612.05","        610.00","        624.60","        608.65","        617.10","        616.70","        618.89","    3532200","          2186043558.90","     101719","    1885931","         53.39"
"BPCL","EQ","29-Jun-2017","        616.70","        617.50","        633.30","        617.00","        627.30","        626.05","        626.07","    5277522","          3304078947.75","     117633","    3214295","         60.91"
"BPCL","EQ","30-Jun-2017","        626.05","        624.05","        641.30","        622.35","        638.10","        639.40","        634.25","    4307467","          2732005977.65","     138071","    3098301","         71.93"
"BPCL","EQ","03-Jul-2017","        639.40","        640.10","        651.35","        640.10","        649.00","        649.35","        647.04","    3588253","          2321745984.80","     129759","    2510733","         69.97"
"BPCL","EQ","04-Jul-2017","        649.35","        647.70","        665.00","        645.95","        657.10","        657.20","        660.19","    7443636","          4914240947.75","      58985","    5582357","         75.00"
"BPCL","EQ","05-Jul-2017","        657.20","        658.00","        663.75","        656.35","        663.00","        662.10","        661.01","    1720386","          1137183969.00","      41318","     915436","         53.21"
"BPCL","EQ","06-Jul-2017","        662.10","        663.90","        664.00","        657.50","        660.00","        660.05","        660.31","    2409907","          1591282497.25","      56223","    1805330","         74.91"
"BPCL","EQ","07-Jul-2017","        660.05","        661.00","        669.75","        659.10","        664.05","        663.95","        665.02","    3653118","          2429390314.35","      48296","    2885631","         78.99"
"BPCL","EQ","10-Jul-2017","        663.95","        645.20","        691.20","        645.20","        663.70","        664.65","        667.26","     489540","           326648373.15","       5810","     394760","         80.64"
"BPCL","EQ","11-Jul-2017","        664.65","        668.90","        680.80","        664.25","        679.95","        678.30","        674.24","    3743038","          2523713422.05","      72913","    2774047","         74.11"
"BPCL","EQ","12-Jul-2017","        678.30","        684.00","        687.00","        678.25","        684.00","        683.70","        683.15","    3134866","          2141586600.80","      73817","    2154637","         68.73"
"BPCL","EQ","13-Jul-2017","        683.70","        458.00","        465.75","        454.40","        458.30","        458.55","        459.27","    3875953","          1780124896.55","      65001","    2132629","         55.02"
"BPCL","EQ","14-Jul-2017","        458.55","        462.90","        464.40","        456.10","        461.00","        460.80","        460.61","    2661189","          1225762268.75","      81157","    1479104","         55.58"
"BPCL","EQ","17-Jul-2017","        460.80","        461.00","        469.00","        460.00","        468.95","        467.45","        464.54","    2040756","           948014947.70","      33587","    1188089","         58.22"
"BPCL","EQ","18-Jul-2017","        467.45","        467.45","        475.00","        464.35","        469.80","        468.60","        469.95","    2797527","          1314706661.30","      56007","    1653157","         59.09"
"BPCL","EQ","19-Jul-2017","        468.60","        470.00","        472.95","        465.60","        469.10","        469.85","        469.01","    2545148","          1193701516.45","      35874","    1749886","         68.75"
"BPCL","EQ","20-Jul-2017","        469.85","        468.85","        471.50","        463.45","        467.50","        467.20","        467.78","    1799528","           841784650.20","      59463","    1009345","         56.09"
"BPCL","EQ","21-Jul-2017","        467.20","        467.20","        468.90","        461.40","        467.10","        467.15","        465.22","    2005524","           933012811.05","      24249","    1331016","         66.37"
"BPCL","EQ","24-Jul-2017","        467.15","        466.10","        472.75","        464.90","        465.90","        466.20","        468.06","    2591181","          1212827930.70","      46179","    2016961","         77.84"
"BPCL","EQ","25-Jul-2017","        466.20","        466.25","        468.60","        463.75","        466.40","        466.90","        466.41","    4180442","          1949802202.35","      44621","    3381815","         80.90"
"BPCL","EQ","26-Jul-2017","        466.90","        466.50","        472.55","        466.50","        471.00","        471.40","        470.30","    3228336","          1518281893.80","      37487","    2437191","         75.49"
"BPCL","EQ","27-Jul-2017","        471.40","        471.40","        480.00","        471.05","        479.85","        477.20","        474.90","    3556685","          1689081383.65","      38990","    2842789","         79.93"
"BPCL","EQ","28-Jul-2017","        477.20","        474.00","        480.50","        469.40","        474.00","        475.60","        475.04","    3727475","          1770696551.90","      48904","    2731268","         73.27"
