"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"CIPLA","EQ","20-Jun-2017","        539.75","        539.75","        549.50","        536.00","        547.50","        547.85","        544.70","     774728","           421992936.60","      22560","     263456","         34.01"
"CIPLA","EQ","21-Jun-2017","        547.85","        544.50","        546.00","        535.20","        539.90","        541.00","        539.31","     784293","           422976804.95","      35681","     263292","         33.57"
"CIPLA","EQ","22-Jun-2017","        541.00","        540.00","        545.55","        539.05","        540.15","        540.15","        541.63","     750732","           406620852.35","      19190","     196402","         26.16"
"CIPLA","EQ","23-Jun-2017","        540.15","        540.90","        544.00","        538.30","        542.45","        541.15","        541.04","     603986","           326782519.20","      27670","     248543","         41.15"
"CIPLA","EQ","27-Jun-2017","        541.15","        542.50","        551.60","        533.10","        534.90","        534.65","        539.54","    1038604","           560366123.00","      25290","     458054","         44.10"
"CIPLA","EQ","28-Jun-2017","        534.65","        535.40","        538.65","        531.00","        536.65","        536.85","        535.12","     601643","           321950114.45","      21918","     228130","         37.92"
"CIPLA","EQ","29-Jun-2017","        536.85","        538.45","        546.95","        534.25","        546.90","        543.75","        540.46","    1252382","           676864654.50","      22486","     695141","         55.51"
"CIPLA","EQ","30-Jun-2017","        543.75","        545.00","        558.90","        542.50","        557.60","        555.60","        552.36","     830751","           458873305.90","      20310","     282400","         33.99"
"CIPLA","EQ","03-Jul-2017","        555.60","        559.00","        559.90","        548.85","        552.50","        551.85","        553.68","     490390","           271518700.30","      12025","     133001","         27.12"
"CIPLA","EQ","04-Jul-2017","        551.85","        557.70","        558.00","        543.30","        544.15","        545.05","        550.27","     559358","           307799228.40","      16634","     158082","         28.26"
"CIPLA","EQ","05-Jul-2017","        545.05","        546.10","        547.80","        541.45","        546.35","        545.90","        545.24","     833105","           454242779.65","      29494","     487968","         58.57"
"CIPLA","EQ","06-Jul-2017","        545.90","        546.35","        547.90","        540.10","        543.00","        542.85","        544.80","     556426","           303141163.40","      14792","     131838","         23.69"
"CIPLA","EQ","07-Jul-2017","        542.85","        542.60","        552.00","        541.50","        545.50","        547.15","        549.04","     893680","           490667359.15","      19461","     348802","         39.03"
"CIPLA","EQ","10-Jul-2017","        547.15","        550.00","        551.95","        546.00","        548.75","        549.20","        549.65","     123415","            67834518.90","       1963","      48612","         39.39"
"CIPLA","EQ","11-Jul-2017","        549.20","        550.50","        552.65","        536.05","        539.50","        538.45","        540.18","    1526837","           824773677.80","      31076","     830993","         54.43"
"CIPLA","EQ","12-Jul-2017","        538.45","        539.45","        543.50","        537.00","        539.05","        539.95","        539.66","    1039208","           560817722.00","      20832","     633466","         60.96"
