"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"COALINDIA","EQ","20-Jun-2017","        253.95","        254.45","        255.00","        253.00","        253.85","        253.55","        253.77","    1052345","           267053838.95","      17934","     540627","         51.37"
"COALINDIA","EQ","21-Jun-2017","        253.55","        253.70","        253.75","        250.10","        250.50","        250.45","        251.29","    3289233","           826556952.60","      55995","    1968977","         59.86"
"COALINDIA","EQ","22-Jun-2017","        250.45","        250.50","        251.65","        245.20","        245.40","        245.70","        247.69","    3230390","           800121375.25","      41379","    1890331","         58.52"
"COALINDIA","EQ","23-Jun-2017","        245.70","        245.70","        247.80","        243.10","        245.20","        244.90","        245.59","    3623117","           889802428.85","      49487","    1946546","         53.73"
"COALINDIA","EQ","27-Jun-2017","        244.90","        245.10","        246.60","        244.00","        244.35","        244.35","        245.08","    2074212","           508354028.85","      29565","    1165018","         56.17"
"COALINDIA","EQ","28-Jun-2017","        244.35","        246.00","        247.20","        244.55","        246.00","        245.75","        245.78","    3526585","           866748551.75","      30476","    2236816","         63.43"
"COALINDIA","EQ","29-Jun-2017","        245.75","        246.80","        247.80","        244.60","        245.05","        245.15","        246.36","    2498353","           615494947.60","      43992","    1311041","         52.48"
"COALINDIA","EQ","30-Jun-2017","        245.15","        244.70","        245.90","        243.50","        244.50","        244.25","        244.57","    2375289","           580924898.25","      31348","    1350117","         56.84"
"COALINDIA","EQ","03-Jul-2017","        244.25","        245.35","        249.50","        242.60","        249.00","        248.85","        246.86","    2347837","           579591297.45","      25620","    1018512","         43.38"
"COALINDIA","EQ","04-Jul-2017","        248.85","        250.50","        250.50","        246.20","        247.00","        246.75","        248.13","    1760337","           436790676.10","      17713","     721589","         40.99"
"COALINDIA","EQ","05-Jul-2017","        246.75","        248.80","        249.00","        246.25","        247.30","        247.50","        247.19","    1260907","           311678810.80","      16968","     638161","         50.61"
"COALINDIA","EQ","06-Jul-2017","        247.50","        247.50","        252.80","        247.10","        251.50","        251.45","        250.78","    2797532","           701576668.95","      44050","    1501343","         53.67"
"COALINDIA","EQ","07-Jul-2017","        251.45","        250.05","        252.95","        250.05","        250.55","        251.10","        251.46","    1762982","           443322238.90","      22951","    1042865","         59.15"
"COALINDIA","EQ","10-Jul-2017","        251.10","        255.00","        259.35","        251.50","        258.30","        258.80","        257.78","     719435","           185459195.55","       7497","     385407","         53.57"
"COALINDIA","EQ","11-Jul-2017","        258.80","        259.00","        259.90","        253.75","        255.05","        254.50","        256.43","    1813885","           465138879.80","      27774","     961897","         53.03"
"COALINDIA","EQ","12-Jul-2017","        254.50","        255.00","        256.75","        253.10","        253.50","        253.45","        254.31","    2640999","           671642664.80","      29318","    1886430","         71.43"
"COALINDIA","EQ","13-Jul-2017","        253.45","        254.20","        255.80","        251.85","        253.95","        253.65","        253.72","    2303738","           584498631.45","      44257","    1398209","         60.69"
"COALINDIA","EQ","14-Jul-2017","        253.65","        253.95","        254.30","        248.10","        250.80","        250.45","        250.56","    2907464","           728483542.50","      66087","    1721656","         59.22"
"COALINDIA","EQ","17-Jul-2017","        250.45","        250.75","        251.00","        246.05","        247.20","        247.00","        247.81","    4445325","          1101606823.20","      33750","    3256752","         73.26"
"COALINDIA","EQ","18-Jul-2017","        247.00","        248.50","        249.30","        245.75","        248.75","        248.50","        247.65","    5338825","          1322167688.00","      31556","    3859769","         72.30"
"COALINDIA","EQ","19-Jul-2017","        248.50","        248.05","        256.65","        248.05","        255.95","        254.70","        251.91","    4270908","          1075890651.35","      30427","    2108023","         49.36"
"COALINDIA","EQ","20-Jul-2017","        254.70","        254.70","        258.50","        254.25","        255.40","        255.30","        256.31","    3923545","          1005636980.25","      33608","    1725955","         43.99"
"COALINDIA","EQ","21-Jul-2017","        255.30","        255.00","        262.95","        254.10","        262.50","        262.35","        260.35","    7715255","          2008629963.65","      66797","    4983105","         64.59"
"COALINDIA","EQ","24-Jul-2017","        262.35","        263.00","        265.25","        260.10","        261.65","        261.55","        263.10","    3359835","           883962654.65","      39850","    1565618","         46.60"
"COALINDIA","EQ","25-Jul-2017","        261.55","        262.00","        262.35","        257.75","        258.40","        258.30","        259.32","    1812135","           469921373.85","      32675","     938169","         51.77"
"COALINDIA","EQ","26-Jul-2017","        258.30","        258.40","        261.90","        258.05","        260.35","        260.65","        260.15","    2199360","           572154573.85","      25211","    1039033","         47.24"
"COALINDIA","EQ","27-Jul-2017","        260.65","        261.60","        262.20","        254.50","        255.50","        255.25","        258.06","    1950819","           503434883.30","      18296","    1130429","         57.95"
"COALINDIA","EQ","28-Jul-2017","        255.25","        254.20","        256.60","        250.00","        251.10","        251.55","        252.29","    2641938","           666525735.55","      29310","    1545244","         58.49"
"COALINDIA","EQ","31-Jul-2017","        251.55","        252.00","        252.35","        248.00","        249.65","        249.10","        249.43","    3580763","           893141771.40","      41824","    2470084","         68.98"
"COALINDIA","EQ","01-Aug-2017","        249.10","        249.90","        253.50","        249.45","        251.80","        251.45","        251.53","    5248187","          1320065383.40","      52164","    3390359","         64.60"
"COALINDIA","EQ","02-Aug-2017","        251.45","        251.95","        253.40","        249.00","        251.00","        250.85","        251.35","    3701093","           930281005.75","      26747","    2362351","         63.83"
"COALINDIA","EQ","03-Aug-2017","        250.85","        251.60","        251.80","        241.10","        242.00","        241.75","        245.68","    9661464","          2373650525.85","      52255","    6944120","         71.87"
"COALINDIA","EQ","04-Aug-2017","        241.75","        242.00","        250.20","        238.45","        249.20","        249.20","        244.45","    6573068","          1606807789.60","      70136","    3438434","         52.31"
"COALINDIA","EQ","07-Aug-2017","        249.20","        249.80","        253.20","        248.60","        251.25","        251.50","        251.05","    3336900","           837723332.50","      37102","    1866587","         55.94"
"COALINDIA","EQ","08-Aug-2017","        251.50","        248.40","        250.95","        243.20","        244.40","        245.05","        245.85","    3335671","           820082355.40","      36504","    1766784","         52.97"
"COALINDIA","EQ","09-Aug-2017","        245.05","        244.90","        245.30","        241.10","        242.40","        242.50","        243.13","    1801736","           438047327.70","      18371","     925246","         51.35"
"COALINDIA","EQ","10-Aug-2017","        242.50","        241.20","        242.25","        237.50","        239.45","        238.95","        239.73","    2764860","           662806882.15","      35028","    1609691","         58.22"
"COALINDIA","EQ","11-Aug-2017","        238.95","        237.00","        240.40","        233.70","        236.45","        235.90","        236.68","    3335287","           789389854.00","      38284","    1818815","         54.53"
"COALINDIA","EQ","14-Aug-2017","        235.90","        236.60","        240.90","        236.15","        238.10","        238.15","        238.73","    3086137","           736739069.55","      31706","    1278360","         41.42"
"COALINDIA","EQ","16-Aug-2017","        238.15","        237.00","        239.90","        234.50","        238.45","        237.95","        236.19","    7864893","          1857585778.85","      38592","    3831163","         48.71"
"COALINDIA","EQ","17-Aug-2017","        237.95","        239.40","        249.35","        237.05","        247.00","        246.95","        242.76","   20945037","          5084594939.55","      96393","   12327694","         58.86"
"COALINDIA","EQ","18-Aug-2017","        246.95","        246.50","        247.90","        241.70","        243.00","        243.35","        244.32","    3442524","           841075828.50","      53624","    1494809","         43.42"
"COALINDIA","EQ","21-Aug-2017","        243.35","        244.00","        249.40","        237.55","        239.20","        238.45","        243.14","    6555861","          1594012005.15","      61861","    2898777","         44.22"
"COALINDIA","EQ","22-Aug-2017","        238.45","        240.55","        243.05","        238.55","        241.00","        240.55","        240.61","    3428907","           825034227.80","      32863","    1501312","         43.78"
"COALINDIA","EQ","23-Aug-2017","        240.55","        242.30","        242.50","        239.50","        241.35","        241.10","        240.50","    3693013","           888162604.75","      26686","    1319205","         35.72"
"COALINDIA","EQ","24-Aug-2017","        241.10","        242.40","        242.80","        239.60","        241.65","        241.30","        241.19","    3835139","           925002640.90","      28581","    2411822","         62.89"
"COALINDIA","EQ","28-Aug-2017","        241.30","        242.00","        244.30","        241.55","        242.80","        243.60","        243.04","    2231233","           542289736.00","      34974","    1093554","         49.01"
"COALINDIA","EQ","29-Aug-2017","        243.60","        242.50","        242.50","        238.00","        238.20","        238.25","        239.72","    3051560","           731516277.95","      33042","    1424919","         46.69"
"COALINDIA","EQ","30-Aug-2017","        238.25","        240.95","        242.40","        239.15","        241.45","        241.80","        241.27","    3263209","           787300089.35","      28993","    1914487","         58.67"
"COALINDIA","EQ","31-Aug-2017","        241.80","        241.50","        241.50","        235.85","        238.05","        237.40","        237.91","    8401866","          1998894651.65","      58767","    5312496","         63.23"
"COALINDIA","EQ","01-Sep-2017","        237.40","        238.05","        240.40","        238.05","        239.00","        238.65","        238.94","    2197715","           525111896.55","      19099","     977859","         44.49"
"COALINDIA","EQ","04-Sep-2017","        238.65","        239.00","        247.20","        238.95","        246.25","        246.50","        244.39","    8269444","          2020978000.00","      56382","    3339855","         40.39"
"COALINDIA","EQ","05-Sep-2017","        246.50","        246.50","        254.70","        244.60","        253.70","        253.85","        251.18","    9538135","          2395789612.00","      56740","    4938907","         51.78"
"COALINDIA","EQ","06-Sep-2017","        253.85","        251.55","        257.55","        251.05","        257.10","        255.80","        254.34","    4237130","          1077678810.70","      36514","    1759075","         41.52"
"COALINDIA","EQ","07-Sep-2017","        255.80","        258.70","        258.90","        251.65","        253.00","        253.30","        254.68","    5398987","          1374994556.15","      49365","    2572178","         47.64"
"COALINDIA","EQ","08-Sep-2017","        253.30","        253.30","        255.85","        251.55","        254.85","        255.00","        254.32","    3749501","           953585621.55","      37581","    2252322","         60.07"
"COALINDIA","EQ","11-Sep-2017","        255.00","        256.50","        259.60","        255.25","        256.80","        257.05","        257.43","    3525110","           907483235.45","      37674","    1739962","         49.36"
"COALINDIA","EQ","12-Sep-2017","        257.05","        256.10","        258.30","        253.40","        257.00","        257.55","        255.73","    3752410","           959607217.30","      38498","    1849744","         49.29"
"COALINDIA","EQ","13-Sep-2017","        257.55","        257.00","        259.70","        255.10","        256.85","        256.35","        257.00","    3956139","          1016722627.65","      42742","    2179262","         55.09"
"COALINDIA","EQ","14-Sep-2017","        256.35","        255.60","        258.20","        254.05","        255.00","        255.05","        255.38","    5756534","          1470124265.50","      31668","    3396522","         59.00"
"COALINDIA","EQ","15-Sep-2017","        255.05","        255.20","        262.20","        255.20","        260.80","        259.80","        259.42","    8591867","          2228882153.10","      73336","    5056660","         58.85"
"COALINDIA","EQ","18-Sep-2017","        259.80","        261.45","        265.00","        260.10","        264.25","        264.55","        263.20","    4114253","          1082891843.20","      32918","    2225832","         54.10"
"COALINDIA","EQ","19-Sep-2017","        264.55","        262.00","        262.95","        257.10","        258.25","        258.55","        258.99","    5364164","          1389259111.55","      51179","    3100867","         57.81"
"COALINDIA","EQ","20-Sep-2017","        258.55","        258.55","        258.70","        253.20","        256.85","        256.55","        255.49","    3310089","           845691949.90","      38152","    1779164","         53.75"
"COALINDIA","EQ","21-Sep-2017","        256.55","        255.50","        256.40","        248.50","        254.40","        254.05","        252.41","    4473641","          1129186474.85","      32062","    2329833","         52.08"
"COALINDIA","EQ","22-Sep-2017","        254.05","        253.50","        254.45","        248.00","        253.80","        253.80","        251.20","    5178307","          1300781720.65","      42137","    2804372","         54.16"
"COALINDIA","EQ","25-Sep-2017","        253.80","        254.40","        257.70","        250.25","        257.50","        257.05","        254.75","    5684406","          1448119151.05","      45377","    3358913","         59.09"
"COALINDIA","EQ","26-Sep-2017","        257.05","        257.50","        261.85","        253.80","        259.55","        260.40","        258.48","    4587866","          1185864308.40","      49781","    2456646","         53.55"
"COALINDIA","EQ","27-Sep-2017","        260.40","        261.75","        261.90","        255.30","        260.20","        260.85","        259.27","    5990467","          1553133128.20","      80497","    3172931","         52.97"
"COALINDIA","EQ","28-Sep-2017","        260.85","        260.00","        270.25","        258.95","        266.35","        267.80","        266.84","   15893278","          4240976610.20","      99940","    8289202","         52.16"
"COALINDIA","EQ","29-Sep-2017","        267.80","        270.00","        272.40","        267.30","        271.00","        270.85","        270.33","    4839652","          1308304400.10","      45344","    2288446","         47.29"
"COALINDIA","EQ","03-Oct-2017","        270.85","        273.00","        274.30","        269.15","        272.05","        272.00","        271.50","    2925990","           794392221.20","      45331","    1342492","         45.88"
"COALINDIA","EQ","04-Oct-2017","        272.00","        271.15","        271.85","        268.70","        270.00","        270.00","        269.95","    2861280","           772413335.65","      25322","    1736502","         60.69"
"COALINDIA","EQ","05-Oct-2017","        270.00","        270.00","        273.95","        269.05","        273.10","        273.25","        272.13","    3173461","           863583420.00","      22987","    1484174","         46.77"
"COALINDIA","EQ","06-Oct-2017","        273.25","        273.50","        278.50","        273.45","        277.45","        276.70","        276.69","    7954834","          2201055338.10","      39627","    4558908","         57.31"
"COALINDIA","EQ","09-Oct-2017","        276.70","        277.00","        281.95","        276.80","        280.75","        281.35","        280.22","    7166260","          2008149284.30","      43060","    4235141","         59.10"
"COALINDIA","EQ","10-Oct-2017","        281.35","        281.35","        286.25","        281.35","        285.60","        285.65","        284.59","    8451221","          2405167487.45","      49889","    5194738","         61.47"
"COALINDIA","EQ","11-Oct-2017","        285.65","        286.00","        286.50","        280.75","        281.00","        282.95","        283.90","   17103406","          4855576126.50","      58846","   10464814","         61.19"
"COALINDIA","EQ","12-Oct-2017","        282.95","        281.90","        283.75","        280.15","        282.60","        282.40","        281.74","    5889501","          1659313020.80","      39137","    4252796","         72.21"
"COALINDIA","EQ","13-Oct-2017","        282.40","        282.60","        289.00","        282.60","        285.70","        287.25","        286.68","    5084089","          1457511831.25","      47028","    2810388","         55.28"
"COALINDIA","EQ","16-Oct-2017","        287.25","        287.30","        291.50","        286.75","        291.00","        290.70","        289.90","    5476361","          1587612799.65","      39478","    3127206","         57.10"
"COALINDIA","EQ","17-Oct-2017","        290.70","        291.00","        291.00","        288.25","        291.00","        290.05","        289.45","    3950516","          1143486233.70","      23275","    2388559","         60.46"
