"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"DRREDDY","EQ","20-Jun-2017","       2657.45","       2660.35","       2695.00","       2653.60","       2675.10","       2676.05","       2671.83","     196527","           525086116.00","      18333","      69880","         35.56"
"DRREDDY","EQ","21-Jun-2017","       2676.05","       2675.00","       2695.00","       2655.75","       2686.00","       2687.05","       2678.40","     179216","           480012286.55","      24341","      87975","         49.09"
"DRREDDY","EQ","22-Jun-2017","       2687.05","       2690.10","       2699.90","       2618.55","       2633.00","       2635.60","       2659.30","     171787","           456833415.15","      15252","      59192","         34.46"
"DRREDDY","EQ","23-Jun-2017","       2635.60","       2636.10","       2659.40","       2614.80","       2644.00","       2643.70","       2639.23","     232808","           614434704.70","      17366","     105438","         45.29"
"DRREDDY","EQ","27-Jun-2017","       2643.70","       2630.25","       2670.00","       2630.25","       2646.10","       2653.10","       2653.13","     265871","           705389825.50","      28765","     135361","         50.91"
"DRREDDY","EQ","28-Jun-2017","       2653.10","       2631.00","       2664.70","       2625.15","       2648.00","       2651.75","       2646.54","     191968","           508051841.40","      20324","      94151","         49.05"
"DRREDDY","EQ","29-Jun-2017","       2651.75","       2651.20","       2666.95","       2640.05","       2655.00","       2651.50","       2651.63","     181588","           481503495.20","      20449","      78460","         43.21"
"DRREDDY","EQ","30-Jun-2017","       2651.50","       2650.00","       2711.00","       2645.00","       2690.50","       2690.10","       2687.15","     327643","           880426100.25","      24633","     142471","         43.48"
"DRREDDY","EQ","03-Jul-2017","       2690.10","       2700.00","       2706.10","       2665.00","       2675.30","       2682.55","       2677.64","     144646","           387309279.50","      17660","      62782","         43.40"
"DRREDDY","EQ","04-Jul-2017","       2682.55","       2668.10","       2676.10","       2610.30","       2621.80","       2623.70","       2633.30","     264253","           695856474.30","      17098","     108822","         41.18"
"DRREDDY","EQ","05-Jul-2017","       2623.70","       2621.50","       2669.00","       2621.50","       2665.05","       2664.95","       2647.30","     181326","           480023556.75","      14235","      60559","         33.40"
"DRREDDY","EQ","06-Jul-2017","       2664.95","       2664.95","       2679.00","       2642.10","       2676.55","       2667.90","       2661.82","     124936","           332557419.20","      14248","      46720","         37.40"
"DRREDDY","EQ","07-Jul-2017","       2667.90","       2669.80","       2729.50","       2667.25","       2705.00","       2705.40","       2714.59","     284992","           773636376.95","      20834","      68284","         23.96"
"DRREDDY","EQ","10-Jul-2017","       2705.40","       2733.30","       2745.50","       2700.00","       2722.00","       2726.20","       2733.17","      40393","           110400852.95","       2475","      14180","         35.11"
"DRREDDY","EQ","11-Jul-2017","       2726.20","       2730.00","       2732.40","       2683.00","       2689.90","       2691.25","       2713.10","     160926","           436608091.55","      16488","      78741","         48.93"
"DRREDDY","EQ","12-Jul-2017","       2691.25","       2693.85","       2721.45","       2668.65","       2683.00","       2690.10","       2694.86","     213175","           574477093.25","      12948","     105858","         49.66"
"DRREDDY","EQ","13-Jul-2017","       2690.10","       2693.25","       2719.75","       2683.00","       2691.00","       2694.00","       2701.55","     137183","           370606244.00","      13427","      50096","         36.52"
"DRREDDY","EQ","14-Jul-2017","       2694.00","       2699.15","       2725.00","       2686.40","       2700.00","       2703.00","       2704.52","     195286","           528154103.95","       9780","      94145","         48.21"
"DRREDDY","EQ","17-Jul-2017","       2703.00","       2697.40","       2703.70","       2682.30","       2696.00","       2697.25","       2696.48","     201896","           544407643.35","       7956","     135481","         67.10"
"DRREDDY","EQ","18-Jul-2017","       2697.25","       2690.00","       2743.30","       2687.55","       2722.00","       2718.95","       2727.53","     301108","           821281939.15","      21104","      95132","         31.59"
"DRREDDY","EQ","19-Jul-2017","       2718.95","       2723.00","       2784.80","       2720.35","       2780.00","       2774.00","       2761.79","     364602","          1006955811.10","      21326","     170760","         46.83"
"DRREDDY","EQ","20-Jul-2017","       2774.00","       2774.95","       2778.40","       2742.30","       2746.00","       2750.10","       2757.08","     187889","           518025590.70","      13578","     105088","         55.93"
"DRREDDY","EQ","21-Jul-2017","       2750.10","       2738.00","       2780.00","       2727.00","       2758.10","       2762.55","       2755.38","     282516","           778439475.55","      16207","     104516","         36.99"
"DRREDDY","EQ","24-Jul-2017","       2762.55","       2785.00","       2787.00","       2688.90","       2692.00","       2696.45","       2705.80","     517895","          1401320059.95","      31506","     234290","         45.24"
"DRREDDY","EQ","25-Jul-2017","       2696.45","       2696.45","       2713.35","       2680.00","       2687.00","       2692.15","       2693.25","     374960","          1009861565.55","      23100","     200187","         53.39"
"DRREDDY","EQ","26-Jul-2017","       2692.15","       2708.00","       2716.55","       2680.90","       2706.50","       2707.35","       2696.36","     174665","           470960137.05","      12237","      48068","         27.52"
"DRREDDY","EQ","27-Jul-2017","       2707.35","       2710.00","       2723.00","       2587.00","       2599.00","       2620.35","       2654.38","    1822665","          4838047469.25","      59608","     950000","         52.12"
"DRREDDY","EQ","28-Jul-2017","       2620.35","       2499.50","       2506.55","       2451.10","       2465.20","       2464.95","       2477.93","    1548997","          3838301243.45","      83696","     628351","         40.57"
"DRREDDY","EQ","31-Jul-2017","       2464.95","       2438.00","       2448.10","       2375.00","       2375.90","       2383.20","       2397.27","    1525068","          3655998819.75","      60287","     848382","         55.63"
"DRREDDY","EQ","01-Aug-2017","       2383.20","       2379.00","       2458.00","       2369.80","       2426.00","       2431.55","       2434.57","    1034078","          2517534036.05","      49499","     441348","         42.68"
"DRREDDY","EQ","02-Aug-2017","       2431.55","       2435.10","       2439.90","       2372.40","       2380.00","       2378.55","       2399.24","     570459","          1368666303.55","      33446","     299456","         52.49"
"DRREDDY","EQ","03-Aug-2017","       2378.55","       2388.00","       2397.00","       2314.35","       2321.60","       2323.95","       2355.05","     777585","          1831252484.70","      44064","     403217","         51.86"
"DRREDDY","EQ","04-Aug-2017","       2323.95","       2315.00","       2315.05","       2230.10","       2238.00","       2239.55","       2259.94","    1226639","          2772125168.15","      68535","     593155","         48.36"
"DRREDDY","EQ","07-Aug-2017","       2239.55","       2240.00","       2257.00","       2200.00","       2202.00","       2206.95","       2229.80","     736078","          1641306908.35","      39569","     355427","         48.29"
"DRREDDY","EQ","08-Aug-2017","       2206.95","       2205.80","       2206.95","       2084.85","       2089.00","       2095.65","       2144.08","    1360991","          2918074107.90","      70288","     572265","         42.05"
"DRREDDY","EQ","09-Aug-2017","       2095.65","       2090.90","       2105.00","       2032.50","       2042.10","       2048.35","       2057.88","    1124987","          2315092583.40","      75234","     417081","         37.07"
"DRREDDY","EQ","10-Aug-2017","       2048.35","       2042.00","       2099.00","       1934.10","       1945.10","       1944.45","       2008.04","    1540007","          3092401284.40","      82468","     392238","         25.47"
"DRREDDY","EQ","11-Aug-2017","       1944.45","       1925.05","       2029.95","       1901.15","       2016.00","       2011.15","       1976.92","    1857913","          3672948660.75","     103761","     460806","         24.80"
"DRREDDY","EQ","14-Aug-2017","       2011.15","       2000.00","       2039.90","       1970.10","       2002.00","       2002.05","       2004.45","     843270","          1690295221.60","      39430","     125561","         14.89"
"DRREDDY","EQ","16-Aug-2017","       2002.05","       1995.00","       2017.80","       1970.05","       1992.45","       2005.25","       1994.02","     662136","          1320311276.50","      32294","     216468","         32.69"
"DRREDDY","EQ","17-Aug-2017","       2005.25","       2010.00","       2031.90","       1992.45","       2007.90","       2011.25","       2011.74","     540131","          1086605443.75","      24709","     200279","         37.08"
"DRREDDY","EQ","18-Aug-2017","       2011.25","       1998.00","       2007.55","       1971.30","       1981.05","       1982.00","       1986.40","     349297","           693842325.25","      17725","     119347","         34.17"
"DRREDDY","EQ","21-Aug-2017","       1982.00","       1990.00","       2001.00","       1921.10","       1934.50","       1931.10","       1960.09","     418295","           819896731.85","      19527","     133150","         31.83"
"DRREDDY","EQ","22-Aug-2017","       1931.10","       1945.00","       2014.00","       1935.00","       1978.80","       1984.15","       1979.81","     772164","          1528737153.65","      38427","     123757","         16.03"
"DRREDDY","EQ","23-Aug-2017","       1984.15","       1991.00","       2053.45","       1991.00","       2028.30","       2030.95","       2030.20","     809996","          1644452739.95","      39497","     130425","         16.10"
"DRREDDY","EQ","24-Aug-2017","       2030.95","       2028.00","       2100.00","       2010.55","       2080.00","       2088.15","       2069.20","    1124967","          2327782218.15","      64453","     332467","         29.55"
"DRREDDY","EQ","28-Aug-2017","       2088.15","       2084.00","       2089.75","       2027.10","       2050.00","       2049.40","       2051.48","     844176","          1731813221.20","      39746","     101412","         12.01"
"DRREDDY","EQ","29-Aug-2017","       2049.40","       2049.00","       2067.50","       2032.00","       2037.15","       2042.05","       2049.47","     607366","          1244778638.25","      24715","     138700","         22.84"
"DRREDDY","EQ","30-Aug-2017","       2042.05","       2047.00","       2074.40","       2031.40","       2033.00","       2038.90","       2055.64","     401449","           825236192.40","      20906","     133879","         33.35"
"DRREDDY","EQ","31-Aug-2017","       2038.90","       2044.00","       2051.70","       2006.00","       2017.55","       2020.90","       2024.27","     837809","          1695950603.80","      34811","     353188","         42.16"
"DRREDDY","EQ","01-Sep-2017","       2020.90","       2115.00","       2233.00","       2115.00","       2212.00","       2217.55","       2182.67","    3613589","          7887276769.80","     122958","    1176466","         32.56"
"DRREDDY","EQ","04-Sep-2017","       2217.55","       2234.00","       2236.40","       2173.25","       2181.90","       2195.10","       2197.67","     947235","          2081705870.45","      42018","     180843","         19.09"
"DRREDDY","EQ","05-Sep-2017","       2195.10","       2198.30","       2218.35","       2181.90","       2203.00","       2209.15","       2204.59","     513527","          1132114828.10","      21785","     179184","         34.89"
"DRREDDY","EQ","06-Sep-2017","       2209.15","       2185.35","       2208.00","       2175.75","       2191.35","       2196.90","       2193.90","     527252","          1156736933.30","      31659","     228954","         43.42"
"DRREDDY","EQ","07-Sep-2017","       2196.90","       2204.00","       2235.00","       2201.00","       2215.00","       2224.95","       2221.30","     491394","          1091533618.45","      26753","     199224","         40.54"
"DRREDDY","EQ","08-Sep-2017","       2224.95","       2229.00","       2229.00","       2066.15","       2161.00","       2162.50","       2156.71","    1719424","          3708296004.85","      67014","     435110","         25.31"
"DRREDDY","EQ","11-Sep-2017","       2162.50","       2169.00","       2198.00","       2154.00","       2155.95","       2159.50","       2175.08","     445377","           968731294.20","      31342","     153901","         34.56"
"DRREDDY","EQ","12-Sep-2017","       2159.50","       2165.00","       2197.40","       2135.40","       2162.15","       2165.75","       2164.65","     517997","          1121284554.70","      30693","     117098","         22.61"
"DRREDDY","EQ","13-Sep-2017","       2165.75","       2187.00","       2228.00","       2169.15","       2223.95","       2217.35","       2207.30","     755242","          1667042477.45","      32366","     182360","         24.15"
"DRREDDY","EQ","14-Sep-2017","       2217.35","       2234.00","       2264.95","       2230.00","       2257.75","       2253.35","       2248.43","     613254","          1378858126.25","      27683","     142995","         23.32"
"DRREDDY","EQ","15-Sep-2017","       2253.35","       2225.20","       2245.00","       2201.10","       2208.30","       2211.20","       2217.85","     672801","          1492174491.25","      32429","     260793","         38.76"
"DRREDDY","EQ","18-Sep-2017","       2211.20","       2204.00","       2258.55","       2175.60","       2255.00","       2242.05","       2213.95","     730962","          1618314092.50","      28151","     164945","         22.57"
"DRREDDY","EQ","19-Sep-2017","       2242.05","       2232.00","       2265.00","       2200.00","       2240.30","       2241.55","       2240.35","     566790","          1269810216.40","      27317","     119096","         21.01"
"DRREDDY","EQ","20-Sep-2017","       2241.55","       2250.00","       2329.00","       2240.00","       2325.00","       2314.70","       2297.29","    1333098","          3062510544.70","      68935","     412645","         30.95"
"DRREDDY","EQ","21-Sep-2017","       2314.70","       2346.25","       2500.00","       2346.25","       2490.00","       2486.55","       2439.82","    4057364","          9899217598.60","     159039","     937065","         23.10"
"DRREDDY","EQ","22-Sep-2017","       2486.55","       2494.00","       2526.75","       2446.55","       2461.00","       2457.75","       2487.73","    1991351","          4953947243.90","      76280","     338991","         17.02"
"DRREDDY","EQ","25-Sep-2017","       2457.75","       2464.00","       2475.00","       2405.00","       2428.20","       2417.25","       2428.65","     911049","          2212614781.35","      46122","     219042","         24.04"
"DRREDDY","EQ","26-Sep-2017","       2417.25","       2414.00","       2415.00","       2322.65","       2369.95","       2370.75","       2372.01","    1424436","          3378782415.10","      61227","     357181","         25.08"
"DRREDDY","EQ","27-Sep-2017","       2370.75","       2360.00","       2384.00","       2281.10","       2311.50","       2304.70","       2336.00","     935536","          2185415949.30","      41669","     269599","         28.82"
"DRREDDY","EQ","28-Sep-2017","       2304.70","       2300.00","       2415.00","       2272.20","       2381.35","       2375.40","       2375.35","    2815633","          6688114161.15","      97102","    1193935","         42.40"
"DRREDDY","EQ","29-Sep-2017","       2375.40","       2375.40","       2390.70","       2320.10","       2330.50","       2328.75","       2352.71","    1133595","          2667020909.50","      47268","     369617","         32.61"
"DRREDDY","EQ","03-Oct-2017","       2328.75","       2415.00","       2415.00","       2320.45","       2325.00","       2335.55","       2361.12","     978860","          2311202766.15","      41957","     379766","         38.80"
"DRREDDY","EQ","04-Oct-2017","       2335.55","       2342.00","       2398.40","       2319.55","       2392.00","       2387.60","       2368.38","    1187980","          2813584718.00","      58154","     460222","         38.74"
"DRREDDY","EQ","05-Oct-2017","       2387.60","       2392.00","       2428.40","       2376.00","       2379.05","       2389.15","       2400.83","     759504","          1823439898.80","      28910","     152902","         20.13"
"DRREDDY","EQ","06-Oct-2017","       2389.15","       2395.00","       2409.90","       2368.00","       2377.00","       2375.85","       2382.66","     533762","          1271773959.40","      27974","     110400","         20.68"
"DRREDDY","EQ","09-Oct-2017","       2375.85","       2380.00","       2433.00","       2379.25","       2409.85","       2408.95","       2414.28","     633048","          1528354478.35","      34288","     143159","         22.61"
"DRREDDY","EQ","10-Oct-2017","       2408.95","       2419.70","       2431.25","       2401.60","       2409.00","       2411.35","       2419.95","     316335","           765514347.05","      16410","      73296","         23.17"
"DRREDDY","EQ","11-Oct-2017","       2411.35","       2409.90","       2420.05","       2351.40","       2375.00","       2372.15","       2386.46","     450295","          1074611266.15","      18538","     125193","         27.80"
"DRREDDY","EQ","12-Oct-2017","       2372.15","       2397.00","       2397.00","       2358.50","       2380.00","       2379.85","       2377.22","     416094","           989145174.70","      26030","     124418","         29.90"
"DRREDDY","EQ","13-Oct-2017","       2379.85","       2373.00","       2379.60","       2350.00","       2354.50","       2354.45","       2360.99","     341789","           806958849.20","      21750","      88212","         25.81"
"DRREDDY","EQ","16-Oct-2017","       2354.45","       2356.00","       2411.00","       2356.00","       2397.75","       2403.50","       2388.92","     386658","           923695986.45","      23170","     129886","         33.59"
"DRREDDY","EQ","17-Oct-2017","       2403.50","       2397.00","       2397.00","       2375.50","       2380.10","       2381.35","       2383.43","     307110","           731973933.95","      16671","     106978","         34.83"
"DRREDDY","EQ","18-Oct-2017","       2381.35","       2386.70","       2404.00","       2376.00","       2389.00","       2385.40","       2390.51","     333114","           796312997.55","      15907","     125693","         37.73"
"DRREDDY","EQ","19-Oct-2017","       2385.40","       2385.00","       2387.00","       2362.05","       2376.90","       2373.05","       2374.37","      47303","           112314876.05","       2637","      13195","         27.89"
"DRREDDY","EQ","23-Oct-2017","       2373.05","       2390.10","       2415.00","       2352.00","       2366.20","       2366.20","       2374.32","     363956","           864146410.45","      23648","      97701","         26.84"
"DRREDDY","EQ","24-Oct-2017","       2366.20","       2373.00","       2382.30","       2356.00","       2363.65","       2363.65","       2367.37","     194673","           460863782.75","      14175","      86042","         44.20"
"DRREDDY","EQ","25-Oct-2017","       2363.65","       2366.00","       2395.10","       2340.20","       2353.05","       2348.85","       2369.42","     295696","           700628693.55","      17116","     120193","         40.65"
"DRREDDY","EQ","26-Oct-2017","       2348.85","       2349.40","       2357.95","       2315.00","       2345.05","       2344.35","       2336.18","     449242","          1049509947.10","      29865","     216070","         48.10"
"DRREDDY","EQ","27-Oct-2017","       2344.35","       2354.70","       2410.00","       2339.80","       2393.65","       2394.95","       2382.90","     434936","          1036408936.05","      25020","     130273","         29.95"
"DRREDDY","EQ","30-Oct-2017","       2394.95","       2396.00","       2465.00","       2367.05","       2430.00","       2438.50","       2427.68","     832219","          2020357811.45","      42866","     240654","         28.92"
"DRREDDY","EQ","31-Oct-2017","       2438.50","       2420.00","       2504.00","       2390.00","       2428.20","       2428.15","       2457.73","    1957333","          4810590010.85","      81908","     269164","         13.75"
"DRREDDY","EQ","01-Nov-2017","       2428.15","       2412.00","       2418.65","       2348.00","       2355.00","       2354.20","       2374.21","    1176092","          2792287015.90","      77955","     540404","         45.95"
"DRREDDY","EQ","02-Nov-2017","       2354.20","       2354.20","       2440.00","       2354.20","       2405.00","       2411.40","       2411.41","    1239887","          2989878189.10","      65249","     470526","         37.95"
"DRREDDY","EQ","03-Nov-2017","       2411.40","       2434.70","       2449.80","       2392.95","       2427.00","       2419.10","       2418.28","     576646","          1394493482.75","      36187","     170768","         29.61"
"DRREDDY","EQ","06-Nov-2017","       2419.10","       2414.00","       2419.10","       2380.65","       2387.45","       2392.25","       2401.80","     283667","           681310994.85","      18436","     127959","         45.11"
"DRREDDY","EQ","07-Nov-2017","       2392.25","       2402.20","       2415.00","       2337.50","       2385.00","       2378.00","       2375.25","     518350","          1231208902.25","      25613","     152198","         29.36"
"DRREDDY","EQ","08-Nov-2017","       2378.00","       2380.20","       2420.00","       2340.00","       2354.00","       2346.60","       2383.96","     432395","          1030813886.00","      33049","     134538","         31.11"
"DRREDDY","EQ","09-Nov-2017","       2346.60","       2368.60","       2384.10","       2340.20","       2374.00","       2370.10","       2358.89","     345854","           815831600.55","      22818","     110532","         31.96"
"DRREDDY","EQ","10-Nov-2017","       2370.10","       2369.80","       2379.90","       2340.00","       2341.00","       2347.85","       2350.42","     209756","           493014983.40","      10452","      88699","         42.29"
"DRREDDY","EQ","13-Nov-2017","       2347.85","       2354.70","       2375.00","       2330.05","       2337.00","       2344.10","       2351.47","     299182","           703516620.35","      16933","      73529","         24.58"
"DRREDDY","EQ","14-Nov-2017","       2344.10","       2348.70","       2349.95","       2310.05","       2324.00","       2320.30","       2332.63","     279262","           651416216.60","      22225","     120556","         43.17"
