"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"IBULHSGFIN","EQ","20-Jun-2017","       1129.45","       1128.15","       1134.00","       1121.85","       1134.00","       1129.45","       1127.86","    2797403","          3155085986.45","      30223","    2366735","         84.60"
"IBULHSGFIN","EQ","21-Jun-2017","       1129.45","       1129.90","       1129.90","       1115.70","       1122.70","       1121.75","       1121.39","    1818588","          2039338121.40","      31868","    1323322","         72.77"
"IBULHSGFIN","EQ","22-Jun-2017","       1121.75","       1122.35","       1132.95","       1107.60","       1112.20","       1114.25","       1122.66","    1661148","          1864910334.85","      30375","     971966","         58.51"
"IBULHSGFIN","EQ","23-Jun-2017","       1114.25","       1116.00","       1120.00","       1060.55","       1103.90","       1102.00","       1087.21","    2187534","          2378306189.65","      51381","     806908","         36.89"
"IBULHSGFIN","EQ","27-Jun-2017","       1102.00","       1100.50","       1101.90","       1062.85","       1084.45","       1080.00","       1072.42","    1994004","          2138418453.20","      75857","    1036485","         51.98"
"IBULHSGFIN","EQ","28-Jun-2017","       1080.00","       1080.00","       1089.35","       1067.85","       1076.00","       1075.15","       1079.89","    1188407","          1283346558.45","      43567","     788528","         66.35"
"IBULHSGFIN","EQ","29-Jun-2017","       1075.15","       1080.00","       1108.35","       1080.00","       1100.00","       1095.60","       1096.52","    1839371","          2016910396.35","      38911","    1017570","         55.32"
"IBULHSGFIN","EQ","30-Jun-2017","       1095.60","       1091.00","       1091.00","       1063.90","       1082.25","       1076.15","       1074.50","    1141665","          1226724219.40","      40742","     652863","         57.19"
"IBULHSGFIN","EQ","03-Jul-2017","       1076.15","       1087.70","       1087.70","       1065.30","       1074.40","       1075.30","       1076.22","     721429","           776416338.55","      29117","     382267","         52.99"
"IBULHSGFIN","EQ","04-Jul-2017","       1075.30","       1078.00","       1078.00","       1040.10","       1050.00","       1051.15","       1052.78","    1652082","          1739273665.10","      59444","     744713","         45.08"
"IBULHSGFIN","EQ","05-Jul-2017","       1051.15","       1050.00","       1065.70","       1044.30","       1060.30","       1060.90","       1057.97","     870502","           920965133.05","      38169","     450092","         51.70"
"IBULHSGFIN","EQ","06-Jul-2017","       1060.90","       1060.30","       1102.20","       1058.35","       1081.25","       1083.20","       1085.67","    1944446","          2111034767.45","      74879","     959357","         49.34"
"IBULHSGFIN","EQ","07-Jul-2017","       1083.20","       1087.00","       1093.00","       1062.60","       1064.80","       1065.45","       1073.07","    1044838","          1121188443.00","      59296","     560925","         53.69"
"IBULHSGFIN","EQ","10-Jul-2017","       1065.45","       1097.40","       1100.00","       1063.25","       1070.00","       1069.45","       1070.66","     471923","           505268628.20","       8963","     400170","         84.80"
"IBULHSGFIN","EQ","11-Jul-2017","       1069.45","       1073.70","       1093.20","       1068.40","       1082.00","       1085.10","       1084.45","    1755268","          1903500200.05","      71357","    1176504","         67.03"
"IBULHSGFIN","EQ","12-Jul-2017","       1085.10","       1086.00","       1111.80","       1072.95","       1110.30","       1107.65","       1095.71","    1569358","          1719565246.20","      58083","     848317","         54.06"
"IBULHSGFIN","EQ","13-Jul-2017","       1107.65","       1114.00","       1135.25","       1113.05","       1127.70","       1129.15","       1127.59","    1700154","          1917084283.80","      34933","    1020839","         60.04"
"IBULHSGFIN","EQ","14-Jul-2017","       1129.15","       1133.00","       1134.45","       1112.25","       1120.10","       1122.90","       1122.65","     686907","           771157465.80","      28406","     366918","         53.42"
"IBULHSGFIN","EQ","17-Jul-2017","       1122.90","       1122.80","       1146.35","       1121.00","       1140.25","       1142.45","       1133.60","     549068","           622420741.05","      17385","     209729","         38.20"
"IBULHSGFIN","EQ","18-Jul-2017","       1142.45","       1140.00","       1157.10","       1132.85","       1141.50","       1142.00","       1146.56","    1244006","          1426322683.10","      32150","     751189","         60.38"
"IBULHSGFIN","EQ","19-Jul-2017","       1142.00","       1133.10","       1151.75","       1133.10","       1149.95","       1149.60","       1148.07","     766760","           880292310.90","      27261","     448347","         58.47"
"IBULHSGFIN","EQ","20-Jul-2017","       1149.60","       1151.90","       1166.40","       1142.60","       1158.75","       1158.75","       1156.00","    1686808","          1949943148.05","      37096","    1168658","         69.28"
"IBULHSGFIN","EQ","21-Jul-2017","       1158.75","       1160.00","       1160.00","       1120.75","       1135.05","       1137.45","       1140.12","    1455792","          1659776444.40","      33550","    1013904","         69.65"
"IBULHSGFIN","EQ","24-Jul-2017","       1137.45","       1137.95","       1162.40","       1133.10","       1160.00","       1157.25","       1149.88","    1108532","          1274680943.25","      41772","     655381","         59.12"
"IBULHSGFIN","EQ","25-Jul-2017","       1157.25","       1165.00","       1200.90","       1160.00","       1196.80","       1197.85","       1189.26","    1826723","          2172450842.00","      49400","     553406","         30.30"
"IBULHSGFIN","EQ","26-Jul-2017","       1197.85","       1199.00","       1216.50","       1183.20","       1189.00","       1189.25","       1202.69","    1298518","          1561711263.70","      37285","     450110","         34.66"
"IBULHSGFIN","EQ","27-Jul-2017","       1189.25","       1198.80","       1204.35","       1152.85","       1160.85","       1158.85","       1166.23","    2412305","          2813294503.80","      44232","    1841938","         76.36"
"IBULHSGFIN","EQ","28-Jul-2017","       1158.85","       1162.00","       1179.00","       1156.65","       1176.00","       1175.50","       1172.84","     743040","           871468904.25","      20767","     365788","         49.23"
