"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"INDUSINDBK","EQ","20-Jun-2017","       1511.35","       1512.10","       1521.45","       1503.55","       1514.90","       1514.95","       1515.44","     472248","           715661659.15","      12200","     346946","         73.47"
"INDUSINDBK","EQ","21-Jun-2017","       1514.95","       1508.30","       1512.00","       1489.05","       1492.80","       1494.35","       1496.34","     859762","          1286496292.45","      47019","     644475","         74.96"
"INDUSINDBK","EQ","22-Jun-2017","       1494.35","       1497.85","       1506.45","       1487.30","       1490.40","       1490.65","       1496.50","     905839","          1355588201.25","      50326","     710318","         78.42"
"INDUSINDBK","EQ","23-Jun-2017","       1490.65","       1493.70","       1503.00","       1485.30","       1494.00","       1491.40","       1494.08","     596334","           890970185.70","      23701","     356225","         59.74"
"INDUSINDBK","EQ","27-Jun-2017","       1491.40","       1495.00","       1502.00","       1485.00","       1486.00","       1490.15","       1491.03","    1285379","          1916541075.65","      65995","    1026971","         79.90"
"INDUSINDBK","EQ","28-Jun-2017","       1490.15","       1486.05","       1499.00","       1463.15","       1497.25","       1490.65","       1477.14","     972763","          1436902657.35","      69353","     679501","         69.85"
"INDUSINDBK","EQ","29-Jun-2017","       1490.65","       1495.05","       1509.80","       1474.15","       1478.50","       1479.55","       1489.96","     806219","          1201230562.75","      38905","     458782","         56.91"
"INDUSINDBK","EQ","30-Jun-2017","       1479.55","       1468.65","       1483.50","       1462.30","       1482.10","       1478.95","       1471.98","     806197","          1186708152.75","      49210","     531659","         65.95"
"INDUSINDBK","EQ","03-Jul-2017","       1478.95","       1482.90","       1495.60","       1472.75","       1489.30","       1490.95","       1484.79","    1167857","          1734026317.15","      62509","     851533","         72.91"
"INDUSINDBK","EQ","04-Jul-2017","       1490.95","       1477.05","       1501.00","       1477.05","       1501.00","       1497.80","       1491.93","     812900","          1212791493.40","      28239","     612431","         75.34"
"INDUSINDBK","EQ","05-Jul-2017","       1497.80","       1505.00","       1519.85","       1499.00","       1519.00","       1516.35","       1512.92","     498116","           753607932.75","      22279","     251877","         50.57"
"INDUSINDBK","EQ","06-Jul-2017","       1516.35","       1523.50","       1523.50","       1506.15","       1520.00","       1519.55","       1515.01","     803617","          1217488454.20","      31350","     523533","         65.15"
"INDUSINDBK","EQ","07-Jul-2017","       1519.55","       1514.50","       1529.90","       1511.55","       1526.00","       1526.30","       1524.57","     840805","          1281862530.05","      51183","     513079","         61.02"
"INDUSINDBK","EQ","10-Jul-2017","       1526.30","       1541.55","       1564.95","       1526.50","       1554.00","       1560.35","       1550.24","     260961","           404551996.40","       7001","     114592","         43.91"
"INDUSINDBK","EQ","11-Jul-2017","       1560.35","       1565.00","       1571.00","       1550.65","       1561.00","       1560.70","       1561.65","    2874052","          4488268635.45","      81374","    1366946","         47.56"
"INDUSINDBK","EQ","12-Jul-2017","       1560.70","       1572.60","       1581.20","       1562.00","       1573.00","       1577.00","       1573.46","    1550156","          2439103431.10","      70916","     904568","         58.35"
"INDUSINDBK","EQ","13-Jul-2017","       1577.00","       1581.00","       1585.00","       1561.30","       1579.00","       1579.90","       1576.54","     712568","          1123391109.40","      30349","     306905","         43.07"
"INDUSINDBK","EQ","14-Jul-2017","       1579.90","       1582.00","       1582.90","       1568.65","       1575.05","       1574.50","       1575.31","     971789","          1530873479.40","      25450","     587160","         60.42"
"INDUSINDBK","EQ","17-Jul-2017","       1574.50","       1576.00","       1584.75","       1560.00","       1584.50","       1581.05","       1573.18","     762299","          1199230841.00","      50219","     449714","         58.99"
"INDUSINDBK","EQ","18-Jul-2017","       1581.05","       1575.55","       1581.90","       1564.50","       1571.05","       1570.10","       1570.75","     789508","          1240116416.80","      35534","     501186","         63.48"
"INDUSINDBK","EQ","19-Jul-2017","       1570.10","       1576.00","       1584.00","       1569.60","       1574.50","       1574.55","       1576.96","     704416","          1110835722.85","      39162","     411323","         58.39"
"INDUSINDBK","EQ","20-Jul-2017","       1574.55","       1579.00","       1580.95","       1554.85","       1560.00","       1560.00","       1567.43","     747783","          1172094634.80","      32297","     487342","         65.17"
"INDUSINDBK","EQ","21-Jul-2017","       1560.00","       1560.00","       1568.90","       1551.15","       1568.00","       1566.65","       1564.46","     665760","          1041556183.95","      34501","     480254","         72.14"
"INDUSINDBK","EQ","24-Jul-2017","       1566.65","       1565.65","       1565.65","       1549.50","       1556.95","       1554.50","       1555.72","     980822","          1525882028.75","      48819","     688416","         70.19"
"INDUSINDBK","EQ","25-Jul-2017","       1554.50","       1554.00","       1556.90","       1539.10","       1542.40","       1542.50","       1544.39","    1159201","          1790257685.40","      56687","     892128","         76.96"
"INDUSINDBK","EQ","26-Jul-2017","       1542.50","       1543.80","       1585.00","       1536.65","       1580.00","       1580.20","       1562.11","    1175988","          1837026927.45","      47830","     729352","         62.02"
"INDUSINDBK","EQ","27-Jul-2017","       1580.20","       1587.00","       1625.90","       1585.00","       1602.90","       1606.70","       1606.94","    1980176","          3182016002.65","      56609","    1093769","         55.24"
"INDUSINDBK","EQ","28-Jul-2017","       1606.70","       1596.50","       1637.35","       1594.05","       1635.00","       1628.35","       1614.78","     923109","          1490616343.95","      33171","     652823","         70.72"
"INDUSINDBK","EQ","31-Jul-2017","       1628.35","       1634.30","       1650.80","       1616.50","       1639.25","       1645.75","       1637.29","    1287974","          2108788616.10","      46415","     862965","         67.00"
"INDUSINDBK","EQ","01-Aug-2017","       1645.75","       1654.60","       1674.00","       1637.75","       1663.05","       1665.70","       1649.30","    1150244","          1897092956.55","      31810","     765210","         66.53"
"INDUSINDBK","EQ","02-Aug-2017","       1665.70","       1665.50","       1668.45","       1648.50","       1655.00","       1658.75","       1658.68","     509282","           844735442.95","      28660","     263199","         51.68"
"INDUSINDBK","EQ","03-Aug-2017","       1658.75","       1655.00","       1660.00","       1638.05","       1641.20","       1645.20","       1647.53","     462668","           762259472.65","      36263","     245897","         53.15"
"INDUSINDBK","EQ","04-Aug-2017","       1645.20","       1635.25","       1670.90","       1635.25","       1667.30","       1664.70","       1658.49","     557065","           923888712.45","      42731","     316326","         56.78"
"INDUSINDBK","EQ","07-Aug-2017","       1664.70","       1670.00","       1674.55","       1647.70","       1652.00","       1650.50","       1658.27","     386830","           641468509.60","      24085","     249959","         64.62"
"INDUSINDBK","EQ","08-Aug-2017","       1650.50","       1654.00","       1660.95","       1632.05","       1640.05","       1638.65","       1647.26","     717420","          1181774971.00","      33513","     522329","         72.81"
"INDUSINDBK","EQ","09-Aug-2017","       1638.65","       1638.00","       1645.00","       1631.75","       1638.00","       1637.25","       1637.24","     530640","           868782588.40","      25952","     326021","         61.44"
"INDUSINDBK","EQ","10-Aug-2017","       1637.25","       1630.00","       1638.60","       1609.00","       1633.90","       1629.40","       1619.50","     709628","          1149243161.85","      48478","     453118","         63.85"
"INDUSINDBK","EQ","11-Aug-2017","       1629.40","       1609.00","       1633.50","       1599.00","       1626.30","       1625.35","       1613.94","    1142387","          1843738941.00","      70186","     781673","         68.42"
"INDUSINDBK","EQ","14-Aug-2017","       1625.35","       1628.50","       1640.50","       1612.30","       1622.00","       1624.70","       1626.92","     900057","          1464317669.40","      35715","     685458","         76.16"
"INDUSINDBK","EQ","16-Aug-2017","       1624.70","       1628.00","       1654.00","       1603.40","       1650.10","       1647.20","       1628.91","     952709","          1551878148.50","      55298","     590971","         62.03"
"INDUSINDBK","EQ","17-Aug-2017","       1647.20","       1650.00","       1650.00","       1617.40","       1631.75","       1628.50","       1633.63","     619082","          1011347849.15","      29950","     378601","         61.16"
"INDUSINDBK","EQ","18-Aug-2017","       1628.50","       1625.00","       1625.00","       1594.30","       1621.60","       1621.05","       1611.65","     620278","           999668693.05","      31367","     366204","         59.04"
"INDUSINDBK","EQ","21-Aug-2017","       1621.05","       1620.00","       1641.50","       1611.70","       1612.15","       1616.10","       1624.04","     484815","           787356759.55","      16584","     290669","         59.95"
"INDUSINDBK","EQ","22-Aug-2017","       1616.10","       1619.50","       1640.95","       1611.00","       1634.00","       1626.30","       1625.48","     694864","          1129486961.80","      22344","     319350","         45.96"
"INDUSINDBK","EQ","23-Aug-2017","       1626.30","       1628.00","       1664.95","       1628.00","       1656.20","       1660.90","       1648.06","    1091055","          1798127844.25","      62812","     764141","         70.04"
"INDUSINDBK","EQ","24-Aug-2017","       1660.90","       1662.10","       1684.00","       1655.70","       1667.35","       1667.70","       1672.60","    1400606","          2342650516.35","      39627","     741274","         52.93"
"INDUSINDBK","EQ","28-Aug-2017","       1667.70","       1667.00","       1670.00","       1653.65","       1663.90","       1660.55","       1660.50","     745075","          1237198308.25","      40254","     444511","         59.66"
"INDUSINDBK","EQ","29-Aug-2017","       1660.55","       1645.00","       1659.30","       1638.10","       1641.40","       1643.30","       1647.64","     514823","           848240793.25","      23334","     266782","         51.82"
"INDUSINDBK","EQ","30-Aug-2017","       1643.30","       1651.00","       1665.80","       1647.05","       1660.55","       1655.80","       1658.74","     379651","           629740554.75","      23726","     179305","         47.23"
"INDUSINDBK","EQ","31-Aug-2017","       1655.80","       1662.50","       1668.40","       1648.00","       1658.05","       1656.75","       1657.72","    1845805","          3059820065.05","      42623","    1002210","         54.30"
"INDUSINDBK","EQ","01-Sep-2017","       1656.75","       1661.00","       1695.80","       1654.00","       1689.05","       1692.25","       1682.20","     616709","          1037425441.80","      32449","     379580","         61.55"
"INDUSINDBK","EQ","04-Sep-2017","       1692.25","       1682.50","       1689.55","       1658.50","       1662.00","       1669.45","       1672.04","     423495","           708100959.45","      25914","     232253","         54.84"
"INDUSINDBK","EQ","05-Sep-2017","       1669.45","       1670.70","       1688.60","       1665.00","       1682.05","       1684.75","       1681.11","     530479","           891792368.70","      19885","     381903","         71.99"
"INDUSINDBK","EQ","06-Sep-2017","       1684.75","       1676.00","       1693.80","       1673.15","       1691.65","       1684.80","       1686.63","    1155788","          1949389405.05","      31524","     817706","         70.75"
"INDUSINDBK","EQ","07-Sep-2017","       1684.80","       1690.00","       1715.15","       1687.65","       1704.00","       1703.90","       1699.11","     854744","          1452304418.65","      23214","     614483","         71.89"
"INDUSINDBK","EQ","08-Sep-2017","       1703.90","       1712.90","       1713.00","       1688.10","       1700.00","       1695.90","       1698.73","     741404","          1259448193.75","      28574","     484808","         65.39"
"INDUSINDBK","EQ","11-Sep-2017","       1695.90","       1711.00","       1804.00","       1700.75","       1790.00","       1791.25","       1767.01","    3433596","          6067196703.70","     109895","    1191092","         34.69"
"INDUSINDBK","EQ","12-Sep-2017","       1791.25","       1803.75","       1803.75","       1737.00","       1740.00","       1741.90","       1756.22","    2108188","          3702433009.55","      59795","     828635","         39.31"
"INDUSINDBK","EQ","13-Sep-2017","       1741.90","       1745.75","       1765.00","       1736.40","       1743.95","       1744.75","       1751.15","    1217425","          2131891550.55","      39558","     495771","         40.72"
"INDUSINDBK","EQ","14-Sep-2017","       1744.75","       1749.00","       1749.00","       1719.10","       1723.90","       1728.75","       1732.23","     989267","          1713634445.05","      51303","     490732","         49.61"
"INDUSINDBK","EQ","15-Sep-2017","       1728.75","       1725.00","       1727.80","       1691.15","       1701.00","       1699.35","       1703.27","    2777536","          4730887360.10","      67295","    2287351","         82.35"
"INDUSINDBK","EQ","18-Sep-2017","       1699.35","       1706.10","       1752.90","       1706.10","       1743.00","       1745.60","       1738.32","    1469531","          2554512162.90","      48627","     922808","         62.80"
"INDUSINDBK","EQ","19-Sep-2017","       1745.60","       1749.70","       1758.00","       1741.20","       1745.00","       1746.45","       1749.27","     858627","          1501973405.95","      29737","     576429","         67.13"
"INDUSINDBK","EQ","20-Sep-2017","       1746.45","       1745.00","       1756.50","       1722.65","       1726.15","       1726.40","       1730.69","    1195102","          2068345258.05","      46313","     884017","         73.97"
"INDUSINDBK","EQ","21-Sep-2017","       1726.40","       1729.00","       1735.00","       1711.35","       1729.50","       1730.15","       1720.06","     883253","          1519246521.85","      35115","     574475","         65.04"
"INDUSINDBK","EQ","22-Sep-2017","       1730.15","       1720.00","       1721.15","       1694.00","       1704.05","       1707.60","       1703.42","    1247158","          2124430115.90","      44574","     806609","         64.68"
"INDUSINDBK","EQ","25-Sep-2017","       1707.60","       1695.25","       1713.70","       1675.20","       1699.00","       1701.70","       1699.06","    1728603","          2936995212.90","      56648","    1111529","         64.30"
"INDUSINDBK","EQ","26-Sep-2017","       1701.70","       1693.10","       1706.50","       1682.05","       1689.00","       1693.40","       1693.59","     616105","          1043427802.25","      28508","     346187","         56.19"
"INDUSINDBK","EQ","27-Sep-2017","       1693.40","       1699.00","       1704.60","       1662.55","       1665.30","       1667.95","       1683.13","    1037854","          1746840026.40","      37232","     627670","         60.48"
"INDUSINDBK","EQ","28-Sep-2017","       1667.95","       1662.90","       1695.00","       1641.20","       1679.85","       1680.75","       1663.20","    2385207","          3967065354.05","      72962","    1400088","         58.70"
"INDUSINDBK","EQ","29-Sep-2017","       1680.75","       1681.00","       1695.50","       1669.00","       1675.50","       1682.20","       1680.18","    1007099","          1692107520.20","      47744","     669328","         66.46"
"INDUSINDBK","EQ","03-Oct-2017","       1682.20","       1693.00","       1701.50","       1667.90","       1697.00","       1692.95","       1688.18","    1236296","          2087090938.25","      54273","     892714","         72.21"
