"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"IOC","EQ","20-Jun-2017","        407.20","        410.20","        414.65","        408.05","        411.50","        411.70","        411.89","    2863130","          1179289879.90","      46436","    1651746","         57.69"
"IOC","EQ","21-Jun-2017","        411.70","        412.00","        412.95","        407.55","        407.70","        408.25","        409.26","    2310598","           945624875.30","      50985","    1413509","         61.18"
"IOC","EQ","22-Jun-2017","        408.25","        406.00","        410.10","        392.30","        393.20","        393.50","        398.63","    4289950","          1710119516.90","      76078","    2438631","         56.85"
"IOC","EQ","23-Jun-2017","        393.50","        394.00","        395.00","        378.05","        384.25","        383.40","        383.35","    8525902","          3268432622.10","     104470","    5858007","         68.71"
"IOC","EQ","27-Jun-2017","        383.40","        385.00","        391.10","        376.20","        390.20","        390.40","        384.82","    4300410","          1654892400.75","      85643","    2287852","         53.20"
"IOC","EQ","28-Jun-2017","        390.40","        387.20","        399.80","        385.85","        386.60","        387.15","        393.15","    4919086","          1933956487.40","      55045","    2481676","         50.45"
"IOC","EQ","29-Jun-2017","        387.15","        388.85","        391.90","        381.90","        387.00","        386.85","        387.48","    4792349","          1856926852.45","      46151","    2747009","         57.32"
"IOC","EQ","30-Jun-2017","        386.85","        384.00","        390.00","        381.70","        383.95","        385.20","        384.72","    2331384","           896929657.10","      58274","    1289860","         55.33"
"IOC","EQ","03-Jul-2017","        385.20","        385.20","        389.60","        382.40","        387.50","        386.90","        386.08","    1635470","           631425993.15","      22181","     540958","         33.08"
"IOC","EQ","04-Jul-2017","        386.90","        388.00","        392.20","        380.80","        380.85","        381.85","        385.47","    2414539","           930737671.05","      40494","    1285751","         53.25"
"IOC","EQ","05-Jul-2017","        381.85","        383.00","        387.00","        380.05","        385.40","        385.70","        384.16","    1997006","           767175779.80","      25757","     964910","         48.32"
"IOC","EQ","06-Jul-2017","        385.70","        385.70","        386.00","        380.70","        380.80","        381.60","        382.56","    2541533","           972297734.50","      31507","    1480997","         58.27"
"IOC","EQ","07-Jul-2017","        381.60","        382.00","        383.35","        377.15","        382.50","        382.25","        381.00","    1964013","           748285876.40","      44853","    1032542","         52.57"
"IOC","EQ","10-Jul-2017","        382.25","        387.00","        390.15","        380.00","        383.80","        383.45","        384.61","     410854","           158019409.90","       4093","     172743","         42.04"
"IOC","EQ","11-Jul-2017","        383.45","        386.40","        388.75","        380.60","        387.10","        387.50","        386.24","    3454486","          1334244634.05","      44725","    2053162","         59.43"
"IOC","EQ","12-Jul-2017","        387.50","        390.00","        398.60","        390.00","        392.05","        392.60","        394.70","    4215427","          1663822160.15","      46272","    1922801","         45.61"
"IOC","EQ","13-Jul-2017","        392.60","        393.90","        396.00","        377.60","        382.05","        380.95","        383.09","    7539938","          2888492635.95","      82355","    4085804","         54.19"
"IOC","EQ","14-Jul-2017","        380.95","        383.90","        383.90","        371.20","        372.70","        373.10","        375.42","    6254871","          2348219372.65","      91043","    4018329","         64.24"
"IOC","EQ","17-Jul-2017","        373.10","        374.70","        376.60","        369.00","        374.00","        373.55","        372.87","    4861299","          1812618140.70","      74050","    3377985","         69.49"
"IOC","EQ","18-Jul-2017","        373.55","        374.00","        378.15","        370.45","        373.50","        372.15","        373.11","    6419003","          2394979916.20","      91265","    4690638","         73.07"
"IOC","EQ","19-Jul-2017","        372.15","        373.50","        377.90","        372.25","        375.00","        375.15","        374.63","    4329845","          1622083682.85","      69030","    2908774","         67.18"
"IOC","EQ","20-Jul-2017","        375.15","        374.00","        377.80","        372.00","        374.80","        374.55","        375.53","    2980365","          1119204054.75","      46465","    1695469","         56.89"
"IOC","EQ","21-Jul-2017","        374.55","        375.00","        382.70","        373.80","        381.70","        380.90","        378.65","    5513446","          2087691566.40","      63771","    3434560","         62.29"
"IOC","EQ","24-Jul-2017","        380.90","        380.95","        382.95","        377.55","        378.50","        378.15","        378.88","    3999279","          1515258255.40","      70401","    2778921","         69.49"
"IOC","EQ","25-Jul-2017","        378.15","        379.05","        380.00","        373.55","        373.95","        374.80","        375.68","    3483082","          1308535426.15","      51781","    2594139","         74.48"
"IOC","EQ","26-Jul-2017","        374.80","        375.00","        376.05","        372.00","        373.00","        373.65","        374.83","    2672524","          1001741488.35","      40760","    1922882","         71.95"
"IOC","EQ","27-Jul-2017","        373.65","        376.00","        376.00","        367.20","        368.50","        368.90","        372.35","    6013713","          2239213918.55","      43128","    4577265","         76.11"
"IOC","EQ","28-Jul-2017","        368.90","        368.00","        370.00","        364.10","        368.80","        367.80","        367.03","    3392587","          1245179357.60","      57723","    2227361","         65.65"
"IOC","EQ","31-Jul-2017","        367.80","        368.60","        373.70","        366.50","        366.60","        367.65","        369.64","    2537096","           937819235.05","      39231","    1727420","         68.09"
"IOC","EQ","01-Aug-2017","        367.65","        372.00","        375.50","        369.10","        370.20","        370.35","        371.92","    4757745","          1769478772.20","      79890","    3073531","         64.60"
"IOC","EQ","02-Aug-2017","        370.35","        372.00","        373.25","        366.10","        368.95","        370.10","        370.00","    4288360","          1586701937.30","     110876","    2907989","         67.81"
"IOC","EQ","03-Aug-2017","        370.10","        372.00","        395.00","        371.00","        387.95","        387.05","        386.36","   17149615","          6625900597.15","     142959","    6747807","         39.35"
"IOC","EQ","04-Aug-2017","        387.05","        395.00","        426.80","        393.00","        418.00","        418.95","        406.51","   15608306","          6344951927.55","     142682","    5854755","         37.51"
"IOC","EQ","07-Aug-2017","        418.95","        420.00","        433.45","        414.45","        430.00","        431.20","        426.24","    8854820","          3774309851.30","      99247","    3275591","         36.99"
"IOC","EQ","08-Aug-2017","        431.20","        431.00","        431.00","        408.40","        416.10","        413.25","        417.20","    5164968","          2154821921.40","      61690","    2097525","         40.61"
"IOC","EQ","09-Aug-2017","        413.25","        404.95","        425.80","        403.50","        413.00","        414.05","        417.50","    6253452","          2610791177.95","      69247","    1781227","         28.48"
"IOC","EQ","10-Aug-2017","        414.05","        411.90","        420.95","        403.40","        409.25","        410.30","        411.97","    4239237","          1746445961.00","      74473","    1395309","         32.91"
"IOC","EQ","11-Aug-2017","        410.30","        406.80","        415.50","        403.55","        412.25","        411.80","        409.63","    3768327","          1543627574.90","      68181","    1132498","         30.05"
"IOC","EQ","14-Aug-2017","        411.80","        413.40","        424.25","        410.15","        418.95","        419.45","        419.20","    2988060","          1252601066.05","      52054","    1006555","         33.69"
"IOC","EQ","16-Aug-2017","        419.45","        423.00","        428.00","        420.55","        422.95","        422.30","        424.55","    3852377","          1635522098.75","      75922","    2251594","         58.45"
"IOC","EQ","17-Aug-2017","        422.30","        426.00","        429.60","        423.05","        427.00","        426.30","        426.15","    3013849","          1284354366.40","      35410","    1258264","         41.75"
"IOC","EQ","18-Aug-2017","        426.30","        427.00","        436.00","        423.85","        426.55","        427.35","        430.95","    5647900","          2433952639.10","     101046","    2449550","         43.37"
"IOC","EQ","21-Aug-2017","        427.35","        433.90","        438.00","        411.35","        413.70","        413.20","        421.65","    5343565","          2253126041.70","      52360","    2283831","         42.74"
"IOC","EQ","22-Aug-2017","        413.20","        415.45","        429.40","        415.15","        423.90","        423.20","        423.70","    5702775","          2416294102.40","      74797","    2599217","         45.58"
"IOC","EQ","23-Aug-2017","        423.20","        426.90","        433.25","        425.00","        425.65","        426.85","        427.67","    2656918","          1136280584.25","      34330","    1214174","         45.70"
"IOC","EQ","24-Aug-2017","        426.85","        428.30","        432.80","        426.00","        427.00","        428.20","        429.31","    3949307","          1695488412.90","      60607","    2522434","         63.87"
"IOC","EQ","28-Aug-2017","        428.20","        429.50","        442.50","        428.40","        441.05","        440.70","        437.22","    6117189","          2674562287.90","      93677","    3889834","         63.59"
"IOC","EQ","29-Aug-2017","        440.70","        441.00","        446.50","        432.00","        437.00","        434.50","        439.27","    5179416","          2275166784.65","      72360","    2523989","         48.73"
"IOC","EQ","30-Aug-2017","        434.50","        439.50","        454.90","        437.80","        450.50","        452.85","        451.04","    8748458","          3945903730.75","     127311","    4348875","         49.71"
"IOC","EQ","31-Aug-2017","        452.85","        454.70","        462.95","        448.05","        455.50","        454.70","        456.42","   11525950","          5260716070.10","     124043","    5518167","         47.88"
"IOC","EQ","01-Sep-2017","        454.70","        458.50","        458.50","        447.10","        448.00","        448.30","        450.20","    4349979","          1958349586.45","      48406","    2235493","         51.39"
"IOC","EQ","04-Sep-2017","        448.30","        440.00","        444.70","        427.50","        428.90","        429.05","        434.33","    6489494","          2818595012.55","      67993","    2534739","         39.06"
"IOC","EQ","05-Sep-2017","        429.05","        431.90","        436.90","        428.20","        431.30","        431.85","        432.68","    3946462","          1707548752.05","      48215","    1420266","         35.99"
"IOC","EQ","06-Sep-2017","        431.85","        431.30","        435.60","        426.00","        428.05","        428.25","        430.58","    3592755","          1546957012.05","      43614","    1441726","         40.13"
"IOC","EQ","07-Sep-2017","        428.25","        432.90","        434.95","        426.40","        431.00","        432.20","        431.21","    4173046","          1799469466.40","      44725","    2278076","         54.59"
"IOC","EQ","08-Sep-2017","        432.20","        433.50","        438.50","        425.50","        429.60","        429.15","        432.04","    3873569","          1673523225.90","      59322","    1627005","         42.00"
"IOC","EQ","11-Sep-2017","        429.15","        433.00","        435.95","        427.90","        428.80","        429.05","        431.88","    2454178","          1059918545.50","      30925","    1130525","         46.07"
"IOC","EQ","12-Sep-2017","        429.05","        432.85","        436.80","        430.00","        435.25","        434.90","        434.83","    2796903","          1216190422.60","      31555","    1239695","         44.32"
"IOC","EQ","13-Sep-2017","        434.90","        437.95","        441.60","        408.00","        414.00","        415.95","        424.74","   11369669","          4829140335.35","      91654","    6321903","         55.60"
"IOC","EQ","14-Sep-2017","        415.95","        431.00","        434.50","        413.40","        419.80","        419.70","        421.27","    8827336","          3718700421.90","      86593","    3379628","         38.29"
"IOC","EQ","15-Sep-2017","        419.70","        420.00","        425.00","        413.30","        415.50","        415.65","        416.82","    5198923","          2167040829.70","      63115","    2853937","         54.89"
"IOC","EQ","18-Sep-2017","        415.65","        420.85","        421.00","        414.80","        415.50","        415.65","        416.74","    2771207","          1154867271.35","      31350","    1461664","         52.74"
"IOC","EQ","19-Sep-2017","        415.65","        416.50","        422.65","        412.10","        417.40","        418.30","        418.80","    3078675","          1289357799.00","      30263","    1242271","         40.35"
"IOC","EQ","20-Sep-2017","        418.30","        418.80","        419.45","        412.00","        414.20","        413.95","        415.40","    2328980","           967466583.10","      34629","    1369612","         58.81"
"IOC","EQ","21-Sep-2017","        413.95","        413.95","        419.90","        411.35","        413.25","        413.25","        414.97","    3597595","          1492900023.20","      44383","    1781298","         49.51"
"IOC","EQ","22-Sep-2017","        413.25","        413.80","        414.00","        399.25","        409.40","        408.40","        406.41","    5288065","          2149130755.75","      73473","    2463469","         46.59"
"IOC","EQ","25-Sep-2017","        408.40","        407.90","        407.90","        397.00","        399.50","        399.00","        400.24","    4852849","          1942281195.15","      51173","    2724972","         56.15"
"IOC","EQ","26-Sep-2017","        399.00","        401.00","        403.70","        385.00","        399.00","        399.65","        394.42","    6541371","          2580044515.65","      82899","    2996153","         45.80"
"IOC","EQ","27-Sep-2017","        399.65","        401.55","        408.00","        392.10","        393.75","        395.65","        401.70","    4185272","          1681203841.10","      47355","    1828301","         43.68"
"IOC","EQ","28-Sep-2017","        395.65","        392.95","        400.70","        374.50","        396.00","        397.40","        391.37","    7506730","          2937944690.50","      82786","    2503214","         33.35"
"IOC","EQ","29-Sep-2017","        397.40","        398.00","        405.50","        393.65","        399.65","        400.50","        401.12","    4049718","          1624404885.55","      66367","    1588179","         39.22"
"IOC","EQ","03-Oct-2017","        400.50","        405.10","        410.80","        398.10","        407.15","        406.55","        402.99","    2511084","          1011947739.35","      42386","    1032621","         41.12"
