"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"KOTAKBANK","EQ","20-Jun-2017","        987.55","        990.00","        990.00","        980.40","        983.90","        983.05","        984.97","     657768","           647883139.60","      36783","     520155","         79.08"
"KOTAKBANK","EQ","21-Jun-2017","        983.05","        982.95","        995.00","        979.15","        991.55","        991.95","        987.43","    1094255","          1080501350.75","      47110","     745131","         68.09"
"KOTAKBANK","EQ","22-Jun-2017","        991.95","        990.00","       1004.25","        990.00","        996.00","        997.90","        998.33","    1745066","          1742155424.40","      53205","    1123868","         64.40"
"KOTAKBANK","EQ","23-Jun-2017","        997.90","        999.00","       1004.65","        982.75","        985.50","        985.20","        993.24","    1455696","          1445850923.80","      50316","     992166","         68.16"
"KOTAKBANK","EQ","27-Jun-2017","        985.20","        985.00","        992.90","        966.45","        976.75","        974.75","        978.57","    1577817","          1544005733.55","      42677","    1182918","         74.97"
"KOTAKBANK","EQ","28-Jun-2017","        974.75","        983.75","        983.75","        967.85","        974.00","        972.20","        974.25","    1333766","          1299419312.80","      37444","     990263","         74.25"
"KOTAKBANK","EQ","29-Jun-2017","        972.20","        973.70","        976.95","        945.00","        952.00","        948.35","        958.71","    2798286","          2682744265.30","      43817","    1532517","         54.77"
"KOTAKBANK","EQ","30-Jun-2017","        948.35","        946.00","        961.40","        936.00","        957.95","        955.75","        947.92","    1921598","          1821524873.45","      34028","    1262488","         65.70"
"KOTAKBANK","EQ","03-Jul-2017","        955.75","        953.10","        955.45","        940.20","        951.80","        948.85","        948.25","    1337634","          1268408882.15","      30454","     733039","         54.80"
"KOTAKBANK","EQ","04-Jul-2017","        948.85","        952.50","        961.40","        943.25","        957.00","        958.80","        950.61","    1438005","          1366983235.80","      55581","    1009981","         70.23"
"KOTAKBANK","EQ","05-Jul-2017","        958.80","        960.70","        963.30","        954.10","        957.40","        959.85","        960.32","    1239270","          1190093515.70","      25498","     854307","         68.94"
"KOTAKBANK","EQ","06-Jul-2017","        959.85","        961.80","        962.85","        954.05","        958.45","        958.10","        958.32","     804102","           770589024.30","      24121","     491826","         61.16"
"KOTAKBANK","EQ","07-Jul-2017","        958.10","        957.00","        967.50","        954.10","        964.00","        964.70","        961.19","    1223510","          1176025514.65","      44621","     888604","         72.63"
"KOTAKBANK","EQ","10-Jul-2017","        964.70","        964.00","        972.80","        960.00","        962.65","        968.00","        968.41","     354368","           343174446.05","       5417","     243173","         68.62"
"KOTAKBANK","EQ","11-Jul-2017","        968.00","        969.90","        970.95","        955.25","        955.25","        958.75","        965.22","    1334899","          1288475421.30","      60496","    1008309","         75.53"
"KOTAKBANK","EQ","12-Jul-2017","        958.75","        960.00","        963.00","        951.25","        956.95","        956.65","        955.44","    1664448","          1590282080.10","      50180","    1281137","         76.97"
"KOTAKBANK","EQ","13-Jul-2017","        956.65","        960.00","        967.80","        956.80","        962.00","        962.10","        962.63","    2787244","          2683093501.95","      53288","    2249748","         80.72"
"KOTAKBANK","EQ","14-Jul-2017","        962.10","        968.95","        983.45","        963.75","        975.20","        977.20","        975.95","    3771140","          3680457271.60","      65371","    2624418","         69.59"
"KOTAKBANK","EQ","17-Jul-2017","        977.20","        983.00","        990.00","        976.40","        980.20","        979.70","        984.87","    2553254","          2514632797.60","      91002","    1869380","         73.22"
"KOTAKBANK","EQ","18-Jul-2017","        979.70","        981.80","        987.00","        971.35","        975.00","        977.10","        980.88","    1096403","          1075444176.45","      32676","     659979","         60.19"
"KOTAKBANK","EQ","19-Jul-2017","        977.10","        982.50","        998.00","        976.05","        995.05","        994.20","        988.44","    4990375","          4932708642.55","      43422","    3808209","         76.31"
"KOTAKBANK","EQ","20-Jul-2017","        994.20","       1001.95","       1016.40","        975.50","        979.10","        980.00","       1004.55","   10689537","         10738194423.40","     100861","    4734069","         44.29"
"KOTAKBANK","EQ","21-Jul-2017","        980.00","        984.90","       1002.50","        970.40","       1001.95","        999.45","        989.12","    2104019","          2081132993.95","      60621","    1029816","         48.95"
"KOTAKBANK","EQ","24-Jul-2017","        999.45","       1004.60","       1008.40","        987.55","        990.40","        992.95","        997.91","    2226380","          2221719344.05","      81401","    1356497","         60.93"
"KOTAKBANK","EQ","25-Jul-2017","        992.95","       1000.00","       1000.00","        983.10","        989.90","        987.95","        990.05","    1300655","          1287718530.30","      29989","     803141","         61.75"
"KOTAKBANK","EQ","26-Jul-2017","        987.95","        995.50","        995.50","        982.60","        985.25","        986.55","        987.71","    1816661","          1794328989.20","      19560","    1505873","         82.89"
"KOTAKBANK","EQ","27-Jul-2017","        986.55","        993.50","       1005.00","        982.50","        997.35","        998.15","        995.73","    2564843","          2553880068.15","      60487","    1803676","         70.32"
"KOTAKBANK","EQ","28-Jul-2017","        998.15","        996.70","       1017.50","        995.00","       1016.20","       1012.70","       1005.15","    1304864","          1311579483.80","      53633","     696972","         53.41"
"KOTAKBANK","EQ","31-Jul-2017","       1012.70","       1018.00","       1031.70","       1012.85","       1023.00","       1021.65","       1022.15","    2464607","          2519207334.05","      42857","    1454736","         59.03"
"KOTAKBANK","EQ","01-Aug-2017","       1021.65","       1024.00","       1024.00","       1011.00","       1011.25","       1015.30","       1015.89","    2063948","          2096751585.80","      64779","    1559594","         75.56"
"KOTAKBANK","EQ","02-Aug-2017","       1015.30","       1015.80","       1023.25","       1005.20","       1007.80","       1010.90","       1013.74","    1119072","          1134447476.00","      30670","     653946","         58.44"
"KOTAKBANK","EQ","03-Aug-2017","       1010.90","       1009.90","       1009.90","        994.00","        994.00","        996.40","        998.34","    1152115","          1150202821.30","      43679","     735956","         63.88"
"KOTAKBANK","EQ","04-Aug-2017","        996.40","        999.00","        999.60","        988.55","        995.95","        996.20","        994.41","    1187275","          1180642265.85","      38874","     881975","         74.29"
"KOTAKBANK","EQ","07-Aug-2017","        996.20","       1000.15","       1001.95","        994.30","        996.75","        997.90","        997.58","     619240","           617739578.70","      26600","     422417","         68.22"
"KOTAKBANK","EQ","08-Aug-2017","        997.90","       1000.00","       1000.00","        980.10","        986.95","        987.70","        986.57","    1222642","          1206221137.45","      40822","     705214","         57.68"
"KOTAKBANK","EQ","09-Aug-2017","        987.70","        989.00","        999.70","        979.30","        993.30","        992.40","        989.07","    1131399","          1119030721.15","      38791","     679454","         60.05"
"KOTAKBANK","EQ","10-Aug-2017","        992.40","        994.90","       1002.50","        983.05","        994.00","        996.80","        995.03","    2495164","          2482770080.55","      39899","    1252448","         50.20"
"KOTAKBANK","EQ","11-Aug-2017","        996.80","        988.90","        997.45","        973.55","        990.00","        992.20","        988.65","    1421743","          1405607718.80","      31144","     771992","         54.30"
"KOTAKBANK","EQ","14-Aug-2017","        992.20","        992.50","       1000.00","        980.25","        981.45","        982.60","        984.53","    2666347","          2625110750.20","      56882","    1974341","         74.05"
"KOTAKBANK","EQ","16-Aug-2017","        982.60","        990.00","       1005.00","        967.55","        998.95","       1000.55","        989.18","    3147277","          3113214057.20","      45771","    2260528","         71.82"
"KOTAKBANK","EQ","17-Aug-2017","       1000.55","       1003.00","       1003.00","        982.00","        984.45","        989.00","        992.66","    1076077","          1068183343.60","      18328","     383930","         35.68"
"KOTAKBANK","EQ","18-Aug-2017","        989.00","        983.00","        985.15","        976.00","        982.75","        983.55","        981.28","     956180","           938276458.45","      15253","     562531","         58.83"
"KOTAKBANK","EQ","21-Aug-2017","        983.55","        988.40","        991.70","        967.50","        968.30","        969.55","        980.26","     845249","           828566703.90","      20306","     431925","         51.10"
"KOTAKBANK","EQ","22-Aug-2017","        969.55","        974.90","        977.45","        966.30","        973.00","        970.80","        970.56","    1206098","          1170586724.75","      30683","     667162","         55.32"
"KOTAKBANK","EQ","23-Aug-2017","        970.80","        978.00","        984.00","        964.00","        977.75","        980.10","        971.47","    2354519","          2287352808.00","      47518","    1571906","         66.76"
"KOTAKBANK","EQ","24-Aug-2017","        980.10","        984.90","        984.90","        966.05","        974.00","        972.10","        972.39","    1336640","          1299737780.00","      25553","     637593","         47.70"
"KOTAKBANK","EQ","28-Aug-2017","        972.10","        980.00","        982.95","        972.50","        972.65","        976.05","        977.00","     621906","           607605122.80","      27880","     316119","         50.83"
"KOTAKBANK","EQ","29-Aug-2017","        976.05","        975.00","        975.90","        962.00","        964.25","        964.40","        965.93","    1314765","          1269972175.20","      24082","     781011","         59.40"
"KOTAKBANK","EQ","30-Aug-2017","        964.40","        970.00","        976.35","        965.95","        973.45","        971.35","        973.28","     997329","           970683416.80","      27917","     663372","         66.51"
"KOTAKBANK","EQ","31-Aug-2017","        971.35","        974.50","        980.90","        963.55","        977.30","        976.00","        973.26","    2524606","          2457097482.90","      45125","    1505711","         59.64"
"KOTAKBANK","EQ","01-Sep-2017","        976.00","        979.00","        998.10","        972.50","        989.45","        992.55","        993.13","    1948333","          1934939225.00","      51601","    1219414","         62.59"
"KOTAKBANK","EQ","04-Sep-2017","        992.55","        998.00","        998.60","        973.20","        976.55","        978.10","        981.18","     703102","           689866204.20","      21455","     361842","         51.46"
"KOTAKBANK","EQ","05-Sep-2017","        978.10","        978.10","        991.00","        975.85","        987.60","        988.40","        986.10","     851521","           839686209.90","      16943","     558672","         65.61"
"KOTAKBANK","EQ","06-Sep-2017","        988.40","        987.00","       1007.95","        980.05","        995.00","        996.15","        997.29","    1738140","          1733422691.65","      48309","     900194","         51.79"
"KOTAKBANK","EQ","07-Sep-2017","        996.15","        999.00","       1004.70","        988.20","        990.90","        993.50","        997.55","    1514770","          1511058802.25","      44566","     666065","         43.97"
"KOTAKBANK","EQ","08-Sep-2017","        993.50","        996.00","       1010.80","        991.55","       1004.20","       1007.55","       1004.83","    2076538","          2086570033.10","      46459","    1301676","         62.68"
"KOTAKBANK","EQ","11-Sep-2017","       1007.55","       1010.00","       1015.00","       1001.10","       1007.75","       1006.50","       1007.90","    1323918","          1334373215.30","      27052","     784830","         59.28"
"KOTAKBANK","EQ","12-Sep-2017","       1006.50","       1012.00","       1024.55","       1007.15","       1021.05","       1021.75","       1017.05","    1649509","          1677634090.70","      50416","    1065469","         64.59"
"KOTAKBANK","EQ","13-Sep-2017","       1021.75","       1022.00","       1025.10","       1015.60","       1019.75","       1020.15","       1021.86","    1110777","          1135061679.90","      30418","     756371","         68.09"
"KOTAKBANK","EQ","14-Sep-2017","       1020.15","       1021.80","       1026.45","       1002.40","       1009.00","       1007.60","       1011.75","    1484086","          1501524747.85","      35629","     783335","         52.78"
"KOTAKBANK","EQ","15-Sep-2017","       1007.60","       1007.90","       1011.70","        997.50","       1005.10","       1005.05","       1004.74","    5328496","          5353777110.75","      40989","    4542573","         85.25"
"KOTAKBANK","EQ","18-Sep-2017","       1005.05","       1007.50","       1024.95","       1007.50","       1019.20","       1017.05","       1020.27","     939378","           958417078.90","      24451","     487289","         51.87"
"KOTAKBANK","EQ","19-Sep-2017","       1017.05","       1020.00","       1045.40","       1015.60","       1036.45","       1034.35","       1035.18","    1976618","          2046148967.60","      46494","    1072318","         54.25"
