"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"M&amp;M","EQ","20-Jun-2017","       1388.25","       1394.60","       1399.00","       1385.00","       1386.70","       1389.45","       1390.46","     939704","          1306622140.20","      48781","     737146","         78.44"
"M&amp;M","EQ","21-Jun-2017","       1389.45","       1392.70","       1395.40","       1380.95","       1383.00","       1387.15","       1386.75","    1494718","          2072792836.95","      45285","    1134404","         75.89"
"M&amp;M","EQ","22-Jun-2017","       1387.15","       1385.00","       1407.20","       1381.70","       1397.20","       1396.30","       1397.62","    1128366","          1577031003.75","      39841","     645065","         57.17"
"M&amp;M","EQ","23-Jun-2017","       1396.30","       1400.00","       1418.25","       1370.10","       1382.00","       1376.20","       1393.99","    1220802","          1701779938.20","      48080","     605566","         49.60"
"M&amp;M","EQ","27-Jun-2017","       1376.20","       1393.30","       1394.50","       1365.00","       1368.95","       1370.30","       1379.19","    1668109","          2300640429.95","      39979","    1231722","         73.84"
"M&amp;M","EQ","28-Jun-2017","       1370.30","       1370.00","       1375.00","       1348.75","       1353.00","       1356.05","       1358.35","     827917","          1124602077.00","      28578","     524256","         63.32"
"M&amp;M","EQ","29-Jun-2017","       1356.05","       1360.00","       1379.10","       1352.15","       1360.10","       1355.65","       1364.33","     936894","          1278234629.60","      40064","     603955","         64.46"
"M&amp;M","EQ","30-Jun-2017","       1355.65","       1355.00","       1358.85","       1345.10","       1355.00","       1348.60","       1349.78","     954758","          1288711224.30","      24904","     675209","         70.72"
"M&amp;M","EQ","03-Jul-2017","       1348.60","       1356.00","       1372.00","       1343.00","       1364.10","       1366.45","       1365.38","    1023959","          1398092391.75","      27860","     673334","         65.76"
"M&amp;M","EQ","04-Jul-2017","       1366.45","       1365.00","       1377.00","       1351.70","       1355.00","       1355.15","       1362.67","     430180","           586194939.10","      18659","     261784","         60.85"
"M&amp;M","EQ","05-Jul-2017","       1355.15","       1365.00","       1395.40","       1361.50","       1383.00","       1385.00","       1384.49","    1216606","          1684373320.10","      41595","     570632","         46.90"
"M&amp;M","EQ","06-Jul-2017","       1385.00","       1393.70","       1393.70","       1370.00","       1370.95","       1376.05","       1384.15","     780888","          1080869932.75","      32579","     545196","         69.82"
"M&amp;M","EQ","07-Jul-2017","       1376.05","       1370.40","       1393.85","       1370.40","       1376.00","       1376.00","       1383.17","     658350","           910607919.25","      29442","     464666","         70.58"
"M&amp;M","EQ","10-Jul-2017","       1376.00","       1344.45","       1400.00","       1344.45","       1366.00","       1367.40","       1367.34","     436811","           597270472.10","       9688","     351940","         80.57"
"M&amp;M","EQ","11-Jul-2017","       1367.40","       1374.00","       1395.00","       1373.95","       1390.00","       1390.15","       1390.85","    2073421","          2883812276.75","      62838","    1705292","         82.25"
"M&amp;M","EQ","12-Jul-2017","       1390.15","       1395.00","       1396.10","       1375.00","       1376.00","       1376.70","       1383.89","     736026","          1018578242.95","      38796","     515386","         70.02"
"M&amp;M","EQ","13-Jul-2017","       1376.70","       1369.70","       1379.00","       1366.05","       1369.00","       1370.40","       1371.53","     794838","          1090144353.70","      32543","     604713","         76.08"
"M&amp;M","EQ","14-Jul-2017","       1370.40","       1377.95","       1382.45","       1369.00","       1373.10","       1375.55","       1377.05","     653673","           900141583.20","      19412","     385533","         58.98"
"M&amp;M","EQ","17-Jul-2017","       1375.55","       1380.00","       1405.40","       1378.30","       1381.95","       1384.60","       1393.96","    1313078","          1830383721.20","      40678","     705556","         53.73"
"M&amp;M","EQ","18-Jul-2017","       1384.60","       1381.95","       1401.95","       1377.00","       1383.50","       1380.15","       1385.23","     822868","          1139863650.65","      21635","     583077","         70.86"
"M&amp;M","EQ","19-Jul-2017","       1380.15","       1388.00","       1393.00","       1377.15","       1381.25","       1382.40","       1383.72","    1897894","          2626152654.45","      32733","    1576431","         83.06"
"M&amp;M","EQ","20-Jul-2017","       1382.40","       1387.00","       1397.80","       1381.30","       1391.00","       1393.45","       1390.38","     902218","          1254424095.60","      26288","     636732","         70.57"
"M&amp;M","EQ","21-Jul-2017","       1393.45","       1394.00","       1398.00","       1365.75","       1382.50","       1386.05","       1382.30","     700993","           968981558.95","      25040","     384806","         54.89"
"M&amp;M","EQ","24-Jul-2017","       1386.05","       1385.80","       1391.95","       1375.00","       1390.00","       1388.95","       1386.45","     580661","           805057683.25","      17896","     412851","         71.10"
"M&amp;M","EQ","25-Jul-2017","       1388.95","       1391.20","       1396.10","       1386.30","       1389.80","       1389.80","       1390.25","     720938","          1002282593.95","      31303","     524103","         72.70"
"M&amp;M","EQ","26-Jul-2017","       1389.80","       1390.70","       1420.20","       1389.05","       1413.50","       1413.50","       1410.26","    1267793","          1787917805.05","      54494","     808931","         63.81"
"M&amp;M","EQ","27-Jul-2017","       1413.50","       1420.00","       1423.75","       1395.00","       1402.00","       1398.20","       1404.81","    1933565","          2716291896.30","      54857","    1556956","         80.52"
"M&amp;M","EQ","28-Jul-2017","       1398.20","       1398.00","       1398.00","       1376.25","       1383.10","       1392.20","       1389.58","     401658","           558135356.55","      24883","     207552","         51.67"
"M&amp;M","EQ","31-Jul-2017","       1392.20","       1393.30","       1409.00","       1380.10","       1406.00","       1403.30","       1397.12","     510904","           713794219.20","      22932","     260406","         50.97"
"M&amp;M","EQ","01-Aug-2017","       1403.30","       1415.00","       1433.40","       1403.30","       1429.95","       1429.25","       1423.41","    1941740","          2763895765.00","      34253","    1415781","         72.91"
"M&amp;M","EQ","02-Aug-2017","       1429.25","       1430.60","       1433.65","       1408.30","       1410.00","       1414.60","       1419.34","     476469","           676272724.10","      21874","     236693","         49.68"
"M&amp;M","EQ","03-Aug-2017","       1414.60","       1418.40","       1421.65","       1404.10","       1416.55","       1416.50","       1413.36","     563019","           795747380.30","      31095","     285835","         50.77"
"M&amp;M","EQ","04-Aug-2017","       1416.50","       1420.00","       1424.40","       1395.10","       1419.00","       1418.05","       1406.90","    2237324","          3147688738.05","      49015","    1082782","         48.40"
