"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"NTPC","EQ","20-Jun-2017","        160.95","        160.25","        160.80","        158.65","        159.00","        158.95","        159.74","    2169234","           346509309.15","      25525","    1416990","         65.32"
"NTPC","EQ","21-Jun-2017","        158.95","        159.25","        161.00","        157.80","        160.20","        159.80","        159.43","    3411748","           543936290.30","      47517","    2724838","         79.87"
"NTPC","EQ","22-Jun-2017","        159.80","        160.05","        160.80","        158.30","        158.65","        158.95","        159.73","    4283012","           684117640.60","      56871","    3525905","         82.32"
"NTPC","EQ","23-Jun-2017","        158.95","        158.90","        160.90","        157.25","        157.50","        157.85","        159.33","    3869277","           616490524.30","      39935","    2901398","         74.99"
"NTPC","EQ","27-Jun-2017","        157.85","        157.50","        158.80","        155.00","        157.30","        157.90","        157.30","    3122199","           491128088.75","      52356","    2218033","         71.04"
"NTPC","EQ","28-Jun-2017","        157.90","        157.90","        160.10","        157.25","        159.90","        159.65","        158.62","    4215728","           668703314.80","      31299","    3139483","         74.47"
"NTPC","EQ","29-Jun-2017","        159.65","        159.00","        159.90","        157.85","        158.65","        158.65","        159.14","    8419900","          1339904644.10","      21113","    7120872","         84.57"
"NTPC","EQ","30-Jun-2017","        158.65","        158.30","        159.85","        157.05","        159.05","        158.95","        158.77","    5102459","           810102797.10","      33283","    4429044","         86.80"
"NTPC","EQ","03-Jul-2017","        158.95","        158.90","        158.90","        155.30","        157.00","        156.75","        156.36","    7454269","          1165528340.00","      98424","    5446411","         73.06"
"NTPC","EQ","04-Jul-2017","        156.75","        159.10","        159.75","        157.80","        158.10","        158.05","        158.18","    4402457","           696392980.75","      17804","    3408053","         77.41"
"NTPC","EQ","05-Jul-2017","        158.05","        158.20","        160.10","        157.80","        158.95","        159.00","        158.77","    4216507","           669461670.95","      21541","    3457193","         81.99"
"NTPC","EQ","06-Jul-2017","        159.00","        158.10","        158.65","        157.00","        158.00","        158.05","        158.01","    4482605","           708282662.40","      20489","    3784328","         84.42"
"NTPC","EQ","07-Jul-2017","        158.05","        157.90","        159.60","        157.60","        159.40","        159.05","        158.33","    3974127","           629222192.10","      16007","    3215228","         80.90"
"NTPC","EQ","10-Jul-2017","        159.05","        170.00","        170.00","        158.00","        160.05","        160.05","        160.10","     992122","           158838984.95","       6023","     694127","         69.96"
"NTPC","EQ","11-Jul-2017","        160.05","        160.05","        164.70","        159.90","        163.45","        163.30","        163.09","    4963350","           809497049.65","      34996","    3153788","         63.54"
"NTPC","EQ","12-Jul-2017","        163.30","        163.40","        164.40","        162.70","        164.10","        164.05","        163.58","    3414583","           558559072.30","      41077","    2386758","         69.90"
"NTPC","EQ","13-Jul-2017","        164.05","        165.00","        166.20","        163.50","        163.75","        163.90","        164.83","    2512236","           414083463.35","      27705","    1439599","         57.30"
"NTPC","EQ","14-Jul-2017","        163.90","        164.00","        168.30","        163.35","        167.80","        167.30","        166.02","    3439701","           571061351.15","      22990","    2113861","         61.45"
"NTPC","EQ","17-Jul-2017","        167.30","        168.80","        169.00","        167.45","        168.80","        168.55","        168.27","    4045046","           680640977.35","      22781","    2798970","         69.20"
"NTPC","EQ","18-Jul-2017","        168.55","        167.80","        171.85","        166.20","        168.50","        167.55","        168.12","    3567420","           599765654.95","      29878","    1914793","         53.67"
"NTPC","EQ","19-Jul-2017","        167.55","        168.10","        170.60","        166.80","        167.65","        167.80","        168.82","    3702665","           625071188.00","      30025","    2340246","         63.20"
"NTPC","EQ","20-Jul-2017","        167.80","        167.90","        168.80","        164.85","        165.00","        165.45","        166.25","    2566531","           426682094.75","      20502","    1449853","         56.49"
"NTPC","EQ","21-Jul-2017","        165.45","        165.40","        166.60","        161.90","        165.00","        164.80","        164.00","    3899289","           639497058.45","      24119","    2098932","         53.83"
"NTPC","EQ","24-Jul-2017","        164.80","        164.10","        166.50","        163.80","        163.95","        164.05","        164.51","    3412768","           561436703.50","      21921","    2089550","         61.23"
"NTPC","EQ","25-Jul-2017","        164.05","        164.10","        165.70","        163.65","        164.00","        163.90","        164.25","    4365645","           717043696.70","      28053","    3526076","         80.77"
"NTPC","EQ","26-Jul-2017","        163.90","        164.00","        167.15","        164.00","        167.00","        166.35","        165.73","    3925141","           650526903.55","      28386","    2062563","         52.55"
"NTPC","EQ","27-Jul-2017","        166.35","        167.00","        167.20","        164.25","        165.85","        165.40","        165.62","   11094619","          1837499329.60","      34040","    8180236","         73.73"
"NTPC","EQ","28-Jul-2017","        165.40","        164.90","        165.85","        161.80","        164.10","        163.90","        163.43","    4854574","           793396552.30","      29304","    3070846","         63.26"
"NTPC","EQ","31-Jul-2017","        163.90","        165.70","        166.75","        161.95","        164.05","        164.20","        163.79","    9432683","          1545006539.60","      54267","    6502714","         68.94"
"NTPC","EQ","01-Aug-2017","        164.20","        164.60","        166.00","        163.10","        165.95","        165.20","        164.36","    5942810","           976784582.45","      20349","    4211584","         70.87"
"NTPC","EQ","02-Aug-2017","        165.20","        165.85","        172.95","        165.85","        172.00","        171.85","        170.57","   18560053","          3165724525.40","      63061","   11570759","         62.34"
"NTPC","EQ","03-Aug-2017","        171.85","        172.00","        174.25","        170.05","        172.20","        172.55","        172.45","    6035392","          1040789597.85","      28787","    3636762","         60.26"
"NTPC","EQ","04-Aug-2017","        172.55","        172.35","        178.20","        169.60","        177.00","        177.35","        174.55","    7709552","          1345698275.25","      34505","    4898690","         63.54"
"NTPC","EQ","07-Aug-2017","        177.35","        177.30","        179.15","        173.80","        174.25","        174.45","        176.03","    3630569","           639099638.95","      35075","    1794192","         49.42"
"NTPC","EQ","08-Aug-2017","        174.45","        172.30","        173.65","        169.40","        171.15","        171.15","        171.46","    3757008","           644172356.10","      28881","    1998974","         53.21"
"NTPC","EQ","09-Aug-2017","        171.15","        171.00","        175.35","        170.50","        173.60","        173.65","        173.99","    2707378","           471049341.35","      24123","    1254983","         46.35"
