"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"RELIANCE","EQ","20-Jun-2017","       1409.25","       1409.00","       1422.10","       1407.45","       1411.05","       1412.35","       1414.55","    2318399","          3279484043.00","      54658","    1142097","         49.26"
"RELIANCE","EQ","21-Jun-2017","       1412.35","       1407.80","       1428.00","       1404.25","       1427.75","       1422.00","       1418.57","    4569943","          6482764628.40","      72533","    2979165","         65.19"
"RELIANCE","EQ","22-Jun-2017","       1422.00","       1429.45","       1445.40","       1427.70","       1434.80","       1432.65","       1438.13","    5055942","          7271102905.30","      67464","    2293076","         45.35"
"RELIANCE","EQ","23-Jun-2017","       1432.65","       1436.00","       1442.00","       1430.60","       1432.10","       1435.85","       1437.72","    7118832","         10234862866.60","      84739","    4671640","         65.62"
"RELIANCE","EQ","27-Jun-2017","       1435.85","       1432.00","       1443.00","       1425.00","       1439.05","       1437.15","       1433.65","    7449878","         10680534186.35","      95862","    4517542","         60.64"
"RELIANCE","EQ","28-Jun-2017","       1437.15","       1439.95","       1439.95","       1395.55","       1399.80","       1398.50","       1408.58","    3558538","          5012497439.80","      96283","    1761401","         49.50"
"RELIANCE","EQ","29-Jun-2017","       1398.50","       1400.00","       1410.00","       1390.10","       1392.35","       1392.70","       1397.72","    2948322","          4120928819.30","      73181","    1023958","         34.73"
"RELIANCE","EQ","30-Jun-2017","       1392.70","       1392.00","       1392.40","       1375.05","       1383.00","       1380.00","       1381.68","    1786211","          2467964900.75","      57115","     797965","         44.67"
"RELIANCE","EQ","03-Jul-2017","       1380.00","       1388.20","       1394.70","       1371.00","       1384.00","       1381.05","       1381.94","    2101886","          2904674175.10","      58487","     909257","         43.26"
"RELIANCE","EQ","04-Jul-2017","       1381.05","       1390.00","       1427.10","       1389.00","       1422.00","       1421.95","       1411.47","    4301200","          6071002326.55","      79094","    1269909","         29.52"
"RELIANCE","EQ","05-Jul-2017","       1421.95","       1429.45","       1447.45","       1424.00","       1440.05","       1442.65","       1440.65","    6219522","          8960156338.10","      67692","    2253529","         36.23"
"RELIANCE","EQ","06-Jul-2017","       1442.65","       1448.70","       1450.00","       1438.00","       1442.00","       1442.55","       1444.20","    3106517","          4486436976.50","      51171","    1446377","         46.56"
"RELIANCE","EQ","07-Jul-2017","       1442.55","       1443.00","       1497.75","       1440.00","       1489.50","       1491.15","       1467.56","    8193635","         12024672966.80","     118579","    2850308","         34.79"
"RELIANCE","EQ","10-Jul-2017","       1491.15","       1530.00","       1550.00","       1489.10","       1491.00","       1492.85","       1495.16","     815433","          1219206575.70","       9771","     524406","         64.31"
"RELIANCE","EQ","11-Jul-2017","       1492.85","       1501.00","       1504.40","       1487.00","       1496.50","       1494.35","       1495.08","    4799229","          7175215647.25","      58533","    2178682","         45.40"
"RELIANCE","EQ","12-Jul-2017","       1494.35","       1499.40","       1525.00","       1497.50","       1511.25","       1511.10","       1512.30","    3909797","          5912789614.60","     130937","    1618467","         41.40"
"RELIANCE","EQ","13-Jul-2017","       1511.10","       1508.75","       1525.00","       1506.15","       1518.60","       1522.10","       1516.35","    5259759","          7975613062.30","      80445","    2425730","         46.12"
"RELIANCE","EQ","14-Jul-2017","       1522.10","       1520.00","       1536.00","       1515.55","       1533.00","       1533.75","       1527.64","    4693011","          7169211716.90","      60570","    1855009","         39.53"
"RELIANCE","EQ","17-Jul-2017","       1533.75","       1537.00","       1559.60","       1537.00","       1548.70","       1551.75","       1550.72","    4285809","          6646109251.55","      58737","    2295970","         53.57"
"RELIANCE","EQ","18-Jul-2017","       1551.75","       1546.80","       1551.80","       1511.00","       1520.50","       1519.90","       1526.50","    4489412","          6853087594.90","      91217","    2516460","         56.05"
"RELIANCE","EQ","19-Jul-2017","       1519.90","       1512.60","       1538.00","       1512.60","       1538.00","       1532.95","       1527.52","    2695041","          4116718439.05","      77682","    1515379","         56.23"
"RELIANCE","EQ","20-Jul-2017","       1532.95","       1539.75","       1550.00","       1523.70","       1526.10","       1528.90","       1535.46","    3114686","          4782481316.70","      71431","    1606391","         51.57"
"RELIANCE","EQ","21-Jul-2017","       1528.90","       1550.00","       1591.70","       1544.95","       1584.00","       1585.00","       1572.08","   22205112","         34908155068.50","     427790","    4293169","         19.33"
"RELIANCE","EQ","24-Jul-2017","       1585.00","       1600.00","       1624.90","       1585.00","       1619.00","       1615.25","       1613.62","    9927229","         16018796811.70","     192058","    3831194","         38.59"
"RELIANCE","EQ","25-Jul-2017","       1615.25","       1624.70","       1624.95","       1597.60","       1602.50","       1602.15","       1610.25","    4586079","          7384713584.95","     110309","    2144225","         46.76"
"RELIANCE","EQ","26-Jul-2017","       1602.15","       1604.20","       1629.90","       1601.10","       1621.15","       1622.75","       1620.72","    5018389","          8133382696.20","     126847","    2015577","         40.16"
