"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SBIN","EQ","20-Jun-2017","        288.85","        287.60","        291.00","        285.60","        290.20","        290.10","        288.98","   14927701","          4313743748.45","      83635","    6159197","         41.26"
"SBIN","EQ","21-Jun-2017","        290.10","        288.25","        292.45","        288.25","        290.60","        290.90","        290.88","   10537576","          3065220464.45","      95971","    5410179","         51.34"
"SBIN","EQ","22-Jun-2017","        290.90","        291.25","        295.90","        291.05","        293.70","        294.50","        293.83","   26110402","          7672018626.05","     118536","   16841345","         64.50"
"SBIN","EQ","23-Jun-2017","        294.50","        294.75","        295.55","        287.80","        288.95","        288.95","        290.43","   20648597","          5997037189.70","     130127","   10023309","         48.54"
"SBIN","EQ","27-Jun-2017","        288.95","        289.25","        289.45","        276.80","        280.00","        279.65","        280.39","   25523129","          7156505138.90","     183908","   12360393","         48.43"
"SBIN","EQ","28-Jun-2017","        279.65","        277.60","        278.45","        273.75","        276.25","        276.40","        275.86","   17241351","          4756142542.20","     140286","    7885310","         45.73"
"SBIN","EQ","29-Jun-2017","        276.40","        277.15","        279.30","        271.65","        272.80","        272.45","        274.43","   30457363","          8358324621.60","     162221","   20800813","         68.29"
"SBIN","EQ","30-Jun-2017","        272.45","        272.00","        274.75","        269.70","        273.55","        273.65","        272.33","   12235472","          3332080253.90","     110521","    5150709","         42.10"
"SBIN","EQ","03-Jul-2017","        273.65","        274.10","        275.50","        272.55","        275.30","        274.85","        274.64","    8951033","          2458324810.45","     117782","    4093712","         45.73"
"SBIN","EQ","04-Jul-2017","        274.85","        275.00","        276.45","        272.05","        273.30","        273.00","        273.86","    7856082","          2151496794.90","      62749","    3138587","         39.95"
"SBIN","EQ","05-Jul-2017","        273.00","        273.90","        275.60","        272.35","        275.15","        274.90","        274.43","   10048734","          2757684769.75","      58244","    4814007","         47.91"
"SBIN","EQ","06-Jul-2017","        274.90","        275.05","        282.70","        274.60","        280.85","        281.00","        280.59","   16115817","          4522014935.50","     132274","    5258999","         32.63"
"SBIN","EQ","07-Jul-2017","        281.00","        280.60","        282.40","        279.20","        279.90","        280.10","        280.97","    5914038","          1661670035.40","      67872","    2051796","         34.69"
"SBIN","EQ","10-Jul-2017","        280.10","        300.00","        300.00","        280.85","        285.30","        285.55","        285.67","    2171603","           620365103.15","      21312","     938200","         43.20"
"SBIN","EQ","11-Jul-2017","        285.55","        287.50","        289.70","        283.00","        283.75","        283.55","        286.61","   12400820","          3554196333.45","      82444","    4656316","         37.55"
"SBIN","EQ","12-Jul-2017","        283.55","        284.70","        288.40","        283.20","        287.80","        287.65","        285.79","    7524835","          2150532007.35","      67037","    2940527","         39.08"
"SBIN","EQ","13-Jul-2017","        287.65","        288.90","        290.00","        286.55","        288.35","        288.75","        288.46","    8434324","          2432929793.55","      61270","    3394811","         40.25"
"SBIN","EQ","14-Jul-2017","        288.75","        288.80","        293.60","        287.25","        291.50","        291.60","        291.28","   13750192","          4005097336.80","     105964","    6051790","         44.01"
"SBIN","EQ","17-Jul-2017","        291.60","        292.80","        294.10","        289.65","        293.25","        293.00","        291.74","   10549310","          3077663921.65","      81237","    3545792","         33.61"
"SBIN","EQ","18-Jul-2017","        293.00","        291.85","        296.40","        290.00","        290.50","        291.00","        294.09","   11913832","          3503788156.80","     116992","    5091669","         42.74"
"SBIN","EQ","19-Jul-2017","        291.00","        291.50","        294.00","        291.40","        293.95","        293.30","        292.68","    9006728","          2636080117.55","      96339","    4501013","         49.97"
