"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TATAMOTORS","EQ","20-Jun-2017","        452.35","        457.00","        470.75","        456.00","        466.50","        467.40","        465.76","   12014975","          5596092340.90","     205410","    5545604","         46.16"
"TATAMOTORS","EQ","21-Jun-2017","        467.40","        466.00","        466.00","        455.50","        458.50","        457.30","        459.41","    5436141","          2497442605.20","      74836","    2636299","         48.50"
"TATAMOTORS","EQ","22-Jun-2017","        457.30","        458.85","        463.00","        451.60","        454.20","        452.70","        458.40","    5008885","          2296063001.20","      96997","    2125188","         42.43"
"TATAMOTORS","EQ","23-Jun-2017","        452.70","        454.00","        456.50","        442.40","        444.10","        443.15","        446.88","    6753648","          3018101838.20","     109462","    3110902","         46.06"
"TATAMOTORS","EQ","27-Jun-2017","        443.15","        443.80","        444.50","        434.40","        444.00","        442.30","        438.67","    5915274","          2594872369.80","      75944","    3522425","         59.55"
"TATAMOTORS","EQ","28-Jun-2017","        442.30","        443.90","        446.80","        440.15","        442.00","        442.50","        443.23","    4960238","          2198547387.20","      62049","    2126499","         42.87"
"TATAMOTORS","EQ","29-Jun-2017","        442.50","        444.50","        446.25","        434.00","        437.00","        435.60","        439.73","   11085101","          4874473731.25","     100636","    8134594","         73.38"
"TATAMOTORS","EQ","30-Jun-2017","        435.60","        433.90","        435.60","        428.05","        432.95","        432.55","        431.40","    4776892","          2060751788.75","     117302","    2151159","         45.03"
"TATAMOTORS","EQ","03-Jul-2017","        432.55","        431.50","        434.70","        426.25","        429.60","        430.25","        430.76","    6230025","          2683632070.85","      74110","    3123106","         50.13"
"TATAMOTORS","EQ","04-Jul-2017","        430.25","        434.20","        436.40","        426.00","        426.90","        426.90","        430.37","    5020683","          2160753186.85","      79594","    2028093","         40.39"
"TATAMOTORS","EQ","05-Jul-2017","        426.90","        428.90","        433.95","        427.40","        432.35","        431.75","        431.11","    5050749","          2177448496.65","      54757","    2385926","         47.24"
"TATAMOTORS","EQ","06-Jul-2017","        431.75","        435.40","        438.80","        433.80","        436.60","        437.10","        436.84","    4038188","          1764029544.55","      55870","    2093760","         51.85"
"TATAMOTORS","EQ","07-Jul-2017","        437.10","        434.45","        441.45","        432.25","        436.70","        436.85","        437.38","    5311730","          2323239883.45","      60516","    2728690","         51.37"
"TATAMOTORS","EQ","10-Jul-2017","        436.85","        460.00","        460.00","        442.55","        447.00","        446.95","        446.62","    1189742","           531357455.30","      10582","     753248","         63.31"
"TATAMOTORS","EQ","11-Jul-2017","        446.95","        452.00","        462.30","        451.00","        456.55","        456.95","        458.02","   12069006","          5527816533.15","     144340","    6921673","         57.35"
"TATAMOTORS","EQ","12-Jul-2017","        456.95","        461.00","        463.80","        456.60","        461.75","        461.00","        460.56","    6051540","          2787119933.15","      85344","    3085276","         50.98"
"TATAMOTORS","EQ","13-Jul-2017","        461.00","        464.50","        464.50","        455.55","        458.30","        459.05","        459.41","    4382063","          2013165155.50","      57554","    2519925","         57.51"
"TATAMOTORS","EQ","14-Jul-2017","        459.05","        460.00","        460.00","        450.40","        451.00","        451.30","        453.91","    3974269","          1803960399.70","      58115","    2335992","         58.78"
"TATAMOTORS","EQ","17-Jul-2017","        451.30","        455.00","        458.35","        453.25","        454.85","        454.15","        455.36","    4922453","          2241512131.55","      47303","    3078317","         62.54"
"TATAMOTORS","EQ","18-Jul-2017","        454.15","        452.60","        459.50","        452.60","        456.50","        456.15","        456.78","    2349268","          1073100214.50","      47095","    1271432","         54.12"
"TATAMOTORS","EQ","19-Jul-2017","        456.15","        453.00","        462.90","        453.00","        460.50","        460.60","        459.33","    3395937","          1559842538.00","      75759","    1880506","         55.38"
"TATAMOTORS","EQ","20-Jul-2017","        460.60","        463.50","        464.35","        457.35","        459.80","        460.15","        460.04","    3318626","          1526702953.80","      47685","    2041587","         61.52"
"TATAMOTORS","EQ","21-Jul-2017","        460.15","        460.00","        465.90","        457.60","        464.50","        464.60","        462.37","    3150269","          1456596928.90","      38197","    1361635","         43.22"
"TATAMOTORS","EQ","24-Jul-2017","        464.60","        464.95","        468.35","        461.00","        464.90","        464.00","        464.66","    3773074","          1753184516.55","      49674","    1750128","         46.38"
"TATAMOTORS","EQ","25-Jul-2017","        464.00","        462.15","        464.70","        454.70","        456.20","        456.10","        457.41","    7052112","          3225727669.25","      67138","    5169997","         73.31"
"TATAMOTORS","EQ","26-Jul-2017","        456.10","        457.20","        458.70","        455.00","        456.95","        457.30","        457.10","    3641559","          1664544721.35","      46569","    2368960","         65.05"
"TATAMOTORS","EQ","27-Jul-2017","        457.30","        459.00","        460.95","        440.30","        444.05","        445.40","        449.23","   13738611","          6171808873.95","      90948","   10640194","         77.45"
"TATAMOTORS","EQ","28-Jul-2017","        445.40","        444.60","        447.45","        442.45","        446.00","        445.85","        444.95","    3365171","          1497338831.70","      47316","    1873919","         55.69"
"TATAMOTORS","EQ","31-Jul-2017","        445.85","        446.25","        449.70","        443.70","        444.30","        444.60","        446.31","    3804621","          1698023772.60","      49733","    2547126","         66.95"
"TATAMOTORS","EQ","01-Aug-2017","        444.60","        446.55","        452.35","        445.70","        446.80","        446.90","        448.38","    4012791","          1799248860.20","      58032","    1910354","         47.61"
"TATAMOTORS","EQ","02-Aug-2017","        446.90","        449.50","        449.95","        438.15","        438.90","        440.35","        442.65","    4045533","          1790768052.90","      61624","    2004493","         49.55"
"TATAMOTORS","EQ","03-Aug-2017","        440.35","        441.00","        441.50","        429.60","        432.00","        431.45","        433.40","    6197142","          2685855289.15","      87118","    3858767","         62.27"
"TATAMOTORS","EQ","04-Aug-2017","        431.45","        435.10","        438.75","        433.45","        435.75","        435.60","        435.61","    4166729","          1815075153.15","      56342","    2442950","         58.63"
"TATAMOTORS","EQ","07-Aug-2017","        435.60","        438.60","        439.80","        425.30","        430.05","        430.00","        431.16","    6461815","          2786104073.20","      78815","    3480865","         53.87"
"TATAMOTORS","EQ","08-Aug-2017","        430.00","        432.00","        435.50","        426.00","        430.25","        430.00","        430.83","    7134979","          3073954611.85","      88297","    3778529","         52.96"
"TATAMOTORS","EQ","09-Aug-2017","        430.00","        428.80","        429.90","        415.00","        416.05","        416.05","        421.05","   10849567","          4568165299.00","     131000","    5081631","         46.84"
"TATAMOTORS","EQ","10-Aug-2017","        416.05","        401.00","        403.60","        375.25","        382.15","        380.20","        387.82","   28114017","         10903107221.10","     376301","   11467224","         40.79"
"TATAMOTORS","EQ","11-Aug-2017","        380.20","        376.00","        379.10","        358.50","        375.00","        374.50","        371.61","   14699477","          5462473478.75","     196160","    5933666","         40.37"
"TATAMOTORS","EQ","14-Aug-2017","        374.50","        380.00","        381.80","        372.60","        375.80","        375.40","        376.03","    8216208","          3089579210.00","     116920","    4831408","         58.80"
"TATAMOTORS","EQ","16-Aug-2017","        375.40","        379.45","        390.70","        375.50","        388.90","        389.25","        383.97","   11019760","          4231259687.05","     125653","    5787643","         52.52"
"TATAMOTORS","EQ","17-Aug-2017","        389.25","        392.45","        392.45","        384.50","        385.00","        385.30","        388.08","    5971420","          2317405606.25","      75537","    2690383","         45.05"
"TATAMOTORS","EQ","18-Aug-2017","        385.30","        381.75","        383.00","        377.00","        381.55","        380.40","        379.77","    5856198","          2224002066.30","      90719","    3124467","         53.35"
"TATAMOTORS","EQ","21-Aug-2017","        380.40","        382.00","        382.55","        371.30","        375.35","        374.35","        376.40","    5123101","          1928346441.95","      69774","    2036212","         39.75"
"TATAMOTORS","EQ","22-Aug-2017","        374.35","        378.80","        379.95","        372.25","        374.25","        373.60","        375.36","    4163794","          1562926477.45","      67843","    1448796","         34.80"
"TATAMOTORS","EQ","23-Aug-2017","        373.60","        376.00","        381.15","        373.35","        380.60","        379.95","        378.33","    4448871","          1683161679.95","      73627","    1867006","         41.97"
"TATAMOTORS","EQ","24-Aug-2017","        379.95","        380.10","        385.95","        380.10","        385.20","        384.15","        383.93","    5208541","          1999723000.25","      90986","    2581637","         49.57"
"TATAMOTORS","EQ","28-Aug-2017","        384.15","        385.85","        387.40","        378.30","        380.00","        379.30","        380.87","    4403872","          1677314650.60","      75223","    2506221","         56.91"
"TATAMOTORS","EQ","29-Aug-2017","        379.30","        379.00","        382.35","        374.45","        375.55","        376.10","        377.94","    4689547","          1772345121.85","      64691","    2073536","         44.22"
"TATAMOTORS","EQ","30-Aug-2017","        376.10","        380.85","        382.75","        377.45","        379.00","        378.50","        379.91","    3734824","          1418909663.00","      52649","    1655675","         44.33"
