"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TITAN","EQ","20-Jun-2017","        515.20","        514.00","        530.85","        512.05","        527.00","        526.70","        526.09","    2299154","          1209551729.10","      45467","     600135","         26.10"
"TITAN","EQ","21-Jun-2017","        526.70","        526.40","        529.85","        518.65","        520.85","        523.10","        524.03","    1357751","           711501406.85","      33893","     282975","         20.84"
"TITAN","EQ","22-Jun-2017","        523.10","        523.00","        528.80","        516.45","        517.80","        519.90","        524.03","    1005512","           526917783.80","      29685","     403137","         40.09"
"TITAN","EQ","23-Jun-2017","        519.90","        520.85","        521.00","        507.65","        510.85","        513.30","        513.76","    1392507","           715417261.20","      28416","     633028","         45.46"
"TITAN","EQ","27-Jun-2017","        513.30","        510.10","        520.20","        506.50","        518.15","        516.00","        513.86","    1386743","           712587932.35","      44302","     517541","         37.32"
"TITAN","EQ","28-Jun-2017","        516.00","        516.40","        516.60","        500.60","        507.00","        507.30","        506.55","    1545428","           782829574.55","      28373","     348954","         22.58"
"TITAN","EQ","29-Jun-2017","        507.30","        510.00","        518.60","        507.70","        511.00","        509.60","        511.18","    1911111","           976912230.20","      18934","     942579","         49.32"
"TITAN","EQ","30-Jun-2017","        509.60","        508.95","        525.60","        503.25","        525.00","        524.45","        517.83","    1156474","           598851962.00","      23035","     358196","         30.97"
"TITAN","EQ","03-Jul-2017","        524.45","        536.05","        537.00","        527.50","        531.05","        532.40","        532.58","    1304851","           694941405.60","      28170","     297419","         22.79"
"TITAN","EQ","04-Jul-2017","        532.40","        533.50","        539.00","        526.00","        534.25","        535.55","        533.70","    1624088","           866781654.95","      20096","     464498","         28.60"
"TITAN","EQ","05-Jul-2017","        535.55","        539.25","        540.00","        530.20","        531.65","        531.80","        533.68","     894627","           477445039.25","      16408","     310931","         34.76"
"TITAN","EQ","06-Jul-2017","        531.80","        532.00","        536.50","        528.10","        534.00","        533.95","        533.03","    1428440","           761399992.95","      19737","     492816","         34.50"
"TITAN","EQ","07-Jul-2017","        533.95","        533.95","        538.90","        529.00","        534.00","        532.50","        534.40","    1724825","           921741207.85","      28852","    1112783","         64.52"
"TITAN","EQ","10-Jul-2017","        532.50","        540.05","        540.05","        523.20","        536.50","        536.75","        535.58","     511607","           274008433.55","       4805","     417465","         81.60"
"TITAN","EQ","11-Jul-2017","        536.75","        537.00","        537.90","        526.30","        528.05","        528.70","        529.95","     960330","           508925744.80","      25722","     543901","         56.64"
"TITAN","EQ","12-Jul-2017","        528.70","        532.00","        534.85","        528.25","        530.55","        530.80","        531.90","     855127","           454844701.00","      39788","     523185","         61.18"
"TITAN","EQ","13-Jul-2017","        530.80","        525.40","        537.00","        525.00","        534.00","        534.15","        532.89","    1059461","           564581306.15","      37377","     492743","         46.51"
"TITAN","EQ","14-Jul-2017","        534.15","        538.00","        541.90","        532.10","        532.60","        533.65","        536.18","    1131348","           606601086.90","      34676","     593340","         52.45"
"TITAN","EQ","17-Jul-2017","        533.65","        535.50","        538.75","        531.25","        531.50","        533.75","        535.76","    1312136","           702994959.80","      46644","     735018","         56.02"
"TITAN","EQ","18-Jul-2017","        533.75","        530.00","        536.80","        526.70","        528.00","        527.75","        532.05","    1387108","           738008524.90","      35138","    1018608","         73.43"
"TITAN","EQ","19-Jul-2017","        527.75","        528.80","        535.15","        527.50","        532.15","        533.05","        530.88","     841355","           446661976.95","      24275","     570288","         67.78"
"TITAN","EQ","20-Jul-2017","        533.05","        531.00","        535.65","        528.40","        529.50","        529.80","        531.90","     590904","           314301066.20","      13458","     291712","         49.37"
"TITAN","EQ","21-Jul-2017","        529.80","        531.70","        545.50","        530.30","        545.50","        543.20","        537.63","    1146931","           616627244.35","      30047","     402154","         35.06"
"TITAN","EQ","24-Jul-2017","        543.20","        545.30","        546.95","        535.60","        536.85","        538.15","        543.04","    1120371","           608407065.40","      24891","     429803","         38.36"
"TITAN","EQ","25-Jul-2017","        538.15","        540.00","        542.70","        534.55","        535.00","        536.15","        537.57","     722277","           388274452.40","      21503","     249226","         34.51"
"TITAN","EQ","26-Jul-2017","        536.15","        535.20","        541.00","        533.20","        536.70","        537.90","        537.49","     817433","           439358185.40","      16123","     229949","         28.13"
"TITAN","EQ","27-Jul-2017","        537.90","        537.90","        539.70","        524.40","        528.30","        527.45","        533.75","    1803847","           962797507.25","      33240","    1225760","         67.95"
"TITAN","EQ","28-Jul-2017","        527.45","        527.00","        535.00","        525.85","        533.80","        533.15","        531.04","     678345","           360230960.30","      17671","     248651","         36.66"
"TITAN","EQ","31-Jul-2017","        533.15","        533.80","        546.60","        528.85","        544.00","        544.25","        539.32","    1113439","           600501452.70","      23782","     530314","         47.63"
"TITAN","EQ","01-Aug-2017","        544.25","        546.50","        549.90","        538.10","        538.30","        539.35","        542.99","    1346764","           731278313.20","      38125","     460456","         34.19"
"TITAN","EQ","02-Aug-2017","        539.35","        541.90","        555.55","        538.50","        553.00","        552.80","        546.62","    1469268","           803126550.90","      25916","     426866","         29.05"
"TITAN","EQ","03-Aug-2017","        552.80","        555.80","        565.40","        546.65","        556.60","        558.05","        558.14","    4333554","          2418736596.35","      64070","     986545","         22.77"
"TITAN","EQ","04-Aug-2017","        558.05","        565.05","        616.35","        564.80","        610.75","        611.20","        603.67","   14943128","          9020788341.95","     170095","    4097723","         27.42"
"TITAN","EQ","07-Aug-2017","        611.20","        608.00","        618.40","        602.10","        612.35","        614.85","        609.08","    2467527","          1502912170.75","      51852","     956761","         38.77"
"TITAN","EQ","08-Aug-2017","        614.85","        607.25","        615.80","        604.00","        610.20","        609.40","        608.70","    1891037","          1151082264.50","      53203","     733329","         38.78"
"TITAN","EQ","09-Aug-2017","        609.40","        611.00","        627.40","        606.00","        618.85","        619.15","        618.28","    4440491","          2745482248.75","      63128","    1190775","         26.82"
"TITAN","EQ","10-Aug-2017","        619.15","        616.90","        618.85","        601.60","        614.00","        610.35","        611.91","    1378763","           843680219.35","      41671","     615260","         44.62"
"TITAN","EQ","11-Aug-2017","        610.35","        604.00","        617.50","        601.90","        611.65","        607.00","        609.74","    1482422","           903891310.75","      52646","     581175","         39.20"
"TITAN","EQ","14-Aug-2017","        607.00","        611.00","        636.65","        611.00","        633.00","        630.40","        629.13","    2945005","          1852779794.10","      57247","     844700","         28.68"
"TITAN","EQ","16-Aug-2017","        630.40","        633.50","        638.30","        618.85","        627.85","        627.70","        627.47","    2075867","          1302553084.80","      56222","     729919","         35.16"
"TITAN","EQ","17-Aug-2017","        627.70","        629.60","        631.55","        619.20","        623.45","        621.50","        623.62","     938044","           584986717.15","      32882","     372365","         39.70"
"TITAN","EQ","18-Aug-2017","        621.50","        621.50","        630.40","        616.60","        623.85","        623.50","        623.66","    1401428","           874014803.15","      48461","     638294","         45.55"
"TITAN","EQ","21-Aug-2017","        623.50","        623.65","        630.00","        613.00","        614.00","        615.50","        620.88","    1009586","           626828292.55","      24935","     257834","         25.54"
"TITAN","EQ","22-Aug-2017","        615.50","        617.10","        627.25","        610.10","        616.00","        615.10","        619.05","    1367266","           846407576.65","      55099","     519723","         38.01"
"TITAN","EQ","23-Aug-2017","        615.10","        619.95","        620.20","        602.20","        607.50","        607.50","        607.82","    2030608","          1234239137.20","      48509","     764713","         37.66"
"TITAN","EQ","24-Aug-2017","        607.50","        609.05","        614.25","        603.50","        605.95","        606.80","        608.41","    1115671","           678788290.10","      33495","     635247","         56.94"
"TITAN","EQ","28-Aug-2017","        606.80","        603.70","        614.85","        600.05","        612.00","        612.25","        608.11","    1284579","           781169028.05","      42093","     507291","         39.49"
"TITAN","EQ","29-Aug-2017","        612.25","        610.00","        613.80","        598.65","        600.65","        600.45","        604.68","    1078030","           651866808.80","      28449","     523804","         48.59"
"TITAN","EQ","30-Aug-2017","        600.45","        608.45","        614.85","        604.00","        611.00","        611.60","        610.87","     977962","           597410508.40","      28319","     367439","         37.57"
"TITAN","EQ","31-Aug-2017","        611.60","        610.00","        621.00","        607.95","        618.90","        617.10","        617.13","    1816689","          1121142323.70","      33965","     955197","         52.58"
"TITAN","EQ","01-Sep-2017","        617.10","        618.90","        619.95","        610.20","        613.50","        613.50","        613.79","     517606","           317702746.55","      16577","     176155","         34.03"
"TITAN","EQ","04-Sep-2017","        613.50","        610.00","        620.00","        606.50","        612.10","        612.25","        612.39","     539333","           330282055.60","      20364","     112003","         20.77"
"TITAN","EQ","05-Sep-2017","        612.25","        613.00","        642.00","        609.70","        638.30","        638.85","        635.28","    3636744","          2310338219.15","      55303","     712426","         19.59"
"TITAN","EQ","06-Sep-2017","        638.85","        636.90","        651.00","        635.05","        641.90","        640.80","        645.54","    3288264","          2122717227.45","      73283","     762402","         23.19"
"TITAN","EQ","07-Sep-2017","        640.80","        641.90","        645.20","        629.25","        637.70","        637.00","        635.02","    1507721","           957437015.55","      29132","     757076","         50.21"
"TITAN","EQ","08-Sep-2017","        637.00","        645.00","        646.00","        631.00","        631.60","        633.40","        638.19","    1688468","          1077566047.45","      44511","     502009","         29.73"
"TITAN","EQ","11-Sep-2017","        633.40","        637.00","        638.60","        631.90","        632.50","        632.95","        634.34","     738301","           468334047.15","      19310","     415453","         56.27"
"TITAN","EQ","12-Sep-2017","        632.95","        634.90","        640.75","        632.25","        636.30","        637.90","        636.52","    1102076","           701493433.40","      20481","     642224","         58.27"
"TITAN","EQ","13-Sep-2017","        637.90","        638.00","        648.30","        627.70","        629.00","        630.30","        639.98","    1346590","           861792901.50","      32278","     556137","         41.30"
"TITAN","EQ","14-Sep-2017","        630.30","        630.50","        636.95","        628.35","        631.10","        633.55","        633.26","     703116","           445255173.30","      17894","     235325","         33.47"
"TITAN","EQ","15-Sep-2017","        633.55","        629.90","        633.20","        622.65","        631.65","        632.15","        629.33","    1067596","           671867568.20","      23585","     629086","         58.93"
"TITAN","EQ","18-Sep-2017","        632.15","        635.10","        650.50","        627.95","        644.10","        646.10","        638.78","    1409213","           900176240.15","      37677","     557200","         39.54"
"TITAN","EQ","19-Sep-2017","        646.10","        654.05","        654.20","        640.00","        640.05","        641.55","        644.71","    1232251","           794444135.20","      25356","     686435","         55.71"
"TITAN","EQ","20-Sep-2017","        641.55","        640.00","        645.90","        628.35","        629.90","        630.80","        636.61","    1305505","           831096624.80","      27769","     756240","         57.93"
"TITAN","EQ","21-Sep-2017","        630.80","        631.60","        638.20","        615.90","        619.00","        618.55","        626.18","    1388073","           869185261.40","      28932","     842732","         60.71"
