"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ULTRACEMCO","EQ","20-Jun-2017","       4097.55","       4124.00","       4126.00","       4053.45","       4060.00","       4063.80","       4076.80","     177824","           724952911.00","      21065","     115029","         64.69"
"ULTRACEMCO","EQ","21-Jun-2017","       4063.80","       4055.00","       4060.10","       4007.05","       4022.00","       4016.05","       4022.25","     215935","           868544942.80","      21746","     153832","         71.24"
"ULTRACEMCO","EQ","22-Jun-2017","       4016.05","       4034.00","       4087.45","       3992.00","       4067.00","       4057.85","       4043.52","     363645","          1470406260.40","      42935","     213716","         58.77"
"ULTRACEMCO","EQ","23-Jun-2017","       4057.85","       4068.90","       4085.00","       3991.00","       3991.65","       3999.00","       4020.55","     226036","           908789040.45","      37013","     124015","         54.87"
"ULTRACEMCO","EQ","27-Jun-2017","       3999.00","       3993.00","       4015.05","       3863.15","       3871.55","       3877.90","       3911.40","     339043","          1326132368.80","      32828","     212769","         62.76"
"ULTRACEMCO","EQ","28-Jun-2017","       3877.90","       3878.00","       3966.30","       3840.55","       3950.05","       3958.25","       3934.34","     261198","          1027641482.45","      32762","     157923","         60.46"
"ULTRACEMCO","EQ","29-Jun-2017","       3958.25","       4000.00","       4000.00","       3940.10","       3945.00","       3953.75","       3954.26","     877055","          3468102164.55","      45218","     711898","         81.17"
"ULTRACEMCO","EQ","30-Jun-2017","       3953.75","       3984.00","       3994.90","       3926.00","       3955.00","       3959.10","       3955.66","     244498","           967150111.45","      42987","     163556","         66.89"
"ULTRACEMCO","EQ","03-Jul-2017","       3959.10","       3970.00","       4009.90","       3935.45","       3985.10","       3998.85","       3990.26","     218282","           871002297.35","      24433","     146474","         67.10"
"ULTRACEMCO","EQ","04-Jul-2017","       3998.85","       3989.00","       4048.00","       3977.05","       4011.00","       4019.05","       4021.81","     178852","           719308409.00","      14660","     108846","         60.86"
"ULTRACEMCO","EQ","05-Jul-2017","       4019.05","       4035.00","       4106.40","       4026.15","       4078.05","       4087.95","       4080.25","     169732","           692548813.20","      18471","      94281","         55.55"
"ULTRACEMCO","EQ","06-Jul-2017","       4087.95","       4096.80","       4130.00","       4067.05","       4110.95","       4107.35","       4108.48","     151491","           622398322.00","      17069","      91140","         60.16"
"ULTRACEMCO","EQ","07-Jul-2017","       4107.35","       4100.00","       4142.00","       4088.00","       4097.00","       4096.90","       4113.81","     145864","           600057480.65","      15841","      87968","         60.31"
