"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"VEDL","EQ","20-Jun-2017","        241.90","        243.00","        243.35","        239.55","        241.15","        241.50","        241.20","    6107113","          1473063162.45","      48036","    1818613","         29.78"
"VEDL","EQ","21-Jun-2017","        241.50","        239.60","        240.30","        237.20","        239.00","        238.60","        238.52","    6988705","          1666973194.05","      64733","    2724181","         38.98"
"VEDL","EQ","22-Jun-2017","        238.60","        239.20","        240.80","        231.75","        233.90","        234.25","        236.90","    7504572","          1777837917.85","      60013","    2976768","         39.67"
"VEDL","EQ","23-Jun-2017","        234.25","        235.00","        237.85","        230.20","        237.30","        236.85","        235.01","    9830011","          2310121242.55","      86725","    3512962","         35.74"
"VEDL","EQ","27-Jun-2017","        236.85","        238.20","        238.95","        233.55","        237.90","        237.15","        235.61","    7063111","          1664153451.45","      63990","    2733627","         38.70"
"VEDL","EQ","28-Jun-2017","        237.15","        237.30","        244.15","        236.10","        242.05","        242.55","        241.12","    8886418","          2142719981.75","      70655","    3349127","         37.69"
"VEDL","EQ","29-Jun-2017","        242.55","        245.20","        252.35","        244.50","        251.80","        251.20","        248.96","   22864221","          5692309506.80","     132807","   11670781","         51.04"
"VEDL","EQ","30-Jun-2017","        251.20","        251.30","        252.65","        247.30","        248.70","        249.05","        250.15","   13284201","          3323012968.35","     120331","    4517946","         34.01"
"VEDL","EQ","03-Jul-2017","        249.05","        251.00","        255.50","        250.40","        254.30","        254.30","        253.46","   11490918","          2912485711.05","      85121","    4640948","         40.39"
"VEDL","EQ","04-Jul-2017","        254.30","        255.95","        259.45","        253.20","        254.70","        255.25","        256.31","   11970646","          3068151478.20","      86997","    4117804","         34.40"
"VEDL","EQ","05-Jul-2017","        255.25","        255.00","        262.10","        254.60","        261.80","        261.40","        259.52","   12213288","          3169587561.45","      71369","    5414537","         44.33"
"VEDL","EQ","06-Jul-2017","        261.40","        261.70","        263.45","        259.85","        260.90","        261.65","        262.05","   10560167","          2767272794.60","      94423","    5577712","         52.82"
"VEDL","EQ","07-Jul-2017","        261.65","        260.00","        261.35","        256.30","        257.50","        257.10","        258.99","    8230789","          2131706280.05","      50743","    3439361","         41.79"
"VEDL","EQ","10-Jul-2017","        257.10","        261.90","        261.90","        257.55","        260.30","        260.70","        260.77","    1434378","           374041602.25","       8310","     744678","         51.92"
"VEDL","EQ","11-Jul-2017","        260.70","        262.30","        264.00","        256.40","        257.50","        257.60","        260.79","   11493844","          2997439572.60","     107466","    5572268","         48.48"
"VEDL","EQ","12-Jul-2017","        257.60","        260.10","        261.60","        257.90","        260.85","        259.90","        259.44","    7857925","          2038665994.80","      52430","    4098823","         52.16"
"VEDL","EQ","13-Jul-2017","        259.90","        261.55","        263.85","        256.75","        262.95","        263.05","        261.03","    7666226","          2001112555.60","      83223","    3336163","         43.52"
"VEDL","EQ","14-Jul-2017","        263.05","        263.65","        264.60","        259.25","        261.50","        262.30","        262.16","    9297163","          2437327936.05","     100355","    3920715","         42.17"
"VEDL","EQ","17-Jul-2017","        262.30","        264.80","        270.00","        262.90","        269.25","        269.45","        268.03","   10643668","          2852847085.85","      75862","    4648570","         43.67"
"VEDL","EQ","18-Jul-2017","        269.45","        269.35","        273.15","        267.30","        268.25","        268.35","        270.05","    7078088","          1911461894.80","      74332","    1853517","         26.19"
"VEDL","EQ","19-Jul-2017","        268.35","        269.40","        274.25","        269.00","        273.25","        273.35","        272.09","    6872590","          1869969012.75","      96087","    3298530","         48.00"
"VEDL","EQ","20-Jul-2017","        273.35","        273.50","        273.75","        268.20","        268.80","        269.55","        270.69","    4906144","          1328044848.15","      45724","    1632940","         33.28"
"VEDL","EQ","21-Jul-2017","        269.55","        269.90","        271.60","        261.50","        268.45","        268.35","        267.44","    8224509","          2199552818.50","      70932","    2855479","         34.72"
"VEDL","EQ","24-Jul-2017","        268.35","        268.15","        268.65","        262.75","        264.85","        264.60","        265.60","    5490110","          1458175567.00","      50653","    1941195","         35.36"
"VEDL","EQ","25-Jul-2017","        264.60","        266.70","        276.20","        266.10","        275.75","        274.25","        271.57","   12590219","          3419122266.65","     117490","    3284999","         26.09"
"VEDL","EQ","26-Jul-2017","        274.25","        279.80","        283.25","        278.00","        280.50","        280.95","        280.96","   18594061","          5224160781.45","     114325","    5071508","         27.27"
"VEDL","EQ","27-Jul-2017","        280.95","        282.10","        283.70","        276.50","        280.80","        279.90","        280.15","   13227194","          3705543005.75","      80655","    7107751","         53.74"
"VEDL","EQ","28-Jul-2017","        279.90","        277.00","        279.50","        271.45","        274.30","        274.60","        275.18","    6009852","          1653810505.00","      68226","    1816965","         30.23"
"VEDL","EQ","31-Jul-2017","        274.60","        276.00","        281.45","        275.55","        279.55","        279.85","        279.70","    6227981","          1741988466.20","      42654","    1685343","         27.06"
"VEDL","EQ","01-Aug-2017","        279.85","        280.90","        282.85","        280.10","        281.70","        282.05","        281.57","    6301465","          1774273796.20","      60239","    3124878","         49.59"
"VEDL","EQ","02-Aug-2017","        282.05","        281.10","        282.00","        278.00","        279.95","        280.95","        280.07","    5422178","          1518589124.40","      48346","    1993946","         36.77"
"VEDL","EQ","03-Aug-2017","        280.95","        280.90","        283.00","        277.40","        279.25","        279.95","        279.94","    5892361","          1649493901.00","      51100","    2237249","         37.97"
"VEDL","EQ","04-Aug-2017","        279.95","        279.90","        289.90","        278.10","        288.40","        288.85","        286.08","   10101816","          2889940997.90","      72077","    3259600","         32.27"
"VEDL","EQ","07-Aug-2017","        288.85","        288.70","        292.50","        285.75","        288.40","        287.70","        288.78","    5848430","          1688883551.00","      53699","    2087394","         35.69"
"VEDL","EQ","08-Aug-2017","        287.70","        290.90","        301.70","        290.90","        297.10","        297.70","        298.40","   18777967","          5603414597.35","     107643","    5725514","         30.49"
"VEDL","EQ","09-Aug-2017","        297.70","        297.70","        306.70","        297.70","        299.50","        300.20","        302.09","   12367142","          3736002572.45","      78015","    4292668","         34.71"
"VEDL","EQ","10-Aug-2017","        300.20","        299.00","        303.80","        291.30","        300.70","        298.80","        298.57","   14153043","          4225622152.50","      88920","    4904826","         34.66"
"VEDL","EQ","11-Aug-2017","        298.80","        293.00","        294.55","        276.60","        279.35","        279.10","        286.78","   18382815","          5271750474.85","     115344","    6005418","         32.67"
"VEDL","EQ","14-Aug-2017","        279.10","        285.00","        293.00","        283.00","        288.75","        289.15","        288.36","   12751925","          3677197562.30","      73856","    4171735","         32.71"
