"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ZEEL","EQ","20-Jun-2017","        509.10","        511.90","        511.90","        503.55","        503.55","        504.40","        507.39","    1338618","           679199271.50","      58245","     900431","         67.27"
"ZEEL","EQ","21-Jun-2017","        504.40","        503.05","        507.80","        498.65","        504.35","        504.60","        503.86","    2120763","          1068570351.75","      63154","    1257245","         59.28"
"ZEEL","EQ","22-Jun-2017","        504.60","        507.55","        512.00","        506.90","        511.05","        510.65","        509.66","    1627586","           829509153.45","      53921","    1089159","         66.92"
"ZEEL","EQ","23-Jun-2017","        510.65","        511.00","        516.90","        505.75","        508.45","        509.75","        512.64","    2365270","          1212536942.75","      65233","    1422639","         60.15"
"ZEEL","EQ","27-Jun-2017","        509.75","        509.20","        511.50","        487.35","        490.80","        491.80","        493.91","    6090641","          3008250883.85","     100229","    5017438","         82.38"
"ZEEL","EQ","28-Jun-2017","        491.80","        490.00","        490.95","        480.00","        484.10","        484.55","        484.17","    3001156","          1453068197.20","      66834","    2163514","         72.09"
"ZEEL","EQ","29-Jun-2017","        484.55","        489.00","        493.00","        485.75","        491.25","        488.85","        490.10","    2280950","          1117885062.40","      56897","    1513861","         66.37"
"ZEEL","EQ","30-Jun-2017","        488.85","        489.95","        492.70","        486.75","        491.50","        491.35","        490.78","    2518745","          1236150285.80","      59621","    1732664","         68.79"
"ZEEL","EQ","03-Jul-2017","        491.35","        493.00","        495.35","        489.00","        489.10","        490.50","        491.42","    1575218","           774094934.30","      39764","    1048493","         66.56"
"ZEEL","EQ","04-Jul-2017","        490.50","        489.00","        495.40","        488.00","        491.30","        491.40","        491.41","    1678968","           825057226.45","      42551","    1046592","         62.34"
"ZEEL","EQ","05-Jul-2017","        491.40","        491.35","        500.95","        489.30","        500.20","        499.70","        496.43","    2102665","          1043817216.10","      55888","    1558948","         74.14"
"ZEEL","EQ","06-Jul-2017","        499.70","        502.00","        503.45","        499.55","        502.00","        501.05","        501.18","    1527078","           765343433.85","      26715","    1076623","         70.50"
"ZEEL","EQ","07-Jul-2017","        501.05","        503.00","        508.75","        500.00","        508.10","        507.35","        506.89","    1556358","           788908120.80","      22083","    1065992","         68.49"
"ZEEL","EQ","10-Jul-2017","        507.35","        494.70","        515.00","        458.10","        505.00","        505.75","        505.80","     316627","           160150921.10","       4275","     225040","         71.07"
"ZEEL","EQ","11-Jul-2017","        505.75","        508.45","        510.30","        505.65","        507.00","        506.45","        507.41","    1612346","           818123903.55","      47477","    1242144","         77.04"
"ZEEL","EQ","12-Jul-2017","        506.45","        507.50","        512.15","        507.05","        510.25","        510.10","        510.05","    1320194","           673362744.05","      40387","     932624","         70.64"
"ZEEL","EQ","13-Jul-2017","        510.10","        510.90","        519.15","        509.75","        514.75","        517.00","        514.85","     941685","           484825200.85","      24477","     373311","         39.64"
"ZEEL","EQ","14-Jul-2017","        517.00","        516.90","        516.90","        509.75","        512.55","        514.25","        512.73","     847919","           434750654.10","      34633","     451076","         53.20"
"ZEEL","EQ","17-Jul-2017","        514.25","        519.00","        525.00","        512.05","        523.10","        524.25","        521.19","    1555429","           810679097.40","      38163","     662075","         42.57"
"ZEEL","EQ","18-Jul-2017","        524.25","        522.00","        537.15","        521.10","        529.05","        530.50","        527.55","    5524539","          2914443357.65","      32218","    4082141","         73.89"
"ZEEL","EQ","19-Jul-2017","        530.50","        528.50","        550.00","        528.50","        543.50","        545.40","        545.22","    3828407","          2087332338.40","      54723","    1933629","         50.51"
"ZEEL","EQ","20-Jul-2017","        545.40","        545.40","        549.70","        535.55","        538.50","        538.95","        541.97","     991406","           537310020.60","      27304","     452336","         45.63"
"ZEEL","EQ","21-Jul-2017","        538.95","        538.95","        557.65","        538.95","        556.50","        556.05","        548.10","    2986634","          1636982630.80","      58521","    1602078","         53.64"
"ZEEL","EQ","24-Jul-2017","        556.05","        557.95","        560.00","        546.20","        551.00","        551.90","        553.60","    3145170","          1741177491.00","      68873","    1352922","         43.02"
