symbol,date,previous_close,open,type,target_price,investment,return,profit,stop_loss_price,high,low,result
ASIANPAINT,2018-01-01,1158.5,1163,gainer,1166.4889999999998,198873.0,195624.0,-3249.0,1135.088,1165,1138.2,square_offs
IOC,2018-01-01,194.28,195,gainer,195.58499999999998,199875.0,200572.0,697.0,190.32,195.68,194.25,success
INFY,2018-01-01,1042.05,1037.7,loser,1034.5869,199238.40000000002,198633.59999999998,-604.8000000000466,1062.6048,1044.5,1034.55,success
VEDL,2018-01-01,329.9,331,gainer,331.99299999999994,199924.0,200679.0,755.0,323.056,332.25,325.6,success
RELIANCE,2018-01-02,909.75,913,gainer,915.7389999999999,199947.0,200571.15,624.1499999999942,891.088,915.85,913,success
IOC,2018-01-02,194.98,195.7,gainer,196.28709999999998,199809.69999999998,200473.35,663.6500000000233,191.0032,196.35,195.3,success
GRASIM,2018-01-02,1143.95,1148.5,gainer,1151.9454999999998,199839.0,200439.30000000002,600.3000000000175,1120.936,1151.95,1148.2,success
HDFC,2018-01-02,1683.75,1690,gainer,1695.0699999999997,199420.0,200039.5,619.5,1649.44,1695.25,1689,success
INFY,2018-01-02,1033.55,1037.25,gainer,1040.3617499999998,199152.0,200016.0,864.0,1012.356,1041.75,1037.25,success
AXISBANK,2018-01-03,559.5,561.3,gainer,562.9839,199822.8,200428.0,605.2000000000116,547.8287999999999,563,559.25,success
COALINDIA,2018-01-03,270.05,271,gainer,271.813,199998.0,200736.0,738.0,264.496,272,269.7,success
IOC,2018-01-03,193.2,193.95,gainer,194.53184999999996,199962.44999999998,200684.15,721.7000000000116,189.2952,194.65,193.3,success
TATASTEEL,2018-01-03,729.3,732,gainer,734.1959999999999,199836.0,201078.15,1242.1499999999942,714.432,736.55,732.05,success
M&M,2018-01-03,752.9,755.9,gainer,758.1676999999999,199557.6,200362.80000000002,805.2000000000116,737.7583999999999,758.95,753,success
POWERGRID,2018-01-03,200.75,201.5,gainer,202.10449999999997,199888.0,200582.4,694.3999999999942,196.664,202.2,201.05,success
LUPIN,2018-01-03,875.15,878.7,gainer,881.3361,199464.90000000002,200077.8,612.8999999999651,857.6112,881.4,872.85,success
TECHM,2018-01-03,513.95,516.1,gainer,517.6483,199730.7,200756.25,1025.5499999999884,503.7136,518.75,516,success
NTPC,2018-01-03,178.9,179.5,gainer,180.03849999999997,199963.0,200631.4,668.3999999999942,175.192,180.1,179.5,success
RELIANCE,2018-01-04,914.8,918.15,gainer,920.9044499999999,199238.55,199857.0,618.4500000000116,896.1143999999999,921,916,success
COALINDIA,2018-01-04,271.85,272.9,gainer,273.71869999999996,199762.8,200494.8,732.0,266.3504,273.9,272.2,success
MARUTI,2018-01-04,9416.6,9450,gainer,9478.349999999999,198450.0,199155.6,705.6000000000058,9223.199999999999,9483.6,9418.5,success
BAJAJFINSV,2018-01-04,5099.45,5120,gainer,5135.36,199680.0,197145.0,-2535.0,4997.12,5135,5055,square_offs
VEDL,2018-01-05,339.1,340.5,gainer,341.52149999999995,199873.5,200930.1,1056.6000000000058,332.328,342.3,340.1,success
ULTRACEMCO,2018-01-05,4345.5,4359.8,gainer,4372.8794,196191.0,196908.75,717.75,4255.1648000000005,4375.75,4354.3,success
ASIANPAINT,2018-01-08,1185.25,1190,gainer,1193.57,199920.0,198576.0,-1344.0,1161.44,1190.85,1173.5,square_offs
ZEEL,2018-01-08,586.85,588.9,gainer,590.6666999999999,199637.1,200637.15,1000.0499999999884,574.7664,591.85,589.8,success
ITC,2018-01-08,262.9,264,gainer,264.792,199848.0,200491.45,643.4500000000116,257.664,264.85,263.25,success
POWERGRID,2018-01-08,201.25,202,gainer,202.60599999999997,199980.0,200623.5,643.5,197.152,202.65,201.5,success
TCS,2018-01-08,1344.6,1350,gainer,1354.05,199800.0,200517.8,717.7999999999884,1317.6,1354.85,1341,success
HINDUNILVR,2018-01-09,1368.4,1374,gainer,1378.1219999999998,199230.0,197410.25,-1819.75,1341.024,1375.9,1356,square_offs
HEROMOTOCO,2018-01-09,3786.75,3800,gainer,3811.3999999999996,197600.0,194948.0,-2652.0,3708.7999999999997,3803.4,3749.55,square_offs
INFY,2018-01-09,1036.05,1040,gainer,1043.12,199680.0,200428.80000000002,748.8000000000175,1015.04,1043.9,1029,success
BPCL,2018-01-09,497.2,499,gainer,500.49699999999996,199600.0,200300.0,700.0,487.024,500.75,491.25,success
KOTAKBANK,2018-01-09,1006.1,1010,gainer,1013.0299999999999,199980.0,201603.6,1623.6000000000058,985.76,1018.2,1000.05,success
YESBANK,2018-01-09,333.6,334.9,gainer,335.90469999999993,199935.3,200592.0,656.7000000000116,326.8624,336,334.25,success
BAJFINANCE,2018-01-09,1836.85,1843,gainer,1848.5289999999998,199044.0,196614.0,-2430.0,1798.768,1842.3,1818,square_offs
ZEEL,2018-01-10,580.05,582,gainer,583.746,199626.0,200414.9,788.8999999999942,568.032,584.3,581,success
