symbol,date,previous_close,open,type,trigger_price,target_price,investment,return,profit,stop_loss_price,high,low,result
ASIANPAINT,2018-01-01,1158.5,1163,gainer,1158.95,1162.4268499999998,198873.0,198873.0,692.5499999999884,1151.9963,1163,1155.5,success
IOC,2018-01-01,194.28,195,gainer,194.65,195.23395,199875.0,200285.0,768.75,193.4821,195.4,194.58,success
INFY,2018-01-01,1042.05,1037.7,loser,1039.5,1036.3815,199238.40000000002,198912.0,-672.0,1045.737,1044.5,1036,success
VEDL,2018-01-01,329.9,331,gainer,329.3,330.2879,199924.0,197508.0,-1389.2000000000116,327.3242,330,327,failure
RELIANCE,2018-01-02,909.75,913,gainer,914.05,916.7921499999999,199947.0,198884.85,-1292.0999999999767,908.5657,914.95,908.15,failure
IOC,2018-01-02,194.98,195.7,gainer,195.65,196.23694999999998,199809.69999999998,200473.35,714.7000000000116,194.4761,196.35,195.65,success
GRASIM,2018-01-02,1143.95,1148.5,gainer,1150,1153.4499999999998,199839.0,200778.6,678.6000000000058,1143.1,1153.9,1148,success
HDFC,2018-01-02,1683.75,1690,gainer,1691.8,1696.8753999999997,199420.0,200234.2,601.8000000000175,1681.6491999999998,1696.9,1686.55,success
INFY,2018-01-02,1033.55,1037.25,gainer,1033.6,1036.7007999999998,199152.0,199152.0,700.8000000000175,1027.3983999999998,1037.25,1033.6,success
AXISBANK,2018-01-03,559.5,561.3,gainer,560.85,562.53255,199822.8,200428.0,765.3999999999942,557.4849,563,560.35,success
COALINDIA,2018-01-03,270.05,271,gainer,269.9,270.70969999999994,199998.0,199924.19999999998,738.0,268.2806,270.9,269.9,success
IOC,2018-01-03,193.2,193.95,gainer,193.5,194.08049999999997,199962.44999999998,200148.03,649.5299999999988,192.339,194.13,193.5,success
TATASTEEL,2018-01-03,729.3,732,gainer,733.55,735.7506499999998,199836.0,200928.0,668.8500000000058,729.1487,736,733.55,success
M&M,2018-01-03,752.9,755.9,gainer,753.6,755.8607999999999,199557.6,199557.6,607.2000000000116,749.0784,755.9,753,success
POWERGRID,2018-01-03,200.75,201.5,gainer,201.65,202.25494999999998,199888.0,200681.6,644.7999999999884,200.4401,202.3,201.3,success
LUPIN,2018-01-03,875.15,878.7,gainer,873.8,876.4213999999998,199464.90000000002,199056.3,703.7000000000116,868.5572,876.9,873.55,success
TECHM,2018-01-03,513.95,516.1,gainer,519.5,521.0585,199730.7,201820.5,774.0,516.383,521.5,516.9,success
NTPC,2018-01-03,178.9,179.5,gainer,179.8,180.33939999999998,199963.0,199071.8,-1225.4000000000233,178.7212,180.25,178.7,failure
RELIANCE,2018-01-04,914.8,918.15,gainer,917.1,919.8512999999999,199238.55,199835.3,824.5999999999767,911.5974,920.9,916,success
COALINDIA,2018-01-04,271.85,272.9,gainer,272.4,273.21719999999993,199762.8,200019.0,622.2000000000116,270.76559999999995,273.25,272.2,success
MARUTI,2018-01-04,9416.6,9450,gainer,9432.75,9461.04825,198450.0,198849.0,761.25,9376.1535,9469,9424.15,success
BAJAJFINSV,2018-01-04,5099.45,5120,gainer,5112,5127.335999999999,199680.0,200029.05,661.0499999999884,5081.3279999999995,5128.95,5110,success
VEDL,2018-01-05,339.1,340.5,gainer,340.9,341.92269999999996,199873.5,201693.2,1584.9000000000233,338.85459999999995,343.6,340.75,success
ULTRACEMCO,2018-01-05,4345.5,4359.8,gainer,4367.75,4380.853249999999,196191.0,197217.00000000003,668.2500000000291,4341.5435,4382.6,4365.1,success
ASIANPAINT,2018-01-08,1185.25,1190,gainer,1177.4,1180.9322,199920.0,198525.6,722.3999999999942,1170.3356,1181.7,1177.4,success
ZEEL,2018-01-08,586.85,588.9,gainer,590,591.77,199637.1,200688.0,678.0,586.46,592,590,success
ITC,2018-01-08,262.9,264,gainer,263.4,264.19019999999995,199848.0,199999.4,605.6000000000058,261.8196,264.2,263.25,success
POWERGRID,2018-01-08,201.25,202,gainer,201.9,202.5057,199980.0,200574.0,693.0,200.6886,202.6,201.8,success
TCS,2018-01-08,1344.6,1350,gainer,1346.38,1350.41914,199800.0,199948.0,683.7599999999802,1338.3017200000002,1351,1346.38,success
HINDUNILVR,2018-01-09,1368.4,1374,gainer,1372.8,1376.9183999999998,199230.0,197830.75,-1225.25,1364.5632,1375.9,1364.35,failure
HEROMOTOCO,2018-01-09,3786.75,3800,gainer,3790,3801.3699999999994,197600.0,195468.0,-1612.0,3767.2599999999998,3801.35,3759,failure
INFY,2018-01-09,1036.05,1040,gainer,1037.55,1040.6626499999998,199680.0,197980.80000000002,-1228.7999999999593,1031.3247,1040.45,1031.15,failure
BPCL,2018-01-09,497.2,499,gainer,494.7,496.18409999999994,199600.0,196520.0,-1360.0,491.73179999999996,495.85,491.3,failure
KOTAKBANK,2018-01-09,1006.1,1010,gainer,1009,1012.0269999999999,199980.0,200534.4,752.3999999999942,1002.946,1012.8,1007.5,success
YESBANK,2018-01-09,333.6,334.9,gainer,331.8,332.7954,199935.3,196771.2,-1313.3999999999942,329.80920000000003,332.2,329.6,failure
BAJFINANCE,2018-01-09,1836.85,1843,gainer,1827.95,1833.43385,199044.0,198126.0,707.3999999999942,1816.9823000000001,1834.5,1822,success
ZEEL,2018-01-10,580.05,582,gainer,582.15,583.89645,199626.0,200414.9,737.4500000000116,578.6571,584.3,581.95,success
GAIL,2018-01-11,373.01,374.21,gainer,372.48,373.59744,199828.13999999998,199545.12,640.7999999999884,370.24512000000004,373.68,372.18,success
HINDPETRO,2018-01-11,424.55,423.15,loser,420.55,419.28835000000004,199726.8,197744.4,-755.2000000000116,423.0733,420.85,418.95,success
MARUTI,2018-01-11,9375.85,9410,gainer,9409.95,9438.17985,197610.0,196354.2,-1254.75,9353.490300000001,9420.05,9350.2,failure
